provId,candidateId,votes
1,1,17284
1,2,332868
1,3,1443
1,4,1237
1,5,112448
1,6,5197
1,7,3380
1,8,2140
1,9,4292
1,10,4970
1,11,682
1,12,662
1,13,1273
1,14,690
1,15,124898
1,16,7711
1,17,2692
1,18,4746
2,1,1399
2,2,36425
2,3,175
2,4,155
2,5,132
2,6,631
2,7,305
2,8,466
2,9,12643
2,10,858
2,11,88
2,12,153
2,13,265
2,14,184
2,15,40438
2,16,3140
2,17,901
2,18,109
3,1,1562
3,2,32959
3,3,285
3,4,281
3,5,9757
3,6,1605
3,7,622
3,8,578
3,9,360
3,10,871
3,11,202
3,12,247
3,13,456
3,14,307
3,15,73846
3,16,2960
3,17,517
3,18,465
4,1,344
4,2,367
4,3,21
4,4,6
4,5,132
4,6,40
4,7,13
4,8,809
4,9,12
4,10,14
4,11,4
4,12,5
4,13,8
4,14,30
4,15,45158
4,16,481
4,17,42
4,18,12
5,1,373
5,2,76537
5,3,149
5,4,181
5,5,41139
5,6,375
5,7,338
5,8,82
5,9,67
5,10,1973
5,11,35
5,12,117
5,13,161
5,14,176
5,15,3373
5,16,720
5,17,70
5,18,95
6,1,292
6,2,65524
6,3,163
6,4,83
6,5,705
6,6,405
6,7,373
6,8,88
6,9,38
6,10,2811
6,11,34
6,12,132
6,13,180
6,14,31
6,15,3854
6,16,824
6,17,133
6,18,45
7,1,487
7,2,11826
7,3,270
7,4,485
7,5,100813
7,6,413
7,7,236
7,8,198
7,9,109
7,10,206
7,11,88
7,12,79
7,13,170
7,14,235
7,15,15421
7,16,1297
7,17,130
7,18,118
8,1,483
8,2,21394
8,3,390
8,4,487
8,5,136829
8,6,351
8,7,198
8,8,164
8,9,89
8,10,299
8,11,88
8,12,81
8,13,139
8,14,170
8,15,971
8,16,680
8,17,92
8,18,80
9,1,1137
9,2,422468
9,3,1134
9,4,210
9,5,594
9,6,1179
9,7,816
9,8,245
9,9,168
9,10,5793
9,11,82
9,12,163
9,13,989
9,14,549
9,15,6856
9,16,1409
9,17,359
9,18,513
10,1,148
10,2,100075
10,3,152
10,4,35
10,5,187
10,6,221
10,7,593
10,8,136
10,9,12
10,10,1016
10,11,14
10,12,22
10,13,815
10,14,13
10,15,1649
10,16,239
10,17,61
10,18,116
11,1,270
11,2,72048
11,3,237
11,4,57
11,5,125
11,6,279
11,7,143
11,8,113
11,9,157
11,10,1812
11,11,49
11,12,46
11,13,299
11,14,149
11,15,5551
11,16,392
11,17,65
11,18,83
12,1,36
12,2,27024
12,3,131
12,4,4
12,5,27
12,6,348
12,7,700
12,8,157
12,9,16
12,10,3125
12,11,8
12,12,8
12,13,127
12,14,14
12,15,14505
12,16,430
12,17,18
12,18,179
13,1,5482
13,2,114460
13,3,1205
13,4,994
13,5,55306
13,6,3843
13,7,1465
13,8,1243
13,9,541
13,10,1135
13,11,752
13,12,715
13,13,943
13,14,921
13,15,98939
13,16,4498
13,17,1510
13,18,89567
14,1,2056
14,2,29958
14,3,621
14,4,406
14,5,528
14,6,470
14,7,639
14,8,412
14,9,243
14,10,967
14,11,355
14,12,330
14,13,503
14,14,641
14,15,42288
14,16,3515
14,17,1686
14,18,230012
15,1,1906
15,2,21412
15,3,442
15,4,292
15,5,817
15,6,368
15,7,634
15,8,326
15,9,317
15,10,400
15,11,391
15,12,241
15,13,400
15,14,286
15,15,7376
15,16,1532
15,17,1358
15,18,136358
16,1,683
16,2,8600
16,3,230
16,4,255
16,5,23389
16,6,503
16,7,510
16,8,280
16,9,102
16,10,161
16,11,158
16,12,147
16,13,192
16,14,370
16,15,44155
16,16,1065
16,17,396
16,18,34345
17,1,1470
17,2,17727
17,3,550
17,4,463
17,5,20802
17,6,472
17,7,546
17,8,292
17,9,217
17,10,320
17,11,302
17,12,283
17,13,385
17,14,449
17,15,27003
17,16,2135
17,17,1074
17,18,68027
18,1,33510
18,2,71486
18,3,1129
18,4,705
18,5,2062
18,6,1270
18,7,1861
18,8,1006
18,9,409
18,10,1504
18,11,414
18,12,415
18,13,564
18,14,756
18,15,94501
18,16,14672
18,17,945
18,18,10111
19,1,4906
19,2,73041
19,3,1090
19,4,908
19,5,15411
19,6,2442
19,7,1565
19,8,2416
19,9,608
19,10,911
19,11,501
19,12,570
19,13,1138
19,14,923
19,15,82408
19,16,5060
19,17,967
19,18,16437
20,1,5018
20,2,125962
20,3,1401
20,4,962
20,5,6463
20,6,2596
20,7,1574
20,8,1187
20,9,552
20,10,986
20,11,844
20,12,699
20,13,1445
20,14,920
20,15,50769
20,16,4805
20,17,2068
20,18,68092
21,1,13481
21,2,68181
21,3,1987
21,4,1401
21,5,3299
21,6,2035
21,7,2666
21,8,1560
21,9,886
21,10,1569
21,11,1098
21,12,927
21,13,1354
21,14,1240
21,15,57896
21,16,8623
21,17,4927
21,18,112957
22,1,922
22,2,281025
22,3,3743
22,4,281
22,5,2629
22,6,3240
22,7,712
22,8,450
22,9,174
22,10,2331
22,11,96
22,12,237
22,13,462
22,14,106
22,15,9202
22,16,2743
22,17,247
22,18,296
23,1,938
23,2,262940
23,3,684
23,4,302
23,5,8787
23,6,2587
23,7,574
23,8,411
23,9,167
23,10,1885
23,11,99
23,12,276
23,13,441
23,14,147
23,15,7924
23,16,3003
23,17,218
23,18,274
24,1,228
24,2,34654
24,3,94
24,4,39
24,5,322
24,6,151
24,7,138
24,8,44
24,9,26
24,10,110
24,11,13
24,12,29
24,13,66
24,14,24
24,15,2581
24,16,193
24,17,50
24,18,152
25,1,432
25,2,46702
25,3,360
25,4,179
25,5,4586
25,6,1048
25,7,255
25,8,380
25,9,83
25,10,2026
25,11,31
25,12,155
25,13,173
25,14,87
25,15,2570
25,16,1847
25,17,94
25,18,35
26,1,165
26,2,26022
26,3,96
26,4,42
26,5,104
26,6,1807
26,7,118
26,8,46
26,9,23
26,10,295
26,11,16
26,12,58
26,13,79
26,14,17
26,15,1177
26,16,216
26,17,34
26,18,26
27,1,259
27,2,221574
27,3,238
27,4,40
27,5,251
27,6,2587
27,7,123
27,8,25
27,9,52
27,10,2656
27,11,15
27,12,688
27,13,68
27,14,7
27,15,1790
27,16,591
27,17,24
27,18,31
28,1,1806
28,2,238371
28,3,532
28,4,669
28,5,179303
28,6,13703
28,7,582
28,8,383
28,9,147
28,10,1402
28,11,125
28,12,186
28,13,351
28,14,306
28,15,18999
28,16,1334
28,17,173
28,18,169
29,1,272
29,2,236446
29,3,914
29,4,60
29,5,82
29,6,16286
29,7,167
29,8,152
29,9,50
29,10,3163
29,11,12
29,12,119
29,13,111
29,14,35
29,15,8541
29,16,1075
29,17,37
29,18,35
30,1,220
30,2,207718
30,3,149
30,4,33
30,5,51
30,6,749
30,7,205
30,8,56
30,9,17
30,10,1912
30,11,9
30,12,1513
30,13,100
30,14,17
30,15,2173
30,16,700
30,17,23
30,18,27
31,1,5371
31,2,342477
31,3,2549
31,4,2100
31,5,16095
31,6,5882
31,7,2945
31,8,1883
31,9,767
31,10,1099
31,11,862
31,12,866
31,13,1818
31,14,1937
31,15,199484
31,16,3746
31,17,1348
31,18,1565
32,1,1515
32,2,105262
32,3,638
32,4,501
32,5,804
32,6,630
32,7,411
32,8,265
32,9,115
32,10,900
32,11,152
32,12,218
32,13,422
32,14,596
32,15,54763
32,16,2151
32,17,518
32,18,3490
33,1,764
33,2,90557
33,3,406
33,4,303
33,5,483
33,6,440
33,7,194
33,8,130
33,9,69
33,10,334
33,11,72
33,12,97
33,13,140
33,14,171
33,15,25974
33,16,904
33,17,163
33,18,68
34,1,1721
34,2,56497
34,3,895
34,4,762
34,5,39542
34,6,845
34,7,2645
34,8,805
34,9,275
34,10,936
34,11,301
34,12,377
34,13,509
34,14,828
34,15,94637
34,16,4039
34,17,444
34,18,309
35,1,1157
35,2,104996
35,3,418
35,4,359
35,5,103976
35,6,836
35,7,406
35,8,200
35,9,114
35,10,165
35,11,126
35,12,92
35,13,257
35,14,139
35,15,13219
35,16,774
35,17,231
35,18,8778
36,1,2028
36,2,456664
36,3,1288
36,4,660
36,5,46824
36,6,4142
36,7,1489
36,8,582
36,9,308
36,10,9276
36,11,243
36,12,823
36,13,1353
36,14,323
36,15,21842
36,16,3868
36,17,424
36,18,17022
