id,name
01-42-0010,Haji Najibullah Kabuli
01-41-0002,Haji Naqib Ahmad Kakar
01-36-0041,Khan Aqa
01-35-0069,Engineer Wali Yousuf
01-36-0025,Faqir Mohammad Rahmati
01-41-0052,Rahela Koier
01-39-0027,Hazrat Muneer Jalali
01-40-0074,Shahla Atta
01-37-0013,Ustad Mohammad Abul Ehrar Ramezpoor
01-40-0020,Doctor Noor Aqa Royeen
01-36-0048,Doctor Mohammad Assef Baktash
01-37-0055,Nasruddeen
01-38-0056,Malim Nasir Raoufi
01-40-0080,Fatehul Bari Wardak
01-37-0001,Mohammad Allem Mashhoor ba Zabet Shenkay
01-36-0039,Saranwal Mohammad Shakir Baryal
01-35-0038,Adellah Muhseny
01-40-0013,Ustad Zabihullah Qurayshi
01-40-0061,Abdul Wali Saeid
01-36-0032,Engineer Dad Mohammad Bahir
01-42-0076,Wahidullah Folad
01-42-0022,Haji Fayaaz Ahmad
01-39-0085,Engineer Abbas
01-39-0016,Qudriya Ibrahim Yazdan Parast
01-41-0071,Najiba Syamak
01-42-0055,Sayed Hamid Noori
01-41-0065,Hamid Farooq Nejrabi
01-42-0005,Habibullah Allah Yar
01-39-0035,Haji Mohammad Arif Zarif
01-38-0077,Timor Shah Stanikzai
01-37-0016,Al-haj Sayed Ahmad
01-40-0032,Woloswal Abdul Rahim Rashid
01-38-0038,Suhaila Bahar
01-35-0035,Sayed Asef Hussainy
01-39-0069,Ghulam Sakhi Mubasher
01-37-0050,Nik Mohammad Shariati
01-39-0032,Khwaja Ahmadullah Sadiqi
01-42-0023,Mullah Taaj Mohammad Mojahed
01-41-0070,Rohullah Hekmat Elahi Ahmadzai
01-41-0022,Haji Mohammad Dawood Kalakani
01-42-0047,Humayoon Jareer
01-39-0052,Wakil Gul Aqa
01-36-0061,Ali Madad Rizayeee
01-41-0080,Shaima Kharuti
01-36-0036,Sulaiman Gul
01-39-0093,General Abdul Rashid Shujaa
01-39-0008,Haji Mohmmad Tawoos Arab
01-41-0001,Dagarwal Nik Mohammad Abbassi
01-40-0062,Nadira Kharutai
01-35-0022,Zargham Ali Shairzad
01-39-0089,Ahmad Shah Obaid
01-42-0016,Abdul Majid Watan
01-40-0017,Noor Mohammad Hussainkhail
01-36-0055,Waqif Hakimi
01-39-0037,Mohammad Ismael Safdari
01-41-0039,Al -haj Engineer Mohammad Zarif Arghand
01-36-0031,Yar Mohammad
01-39-0003,Khwaja Shair Padshah Qiyam
01-39-0002,Mohammad Wasel Rahimi
01-36-0007,Mohammad Ibrahim Kawash
01-37-0073,Agha Sahib Mohammad Dawood
01-42-0051,Mohammad Dawood Wyar
01-35-0029,Mawlawi Rahmatullah Qarabaghy
01-38-0015,Mohammad Ibrahim Muhseni
01-42-0008,Ajab Gul
01-37-0041,Farida Sadiqi
01-37-0009,Haji Mohmand Sayduwal
01-41-0049,Sayed Mohammad Allam Aminy
01-35-0042,Amanuddeen Timori
01-36-0038,Diyani
01-41-0059,Haji Abdul Rahman Mohammadi
01-42-0028,Malim Mohammad Ibrahim Hekmati
01-41-0038,Alla Rahmati
01-42-0058,Abdul Hafiz Behruz
01-39-0064,Sayed Najibullah Hashemi
01-38-0039,Al-haj Doctor Mohammad Hussain Forotan
01-37-0032,Erfanullah Erfan
01-38-0031,Alami Balkhi
01-39-0070,Haji Abdul Aziz Kamandi
01-35-0007,Haji Azimullah Osmani
01-39-0063,Malika Diana Amin
01-35-0009,Ghutai Khawray
01-36-0062,Ustad Fariwar
01-40-0021,Shahnaz Sakhi
01-37-0034,Fauzia Habibi
01-36-0003,Ustad Engineer Sayed Naweed Zewari
01-37-0036,Mir Mohammad Qaher Sadaat
01-42-0035,Najia Zara
01-42-0066,Engineer Mohammad Amin Khanaari
01-40-0068,Turan Noor Mohammad Khushhal
01-35-0080,Mohammad Maqsoud Ibrahimkhail
01-35-0044,Mohammad Samy Kharutai
01-42-0027,Mohammad Sabir
01-41-0048,Engineer Farida Astana
01-35-0039,Sayed Dawood Hashemi
01-39-0025,Masouma Mohammadi
01-38-0035,Mawlawi Abdul Wakil
01-36-0071,Abdul Wahed Dost
01-40-0069,Suhaila Alokozai
01-40-0050,Mohammad Ali Rejayee
01-41-0069,Hameeda Noori
01-39-0031,Al-haj Nasir Ahmad Insaf
01-36-0006,Abdul Jabar Paykan
01-39-0066,Malim Ghulam Muhaiuddeen
01-39-0065,Abdul Hadi Arghandiwal
01-42-0014,Haji Abdul Qudoos Andiwal
01-40-0044,Doctor Abdul Majeed
01-36-0028,Khirullah Kohistani
01-42-0071,Mohammad Dawood Naeemi
01-40-0006,Suraya Parlika
01-39-0049,Ahmad Shah Nizami
01-36-0074,Sayyad Hussain Fazal Zada
01-42-0002,Mohammad Hakim Torsan
01-36-0072,Haji Hassan Ali
01-38-0053,Haji Ahmadullah Bakhshi
01-39-0023,Mumtaz Khan Safai
01-35-0010,Al Haj Yar Mohammad Tutakhail
01-42-0063,Abdul Hamid Dawatgar
01-39-0068,Bashar Dost
01-38-0027,Mohammad Shafi Mushtaq
01-40-0063,Abdul Manan Kalakani
01-36-0015,Mohammad Essa Shahzada
01-35-0028,Bred General Doctor Sadruddeen Fakhry
01-37-0074,Al-haj Mohammad Jafar Karwan
01-37-0030,Mawlana Abdul Muneer Danish
01-35-0002,Al-haj Hokam Khan Almas
01-39-0006,Engineer Dad Khuda Kalakany
01-35-0043,Mohammad Mustafa Noori
01-38-0046,Sayyad Qadrudin Hashemi
01-41-0042,Hayatullah Rasooly
01-35-0023,Zmaray Amiri
01-41-0005,Wakil Ghazi Waziri
01-38-0068,Shinkai Zahin Karukhail
01-40-0085,Bibi Kubra Hussaini
01-35-0026,Tourpaykai Safi
01-42-0038,Ahmad Fawad Gulzaad
01-41-0060,Bibi Haji Razia Nazimi
01-41-0016,Haji Ahmad Shah
01-38-0019,Dastagir Hazhbar
01-42-0041,Doctor Sayed Sadrudin Makhdoom
01-39-0019,Sayed Jawad Hussaini
01-37-0054,Mohammad Hashem Huwaida
01-35-0041,Doctor Mohammad Salim Ahmadi Wardak
01-42-0057,Najiba Sharif
01-41-0076,Mohammad Jamil Gardizi
01-36-0054,Nasima Sikandari
01-36-0050,Abdul Qayyum Karimi
01-35-0062,Mohammad Bashir Hatef
01-36-0056,Haji Rahim Shah
01-39-0029,Doctor Mohammad Qasim Ihsas
01-36-0067,Al-haj Shah Mohammad Muradi
01-39-0090,Mohammad Anwar Asir
01-37-0065,Mawlawi Nessar Ahmad Sahebzada
01-41-0015,Ranzurwal Doctor Abdul Hamid Samandary
01-39-0054,Sayed Mustafa Kazimi
01-37-0002,Najibullah Kamran
01-37-0006,Jamil Karzai
01-39-0010,Ghulam Hussein
01-36-0009,Mir Ahmad Juyenda
01-40-0052,Khan Aqa Farid
01-35-0068,Gulam Rabani Kuhsaar
01-36-0049,Abdul Satar
01-40-0010,Abdul Qadar Zazai Watan Dost
01-37-0051,Akram Gezabi
01-39-0007,Abdul Ghafar Dawy
01-41-0045,Haji Naik Mohammad shanoory
01-40-0018,Ahmad Farhad Popal
01-37-0039,Abdul Jabar Nazari
01-40-0077,Mohammad Aziz Bakhtyari
01-35-0003,Haji Sayed Jan
01-41-0064,Engineer Nooria Haqnagar
01-42-0073,Haji Abdul Ghafoor Shefa
01-40-0019,Haji Khair Ahmad Layeq
01-36-0016,Haji Rahimdad Hotak
01-36-0004,Abdul Hakim Noorzai
01-39-0034,Mohammad Zubir Pirooz
01-40-0055,Mohammad Ehsan Saiqal
01-35-0016,Yousuf Waezy
01-35-0006,Sulltan Ali Murtaza Nikzad
01-36-0047,Uzra
01-36-0037,Doctor Mehdi
01-37-0018,Haji Salih
