"Province","Female Candidates","Percent Female","Number of Candidates","Percent to Winner","Total Votes","Registered Voters","Total Seats","Women's Seats","Female Turnout","Blank Ballots","Invalid Ballots"
"Badakshan",8,9.2,89,11.4,243740,400918,9,2,40.4,2.4,2.4
"Badghis",5,14.29,36,7.3,136781,234680,4,1,40.6,2.3,2.2
"Baghlan",11,10.38,111,9.9,209165,386713,8,2,37.4,2.2,3.7
"Balkh",14,12.17,116,5.5,307115,600893,11,3,40.3,2.8,2.2
"Bamyan",7,12.96,54,20.1,126296,176008,4,1,45.5,1.1,2.4
"Daikundi",3,5.77,53,17.2,156630,253589,4,1,52.8,1.6,5.9
"Farah",2,4.44,47,10.8,110828,192614,5,1,36.2,1.9,1.9
"Faryab",9,11.11,82,8.4,256797,410716,9,3,52.2,2.9,4.3
"Ghazni",9,6.92,131,5.8,378577,745225,11,3,54.8,1.2,1
"Ghor",7,12.28,58,11.2,213293,320374,6,2,43.3,1.2,1.9
"Helmand",5,6.17,84,5.5,194162,528124,8,2,14.8,1.9,10.4
"Herat",13,8.13,162,3.6,517926,824722,17,5,48.6,3.2,5.2
"Jowzjan",5,12.82,39,18.4,138085,218548,5,1,43.1,3.5,4.6
"Kabul",43,11.11,390,13.8,399810,1193472,33,9,29.2,1.9,2.6
"Kandahar",11,10.58,105,8.2,188627,744952,11,3,23.7,3.2,2.2
"Kapisa",4,9.3,43,12.2,83966,202800,4,1,44.7,0.9,1.5
"Khost",9,9.89,91,8.3,188473,336125,5,1,47.1,1.3,0.5
"Kuchi",7,10.1,69,10,204822,534105,10,3,"n/a",1.4,0.9
"Kunar",10,15.38,65,8.2,126282,274583,4,1,35.9,2.2,1.2
"Kunduz",15,16.3,92,4.4,246758,402195,9,2,41.6,3.7,3
"Laghman",7,10.77,65,10.6,87484,230948,4,1,39.4,1.8,2.4
"Logar",9,15,60,5.8,76270,197380,4,1,45.6,1.4,2
"Nangarhar",17,9.55,179,3.4,383170,804515,14,4,39.2,2.3,2.1
"Nimroz",3,15,20,14.6,37750,85562,2,1,40.8,3.1,4.3
"Nuristan",6,25,24,15.9,79865,124583,2,1,53,0.2,0.3
"Paktia",6,6.98,86,7.1,251489,394504,5,1,58.1,0.5,0.4
"Paktika",1,1.67,62,13.3,264858,500719,4,1,"n/a",0.4,0.3
"Panjsher",5,23.81,21,18.5,49218,139397,2,1,58.6,1.2,1.3
"Parwan",8,14.55,56,10.9,87517,245385,6,2,30.9,2.3,3.3
"Samangan",4,10.26,39,23.9,109955,165218,4,1,44,2.9,2.5
"Sar-i-pul",6,14.29,42,10.2,120939,192294,5,1,45,2.2,3.9
"Takhar",13,13.4,97,6.2,279246,418696,9,2,43.9,4.8,5.3
"Uruzgan",2,11.11,19,35.3,35363,150865,3,1,14,1,2.1
"Wardak",9,13.04,69,10.4,100663,243219,5,2,40.5,1.1,1.1
"Zabul",2,9.09,22,15.6,20695,102695,3,1,3.7,3.8,2.7
