id,name,geoId,registeredTotal
1,Kabul,1,1193470
2,Kapisa,2,202800
3,Parwan,3,139397
4,Wardak,4,150865
5,Logar,5,230948
6,Ghazni,11,745225
7,Paktika,12,124583
8,Paktia,13,394504
9,Khost,14,336125
10,Nangarhar,6,197380
11,Kunar,15,534105
12,Laghman,7,402195
13,Nuristan,16,85562
14,Badakhshan,17,400918
15,Takhar,18,192294
16,Baghlan,9,386713
17,Kunduz,19,274583
18,Samangan,20,245385
19,Balkh,21,600893
20,Jowzjan,28,218548
21,Sar-i-Pul,22,165218
22,Faryab,29,410716
23,Badghis,31,234680
24,Herat,32,824722
25,Farah,33,192614
26,Nimroz,34,804515
27,Helmand,30,528124
28,Kandahar,27,744952
29,Zabul,26,243219
30,Uruzgan,25,418696
31,Ghor,23,320374
32,Bamyan,10,176008
33,Panjsher,8,500719
34,Daikundi,24,253589
