provId,candidateId,votes
1,01-42-0010,2867
1,01-41-0002,1775
1,01-36-0041,557
1,01-35-0069,533
1,01-36-0025,670
1,01-41-0052,474
1,01-39-0027,580
1,01-40-0074,2040
1,01-37-0013,652
1,01-40-0020,950
1,01-36-0048,488
1,01-37-0055,419
1,01-38-0056,678
1,01-40-0080,480
1,01-37-0001,1779
1,01-36-0039,725
1,01-35-0038,1323
1,01-40-0013,1149
1,01-40-0061,616
1,01-36-0032,490
1,01-42-0076,190
1,01-42-0022,225
1,01-39-0085,4645
1,01-39-0016,1960
1,01-41-0071,1065
1,01-42-0055,1474
1,01-41-0065,344
1,01-42-0005,961
1,01-39-0035,9934
1,01-38-0077,730
1,01-37-0016,1557
1,01-40-0032,1659
1,01-38-0038,848
1,01-35-0035,315
1,01-39-0069,246
1,01-37-0050,594
1,01-39-0032,230
1,01-42-0023,4624
1,01-41-0070,378
1,01-41-0022,2900
1,01-42-0047,1630
1,01-39-0052,697
1,01-36-0061,338
1,01-41-0080,417
1,01-36-0036,1751
1,01-39-0093,619
1,01-39-0008,424
1,01-41-0001,565
1,01-40-0062,1457
1,01-35-0022,354
1,01-39-0089,469
1,01-42-0016,275
1,01-40-0017,1274
1,01-36-0055,1347
1,01-39-0037,3083
1,01-41-0039,558
1,01-36-0031,967
1,01-39-0003,261
1,01-39-0002,202
1,01-36-0007,994
1,01-37-0073,151
1,01-42-0051,409
1,01-35-0029,380
1,01-38-0015,316
1,01-42-0008,1187
1,01-37-0041,312
1,01-37-0009,401
1,01-41-0049,86
1,01-35-0042,194
1,01-36-0038,395
1,01-41-0059,104
1,01-42-0028,152
1,01-41-0038,622
1,01-42-0058,249
1,01-39-0064,354
1,01-38-0039,238
1,01-37-0032,2157
1,01-38-0031,2324
1,01-39-0070,93
1,01-35-0007,266
1,01-39-0063,181
1,01-35-0009,944
1,01-36-0062,288
1,01-40-0021,340
1,01-37-0034,444
1,01-36-0003,377
1,01-37-0036,1707
1,01-42-0035,251
1,01-42-0066,48
1,01-40-0068,161
1,01-35-0080,135
1,01-35-0044,129
1,01-42-0027,272
1,01-41-0048,175
1,01-35-0039,2130
1,01-39-0025,1029
1,01-38-0035,821
1,01-36-0071,161
1,01-40-0069,207
1,01-40-0050,47
1,01-41-0069,78
1,01-39-0031,461
1,01-36-0006,327
1,01-39-0066,153
1,01-39-0065,774
1,01-42-0014,535
1,01-40-0044,120
1,01-36-0028,196
1,01-42-0071,247
1,01-40-0006,562
1,01-39-0049,278
1,01-36-0074,25
1,01-42-0002,954
1,01-36-0072,497
1,01-38-0053,272
1,01-39-0023,950
1,01-35-0010,396
1,01-42-0063,234
1,01-39-0068,30794
1,01-38-0027,702
1,01-40-0063,74
1,01-36-0015,955
1,01-35-0028,430
1,01-37-0074,209
1,01-37-0030,498
1,01-35-0002,762
1,01-39-0006,759
1,01-35-0043,103
1,01-38-0046,121
1,01-41-0042,108
1,01-35-0023,108
1,01-41-0005,155
1,01-38-0068,2107
1,01-40-0085,548
1,01-35-0026,275
1,01-42-0038,469
1,01-41-0060,327
1,01-41-0016,139
1,01-38-0019,87
1,01-42-0041,400
1,01-39-0019,78
1,01-37-0054,107
1,01-35-0041,281
1,01-42-0057,1547
1,01-41-0076,67
1,01-36-0054,364
1,01-36-0050,513
1,01-35-0062,120
1,01-36-0056,241
1,01-39-0029,446
1,01-36-0067,47
1,01-39-0090,69
1,01-37-0065,566
1,01-41-0015,1778
1,01-39-0054,8884
1,01-37-0002,254
1,01-37-0006,2602
1,01-39-0010,510
1,01-36-0009,3105
1,01-40-0052,367
1,01-35-0068,325
1,01-36-0049,906
1,01-40-0010,1572
1,01-37-0051,71
1,01-39-0007,1282
1,01-41-0045,315
1,01-40-0018,291
1,01-37-0039,118
1,01-40-0077,280
1,01-35-0003,3992
1,01-41-0064,346
1,01-42-0073,96
1,01-40-0019,485
1,01-36-0016,351
1,01-36-0004,2014
1,01-39-0034,191
1,01-40-0055,356
1,01-35-0016,829
1,01-35-0006,645
1,01-36-0047,172
1,01-36-0037,557
1,01-37-0018,1748
1,01-39-0021,1514
1,01-40-0045,277
1,01-35-0051,360
1,01-35-0027,280
1,01-42-0070,27
1,01-40-0016,2885
1,01-35-0073,85
1,01-37-0042,24
1,01-41-0058,32
1,01-41-0075,89
1,01-37-0040,269
1,01-39-0047,178
1,01-39-0079,284
1,01-36-0070,94
1,01-41-0003,248
1,01-38-0061,453
1,01-38-0013,1059
1,01-42-0075,114
1,01-41-0013,1465
1,01-38-0002,477
1,01-42-0052,204
1,01-36-0033,73
1,01-35-0031,117
1,01-40-0026,86
1,01-36-0043,394
1,01-39-0094,330
1,01-41-0007,272
1,01-40-0075,67
1,01-40-0030,1820
1,01-42-0006,1966
1,01-39-0033,463
1,01-41-0032,244
1,01-35-0077,172
1,01-38-0017,2808
1,01-35-0071,266
1,01-39-0071,38
1,01-40-0027,204
1,01-36-0022,2171
1,01-41-0041,101
1,01-41-0006,88
1,01-38-0045,2322
1,01-35-0046,155
1,01-39-0014,213
1,01-41-0079,160
1,01-38-0009,122
1,01-41-0024,532
1,01-41-0025,38
1,01-40-0072,70
1,01-42-0032,287
1,01-38-0072,379
1,01-37-0003,1088
1,01-42-0024,186
1,01-38-0014,82
1,01-40-0011,131
1,01-39-0083,197
1,01-39-0062,275
1,01-37-0033,60
1,01-42-0004,255
1,01-38-0047,84
1,01-40-0009,48
1,01-42-0054,236
1,01-38-0065,138
1,01-41-0055,154
1,01-36-0064,233
1,01-35-0008,563
1,01-41-0050,83
1,01-38-0026,27
1,01-35-0064,315
1,01-41-0077,72
1,01-39-0039,210
1,01-35-0052,283
1,01-35-0037,209
1,01-38-0050,261
1,01-40-0084,54
1,01-41-0026,594
1,01-42-0009,269
1,01-40-0003,926
1,01-40-0053,1105
1,01-38-0066,120
1,01-35-0047,437
1,01-42-0013,1334
1,01-38-0076,249
1,01-35-0059,330
1,01-40-0037,1822
1,01-39-0072,288
1,01-40-0066,70
1,01-42-0074,109
1,01-35-0012,739
1,01-38-0003,263
1,01-39-0067,352
1,01-36-0014,468
1,01-42-0026,70
1,01-39-0076,92
1,01-38-0048,231
1,01-37-0071,77
1,01-41-0008,792
1,01-41-0085,83
1,01-36-0008,209
1,01-40-0012,2415
1,01-37-0045,3869
1,01-40-0001,1681
1,01-39-0038,176
1,01-37-0004,1504
1,01-35-0030,231
1,01-38-0024,845
1,01-38-0043,273
1,01-38-0030,473
1,01-42-0020,159
1,01-35-0081,50
1,01-37-0048,185
1,01-42-0061,41
1,01-38-0073,431
1,01-40-0065,288
1,01-37-0062,54
1,01-40-0008,1189
1,01-36-0023,1893
1,01-35-0034,1013
1,01-38-0042,95
1,01-36-0002,1164
1,01-38-0020,183
1,01-39-0060,137
1,01-37-0021,144
1,01-40-0035,170
1,01-35-0053,56
1,01-36-0010,283
1,01-36-0026,809
1,01-37-0028,232
1,01-40-0083,112
1,01-41-0019,205
1,01-35-0057,135
1,01-38-0032,1333
1,01-35-0004,450
1,01-38-0007,927
1,01-35-0013,1120
1,01-37-0043,259
1,01-38-0023,132
1,01-39-0056,291
1,01-40-0004,760
1,01-39-0030,9806
1,01-40-0043,204
1,01-39-0005,244
1,01-41-0073,1785
1,01-42-0053,59
1,01-41-0021,531
1,01-40-0033,130
1,01-42-0040,183
1,01-42-0012,71
1,01-36-0040,285
1,01-40-0028,3165
1,01-37-0035,1041
1,01-39-0045,958
1,01-35-0045,575
1,01-41-0020,509
1,01-42-0039,125
1,01-38-0025,1664
1,01-39-0051,307
1,01-42-0018,490
1,01-40-0002,475
1,01-42-0021,117
1,01-42-0046,663
1,01-36-0066,256
1,01-42-0033,258
1,01-40-0064,118
1,01-38-0040,170
1,01-37-0025,356
1,01-38-0033,658
1,01-35-0076,174
1,01-41-0029,311
1,01-35-0032,569
1,01-39-0001,328
1,01-41-0004,3333
1,01-39-0017,382
1,01-38-0071,441
1,01-40-0022,52686
1,01-37-0061,830
1,01-41-0010,3200
1,01-40-0041,230
1,01-40-0059,172
1,01-35-0040,1898
1,01-39-0043,492
1,01-37-0011,300
1,01-37-0058,119
1,01-41-0014,315
1,01-35-0020,417
1,01-41-0031,286
1,01-37-0069,374
1,01-42-0049,91
1,01-35-0033,1059
1,01-40-0007,1548
1,01-38-0008,198
1,01-39-0004,2201
1,01-40-0078,195
1,01-42-0042,204
1,01-37-0049,410
1,01-35-0005,391
1,01-42-0062,372
1,01-40-0025,323
1,01-39-0050,31225
1,01-36-0057,494
1,01-42-0019,1374
1,01-38-0028,364
1,01-37-0008,406
1,01-40-0042,524
1,01-36-0051,198
1,01-41-0068,601
2,02-48-0005,9969
2,02-48-0039,7893
2,02-48-0006,6259
2,02-48-0079,4192
2,02-48-0070,4014
2,02-48-0085,3570
2,02-48-0002,3557
2,02-48-0064,3307
2,02-48-0001,3141
2,02-48-0027,2305
2,02-48-0033,2244
2,02-48-0047,2080
2,02-48-0074,1945
2,02-48-0034,1913
2,02-48-0023,1821
2,02-48-0030,1783
2,02-48-0004,1675
2,02-48-0053,1543
2,02-48-0078,1489
2,02-48-0071,1422
2,02-48-0032,1316
2,02-48-0007,1211
2,02-48-0013,1133
2,02-48-0020,1089
2,02-48-0049,1074
2,02-48-0018,960
2,02-48-0062,954
2,02-48-0095,945
2,02-48-0003,934
2,02-48-0056,917
2,02-48-0076,768
2,02-48-0041,724
2,02-48-0091,719
2,02-48-0054,568
2,02-48-0011,555
2,02-48-0087,552
2,02-48-0037,511
2,02-48-0094,218
2,02-48-0090,218
2,02-48-0021,183
2,02-48-0048,158
2,02-48-0086,117
2,02-48-0072,49
3,03-78-0017,9043
3,03-78-0125,4740
3,03-78-0081,4210
3,03-78-0029,3326
3,03-78-0047,3291
3,03-78-0044,3162
3,03-78-0011,2834
3,03-78-0038,2824
3,03-78-0021,2744
3,03-78-0088,2551
3,03-78-0060,2425
3,03-78-0016,2148
3,03-78-0002,1976
3,03-78-0110,1903
3,03-78-0043,1901
3,03-78-0006,1832
3,03-78-0018,1770
3,03-78-0001,1728
3,03-78-0061,1699
3,03-78-0022,1696
3,03-78-0042,1660
3,03-78-0025,1567
3,03-78-0030,1561
3,03-78-0062,1414
3,03-78-0059,1270
3,03-78-0034,1149
3,03-78-0003,1067
3,03-78-0102,1011
3,03-78-0121,1006
3,03-78-0133,1001
3,03-78-0008,904
3,03-78-0046,893
3,03-78-0071,887
3,03-78-0027,793
3,03-78-0009,701
3,03-78-0020,695
3,03-78-0039,604
3,03-78-0108,560
3,03-78-0114,534
3,03-78-0013,523
3,03-78-0004,501
3,03-78-0083,474
3,03-78-0098,467
3,03-78-0010,440
3,03-78-0012,428
3,03-78-0107,399
3,03-78-0069,381
3,03-78-0078,380
3,03-78-0023,297
3,03-78-0041,280
3,03-78-0120,277
3,03-78-0032,260
3,03-78-0057,199
3,03-78-0099,142
3,03-78-0117,137
4,04-88-0003,10278
4,04-88-0011,6500
4,04-87-0019,5706
4,04-88-0020,4763
4,04-87-0043,4526
4,04-87-0037,4260
4,04-88-0015,3884
4,04-87-0039,3880
4,04-87-0009,3530
4,04-87-0027,2413
4,04-87-0006,2306
4,04-88-0014,2102
4,04-87-0031,1962
4,04-87-0040,1943
4,04-88-0018,1762
4,04-87-0024,1747
4,04-88-0042,1741
4,04-88-0008,1654
4,04-88-0031,1608
4,04-87-0038,1607
4,04-88-0037,1498
4,04-87-0010,1493
4,04-88-0063,1488
4,04-88-0028,1472
4,04-87-0002,1470
4,04-87-0056,1436
4,04-87-0061,1430
4,04-87-0026,1283
4,04-87-0011,1214
4,04-88-0040,1156
4,04-88-0005,1154
4,04-87-0032,1102
4,04-88-0006,1063
4,04-88-0001,1048
4,04-87-0015,959
4,04-88-0022,799
4,04-87-0003,728
4,04-87-0044,725
4,04-88-0012,704
4,04-87-0005,703
4,04-88-0026,678
4,04-87-0018,665
4,04-87-0012,586
4,04-87-0023,555
4,04-87-0034,489
4,04-88-0034,449
4,04-87-0014,449
4,04-87-0035,426
4,04-88-0027,403
4,04-88-0052,362
4,04-87-0017,317
4,04-87-0051,242
4,04-87-0046,215
4,04-87-0025,211
4,04-87-0007,179
4,04-87-0047,157
4,04-87-0033,150
4,04-88-0053,132
4,04-88-0066,118
4,04-87-0066,116
4,04-88-0010,111
4,04-88-0009,86
4,04-87-0069,69
4,04-87-0008,57
4,04-88-0051,53
4,04-87-0049,48
4,04-87-0041,38
4,04-87-0059,26
4,04-88-0054,24
5,05-59-0031,4248
5,05-59-0043,4200
5,05-60-0004,3534
5,05-60-0013,3196
5,05-60-0010,3119
5,05-59-0007,3085
5,05-60-0025,3040
5,05-59-0010,2868
5,05-60-0029,2855
5,05-59-0019,2465
5,05-59-0022,2409
5,05-60-0016,2289
5,05-60-0012,2074
5,05-60-0050,2045
5,05-60-0018,1966
5,05-59-0021,1948
5,05-60-0006,1866
5,05-59-0004,1755
5,05-60-0035,1647
5,05-59-0026,1326
5,05-59-0032,1259
5,05-59-0038,1171
5,05-60-0032,1079
5,05-60-0053,1077
5,05-60-0028,1016
5,05-60-0001,894
5,05-60-0005,884
5,05-60-0017,848
5,05-60-0024,827
5,05-60-0033,778
5,05-60-0023,772
5,05-59-0017,763
5,05-59-0041,745
5,05-59-0056,723
5,05-60-0040,689
5,05-60-0062,647
5,05-60-0031,626
5,05-60-0061,565
5,05-59-0008,558
5,05-60-0046,544
5,05-60-0034,532
5,05-59-0035,511
5,05-59-0037,434
5,05-60-0009,414
5,05-59-0036,406
5,05-59-0024,405
5,05-60-0021,402
5,05-59-0044,347
5,05-59-0029,300
5,05-59-0033,268
5,05-59-0057,263
5,05-60-0026,202
5,05-60-0008,187
5,05-59-0054,155
5,05-60-0059,128
5,05-59-0053,73
5,05-59-0015,69
5,05-59-0055,54
5,05-59-0009,54
5,05-59-0050,34
6,06-22-2013,21516
6,06-21-2005,20617
6,06-22-2002,16294
6,06-22-2019,13715
6,06-21-2018,10747
6,06-21-2017,10268
6,06-21-1955,9258
6,06-22-1992,8405
6,06-21-2028,8403
6,06-21-1970,8095
6,06-22-1930,7946
6,06-21-2009,7614
6,06-21-1977,7054
6,06-21-2016,6767
6,06-22-1936,6582
6,06-21-1975,5404
6,06-21-1938,5341
6,06-21-1994,5252
6,06-22-2008,5081
6,06-21-0107,5005
6,06-21-1961,4992
6,06-21-0103,4985
6,06-21-1968,4598
6,06-22-2027,4579
6,06-22-1961,4443
6,06-21-0131,4321
6,06-21-2029,4209
6,06-21-0132,3990
6,06-21-1979,3658
6,06-21-0115,3627
6,06-21-1930,3618
6,06-21-1998,3592
6,06-21-2006,3317
6,06-21-1971,3259
6,06-21-0122,3222
6,06-21-1956,3076
6,06-21-1943,3069
6,06-21-1997,3056
6,06-21-0157,3028
6,06-21-2021,2898
6,06-22-1972,2898
6,06-22-0108,2835
6,06-21-1960,2766
6,06-21-0120,2754
6,06-22-1941,2716
6,06-21-1944,2668
6,06-22-2011,2632
6,06-21-1963,2589
6,06-21-0100,2537
6,06-22-1994,2484
6,06-21-2008,2413
6,06-21-1958,2388
6,06-21-2019,2230
6,06-22-2012,2162
6,06-21-1986,2158
6,06-22-0112,2029
6,06-21-2002,2005
6,06-22-1985,1968
6,06-22-1988,1899
6,06-21-1937,1890
6,06-21-1978,1863
6,06-21-0114,1768
6,06-21-0121,1766
6,06-22-1971,1605
6,06-22-0120,1578
6,06-21-1992,1493
6,06-21-2023,1472
6,06-21-1941,1450
6,06-22-2004,1391
6,06-21-2026,1370
6,06-21-2020,1337
6,06-22-1957,1324
6,06-21-0130,1306
6,06-22-1939,1305
6,06-21-0139,1279
6,06-21-2004,1259
6,06-22-1974,1246
6,06-21-1980,1222
6,06-22-0114,1179
6,06-21-1945,1164
6,06-22-1940,1140
6,06-22-1976,1087
6,06-21-2003,1074
6,06-21-0143,1073
6,06-22-0109,995
6,06-22-1980,986
6,06-22-1965,938
6,06-21-0144,937
6,06-22-1945,934
6,06-21-1936,902
6,06-21-2014,860
6,06-22-1977,847
6,06-21-1974,827
6,06-22-1955,812
6,06-21-0108,799
6,06-21-1962,759
6,06-21-1946,706
6,06-21-0127,696
6,06-21-2013,687
6,06-22-1947,678
6,06-21-0110,657
6,06-22-2021,657
6,06-21-0147,640
6,06-21-1995,627
6,06-22-1943,564
6,06-21-2025,548
6,06-21-1959,511
6,06-21-2012,503
6,06-21-1965,499
6,06-22-1937,469
6,06-21-0155,449
6,06-21-1983,433
6,06-22-2015,432
6,06-21-2011,384
6,06-21-1990,370
6,06-22-2007,347
6,06-21-0105,346
6,06-21-0141,344
6,06-21-1951,343
6,06-21-1976,337
6,06-22-1968,315
6,06-22-0102,283
6,06-21-0135,235
6,06-22-1990,234
6,06-21-0128,204
6,06-21-0113,129
6,06-22-2003,117
6,06-21-1989,103
6,06-21-0145,84
6,06-22-2001,55
7,07-73-0027,34920
7,07-74-0043,25616
7,07-74-0034,20096
7,07-73-0011,18674
7,07-74-0020,15873
7,07-73-0075,14453
7,07-74-0017,9632
7,07-73-0001,9598
7,07-73-0014,7997
7,07-74-0052,7404
7,07-73-0089,6076
7,07-74-0027,5697
7,07-74-0014,5650
7,07-73-0017,5565
7,07-74-0030,4745
7,07-73-0082,4721
7,07-73-0022,4339
7,07-73-0020,4113
7,07-73-0016,3867
7,07-74-0018,3787
7,07-73-0010,3556
7,07-73-0072,3396
7,07-73-0024,3104
7,07-74-0016,3093
7,07-74-0002,2943
7,07-74-0023,2779
7,07-73-0063,2498
7,07-73-0049,2296
7,07-73-0044,2105
7,07-73-0002,2095
7,07-74-0056,1962
7,07-74-0007,1647
7,07-74-0031,1639
7,07-74-0041,1610
7,07-74-0067,1434
7,07-74-0042,1375
7,07-73-0007,1365
7,07-74-0060,1204
7,07-73-0009,1203
7,07-73-0074,1118
7,07-74-0050,1099
7,07-73-0006,806
7,07-74-0055,768
7,07-74-0079,660
7,07-73-0069,654
7,07-73-0083,547
7,07-73-0038,506
7,07-74-0058,457
7,07-74-0059,376
7,07-74-0061,357
7,07-74-0022,306
7,07-73-0064,300
7,07-74-0066,230
7,07-74-0047,166
7,07-73-0054,141
7,07-73-0090,108
7,07-73-0056,76
7,07-73-0029,61
7,07-73-0087,51
7,07-74-0068,36
7,07-74-0076,36
8,08-71-0005,17622
8,08-71-0046,13207
8,08-71-0004,11523
8,08-71-0051,10152
8,08-71-0084,9658
8,08-72-0031,9646
8,08-72-0016,8947
8,08-72-0034,8784
8,08-72-0041,8493
8,08-71-0010,8367
8,08-71-0015,8346
8,08-71-0003,7916
8,08-71-0026,6702
8,08-71-0017,6664
8,08-71-0022,5295
8,08-72-0037,4067
8,08-72-0019,4014
8,08-71-0085,3726
8,08-72-0067,3719
8,08-71-0090,3675
8,08-72-0074,3637
8,08-71-0065,3517
8,08-71-0012,3471
8,08-72-0008,3450
8,08-71-0059,3086
8,08-71-0009,3072
8,08-71-0048,2905
8,08-71-0041,2774
8,08-72-0017,2555
8,08-72-0045,2480
8,08-72-0042,2468
8,08-71-0071,2320
8,08-71-0031,2301
8,08-71-0052,2209
8,08-71-0001,2190
8,08-72-0053,2163
8,08-71-0078,2045
8,08-71-0050,1975
8,08-72-0020,1920
8,08-72-0072,1907
8,08-71-0016,1704
8,08-71-0043,1642
8,08-71-0013,1617
8,08-71-0025,1525
8,08-72-0013,1452
8,08-71-0002,1366
8,08-72-0009,1319
8,08-72-0012,1315
8,08-72-0065,1297
8,08-72-0010,1267
8,08-72-0079,1166
8,08-72-0028,1098
8,08-71-0057,1049
8,08-72-0057,1048
8,08-72-0080,1036
8,08-72-0066,988
8,08-71-0039,963
8,08-72-0002,885
8,08-71-0023,809
8,08-72-0044,792
8,08-71-0044,788
8,08-71-0033,783
8,08-72-0051,759
8,08-71-0049,675
8,08-71-0020,669
8,08-72-0026,549
8,08-71-0082,547
8,08-72-0015,512
8,08-72-0036,482
8,08-71-0088,433
8,08-71-0079,397
8,08-72-0073,393
8,08-72-0047,370
8,08-71-0008,360
8,08-71-0062,347
8,08-71-0073,315
8,08-72-0025,298
8,08-72-0063,279
8,08-72-0007,259
8,08-71-0019,218
8,08-72-0046,204
8,08-72-0043,163
8,08-71-0081,130
8,08-71-0069,99
8,08-72-0071,89
9,09-49-0053,15423
9,09-49-0075,9603
9,09-49-0080,9138
9,09-49-0088,8498
9,09-50-0004,7686
9,09-49-0106,5473
9,09-49-0011,5414
9,09-50-0003,5251
9,09-49-0001,5106
9,09-49-0071,5082
9,09-49-0010,4899
9,09-49-0070,3883
9,09-49-0005,3701
9,09-49-0126,3549
9,09-49-0091,3527
9,09-49-0034,3394
9,09-49-0054,3157
9,09-50-0063,3037
9,09-49-0029,2927
9,09-49-0064,2926
9,09-49-0035,2798
9,09-50-0006,2740
9,09-49-0021,2693
9,09-49-0068,2537
9,09-50-0060,2495
9,09-50-0008,2470
9,09-49-0109,2439
9,09-50-0022,2236
9,09-49-0149,2047
9,09-50-0018,1850
9,09-49-0081,1807
9,09-50-0036,1789
9,09-50-0029,1743
9,09-49-0115,1677
9,09-49-0047,1658
9,09-50-0066,1628
9,09-49-0107,1527
9,09-49-0090,1441
9,09-49-0072,1439
9,09-49-0100,1315
9,09-49-0066,1287
9,09-50-0011,1287
9,09-49-0017,1280
9,09-49-0043,1266
9,09-49-0038,1250
9,09-49-0046,1230
9,09-49-0002,1204
9,09-49-0063,1150
9,09-50-0002,1131
9,09-49-0015,1061
9,09-50-0037,979
9,09-50-0032,979
9,09-49-0065,963
9,09-49-0113,945
9,09-49-0083,921
9,09-50-0046,910
9,09-50-0001,908
9,09-49-0024,888
9,09-49-0037,887
9,09-50-0051,868
9,09-49-0014,828
9,09-49-0006,798
9,09-49-0045,793
9,09-49-0018,716
9,09-49-0148,693
9,09-49-0008,637
9,09-49-0030,618
9,09-49-0117,609
9,09-50-0039,588
9,09-49-0032,537
9,09-49-0013,521
9,09-49-0042,520
9,09-49-0130,520
9,09-49-0095,475
9,09-49-0122,432
9,09-49-0036,338
9,09-49-0120,304
9,09-49-0137,268
9,09-49-0009,219
9,09-50-0013,203
9,09-49-0051,194
9,09-50-0070,140
9,09-49-0152,135
9,09-49-0012,134
9,09-49-0125,110
9,09-50-0057,106
9,09-49-0039,85
9,09-49-0049,70
9,09-49-0059,65
9,09-49-0023,48
9,09-49-0020,41
10,10-66-0077,12604
10,10-62-0069,11140
10,10-62-0020,9092
10,10-62-0025,8646
10,10-61-0025,7721
10,10-61-0035,7612
10,10-61-0055,7096
10,10-63-0029,6846
