id,name,provId,geoId,totalPopulation
101,Kabul,1,101,2799300
102,Dih Sabz,1,105,43900
103,Mir Bacha Kot,1,108,55800
104,Kalakan,1,110,33100
105,Qarabagh,1,114,78600
106,Istalif,1,113,40200
107,Shakardara,1,106,81300
108,Paghman,1,102,120000
109,Chahar Asyab,1,103,35800
110,Bagrami,1,104,25000
111,Khaki Jabbar,1,109,16600
112,Surobi,1,115,48600
113,Guldara,1,111,24500
114,Musayi,1,107,21100
115,Farza,1,112,21200
201,Mahmudi Raqi,2,201,59100
202,Hisa-i-Awali Kohistan,2,204,67800
203,Koh Band,2,203,19700
204,Nijrab,2,205,95800
205,Tagab,2,206,61800
206,,2,,0
207,Hisa-i-Duwumi Kohistan,2,202,32600
301,Chaharikar,3,301,159600
302,Jabalussaraj,3,305,59600
303,Salang,3,306,22500
304,Shinwari,3,303,29500
305,Sia Gird ( Ghorbund),3,307,88400
306,Shekh  Ali,3,310,28100
307,Surkhi Parsa,3,309,46300
308,Bagram,3,302,99000
309,Kohi Safi,3,308,17100
310,Sayd Khel,3,304,43600
401,Maydan Shahr,4,401,32600
402,Jalrez,4,403,44000
403,Hisa-I- Awali Bihsud,4,407,37400
404,Markazi Bihsud,4,409,106500
405,Day Mirdad,4,406,23000
406,Chaki Wardak,4,404,57500
407,Saydabad,4,405,79200
408,Nirkh,4,402,38800
409,Jaghatu,4,408,23900
501,Puli Alam,5,501,87500
502,Charkh,5,503,33700
503,Baraki Barak,5,502,64400
504,Khoshi,5,504,25500
505,Mohammad Agha,5,505,67900
506,Azra,5,507,19700
507,Kharwar,5,506,16700
601,Jalalabad,6,601,112200
602,Surkh Rod,6,603,111700
603,Hesarak,6,621,23500
604,Shirzad,6,619,48400
605,Khogyani,6,608,108000
606,Chaparhar,6,604,44200
607,Pachir Wa Agam,6,611,31700
608,Deh Bala,6,610,34500
609,Rodat,6,607,53100
610,Achin,6,615,73200
611,Nazyan,6,620,8100
612,Dur Baba,6,622,25900
613,Shinwar,6,616,35600
614,Muhmand Dara,6,617,33300
615,Lal Por,6,618,15200
616,Goshta,6,614,14500
617,Bati Kot,6,609,56700
618,Kama,6,605,77400
619,Kuz Kunar,6,606,50100
620,Dara-I-Nur,6,612,40200
621,Bihsud,6,602,72800
622,Kot,6,613,35400
701,Mihtarlam,7,701,117200
702,Qarghayi,7,702,94600
703,Alingar,7,704,73100
704,Dawlatshah,7,705,31600
705,Alishing,7,703,61600
801,Bazarak,8,801,0
802,Dara,8,803,0
803,Khenj (Hese- Awal),8,804,47600
804,Paryan,8,807,0
805,Shutul,8,806,0
806,Unaba,8,805,0
807,Rukha,8,802,50900
901,Puli Khumri,9,901,145900
903,Dahana-I- Ghuri,9,902,55500
904,Dushi,9,903,54800
905,Tala Wa Barfak,9,911,20900
906,Khinjan,9,906,24600
907,Andarab,9,907,23400
908,Khost Wa Firing,9,913,48600
909,Nahrin,9,904,57400
910,Burka,9,910,49900
911,Baghlani Jadid,9,905,163800
912,Dih Salah,9,908,24100
913,Farang Wa Gharu,9,915,12100
914,Guzargahi Nur,9,914,7200
915,Khwaja Hijran (Jilga Nahrin),9,909,14200
1001,Bamyan,10,1001,68800
1002,Shibar,10,1002,26900
1003,Kahmard,10,1004,30300
1004,Yakawlang,10,1005,80900
1005,Panjab,10,1006,66600
1006,Waras,10,1007,101400
1007,Sayghan,10,1003,16800
1101,Ghazni,11,1101,110200
1102,Bahrami Shahid (Jaghatu),11,1106,0
1103,Khwaja Umari,11,1103,14100
1104,Nawur,11,1110,77100
1105,Ajristan,11,1118,23500
1106,Malistan,11,1116,66100
1107,Jaghuri,11,1114,144300
1108,Muqur,11,1115,36900
1109,Gelan,11,1117,44800
1110,,11,,0
1111,Ab Band,11,1113,20000
1112,Giro,11,1112,22700
1113,Qarabagh,11,1111,107100
1114,Andar,11,1107,88300
1115,Dih Yak,11,1105,37500
1116,Zana Khan,11,1108,10500
1117,Rashidan,11,1109,17800
1118,Waghaz,11,1104,27900
1119,Wali Muhammadi Shahid,11,1102,17100
1201,Gardiz,12,1301,65500
1202,Zurmat,12,1303,95000
1203,Shawak,12,1304,7300
1204,Zadran,12,1305,21900
1205,Ahmad Abad,12,1302,0
1206,Jani Khail,12,1309,18200
1207,Dand Patan,12,1311,14700
1208,Chamkani,12,1310,25200
1209,Laja Ahmad Khail,12,1308,23800
1210,Sayed Karam,12,1306,76300
1211,Ali Khail (Jaji),12,1307,44900
1301,Asadabad,13,1501,25400
1302,Marawara,13,1502,17200
1303,Bar Kunar,13,1508,16400
1304,Dangam,13,1512,12900
1305,Nari,13,1515,0
