"Province name","Province number","Priority A","Priority B","Priority C","None","Total","Allegation 1","Allegation 2","Allegation 3","Allegation 4","Allegation 5","Allegation 6","Allegation 7","Allegation (not mentioned)","Total"
"Badakhshan",15,6,28,11,0,45,19,2,0,6,10,21,0,0,58
"Badghis",29,38,19,13,0,70,44,6,1,9,0,15,0,0,75
"Baghlan",9,76,65,87,0,226,122,24,3,25,4,83,0,0,261
"Balkh",18,9,21,16,0,46,12,6,1,1,0,27,0,0,47
"Bamiyan",10,5,15,12,0,34,6,5,1,2,0,19,0,0,33
"Daikundi",22,15,9,3,0,27,18,2,0,0,9,7,0,0,36
"Farah",31,39,16,15,0,70,48,6,1,4,5,11,0,0,75
"Faryab",28,64,39,41,0,144,59,25,0,14,4,38,0,0,140
"Ghazni",11,40,44,32,0,116,54,9,0,12,7,34,0,0,116
"Ghor",21,17,19,17,0,53,18,8,0,5,2,25,0,0,58
"Helmand",32,37,22,26,0,85,47,5,3,15,0,23,0,0,93
"Herat",30,48,46,94,0,188,70,24,2,26,17,68,0,0,207
"Jowzjan",27,2,7,2,0,11,2,5,2,1,0,4,0,0,14
"Kabul",1,83,77,100,0,260,76,37,4,27,20,84,0,0,248
"Kandahar",33,45,33,62,0,140,72,2,3,35,7,24,0,0,143
"Kapisa",2,14,15,21,0,50,24,3,0,8,3,16,0,0,54
"Khost",26,18,14,18,0,50,36,4,2,5,0,10,0,0,57
"Kunar",13,39,14,23,0,76,43,10,2,9,5,9,0,0,78
"Kunduz",17,31,45,41,0,117,50,20,0,17,9,29,0,0,125
"Laghman",7,17,12,11,0,37,22,6,3,4,2,13,0,0,50
"Logar",5,22,16,25,0,66,44,3,0,6,0,20,0,0,73
"Nangarhar",6,37,32,19,0,89,45,13,0,15,4,19,0,0,96
"Nimroz",34,16,8,6,0,30,20,1,0,3,0,9,0,0,33
"Nuristan",14,13,12,8,0,33,18,5,0,2,7,5,0,0,37
"Paktika",12,25,17,16,0,59,20,5,2,10,0,16,0,0,53
"Paktia",25,22,12,27,0,60,40,1,2,15,1,13,0,0,72
"Panjshir",8,15,13,10,0,38,12,6,3,6,2,7,0,0,36
"Parwan",3,10,20,8,0,38,16,6,0,3,0,20,0,0,45
"Samangan",19,5,5,3,0,13,1,4,0,1,1,4,0,0,11
"Sari Pul",20,5,15,14,0,34,6,1,1,10,0,18,0,0,36
"Takhar",16,20,45,23,0,88,23,9,1,3,0,52,0,0,88
"Uruzgan",23,15,9,7,0,31,22,4,0,9,0,4,0,0,39
"Wardak",4,23,6,8,0,37,20,4,2,2,1,8,0,0,37
"Zabul",24,21,11,15,0,47,34,3,0,7,0,8,0,0,52
"General","n/a",1,4,49,0,54,23,3,0,4,1,21,0,0,52
