station_id,polling_id,delta,Ashraf Ghani Ahmadzai,Dr. Abdullah Abdullah,Hamed Karzai,Ramazan Bashardost,other
1,3401010,1,0,4,155,152,2
2,3401010,2,1,2,175,168,3
3,3401011,1,1,25,29,85,15
4,3401011,2,0,28,26,142,15
5,3401012,1,0,8,27,277,3
6,3401012,2,3,18,29,352,18
7,2907030,1,2,3,20,1,3
8,2907030,2,2,0,12,1,2
9,2907030,3,0,1,5,0,1
10,2907030,4,0,0,0,0,0
11,1424246,1,0,30,537,0,8
12,1424246,2,0,30,309,2,52
13,1424246,3,0,39,499,0,25
14,1424247,1,0,84,338,0,4
15,1424247,2,0,40,381,2,3
16,1424247,3,0,93,210,2,15
17,1424248,1,0,67,86,0,2
18,1424248,2,0,69,79,0,2
19,1424248,3,0,65,47,0,0
20,1424249,1,0,31,116,0,7
21,1424249,2,0,10,175,0,0
22,1424249,3,0,40,56,0,0
23,1424249,4,0,20,73,0,0
24,101491,1,12,4,79,6,1
25,101491,2,15,3,80,0,3
26,101491,3,0,0,10,0,0
27,101490,1,45,224,285,57,43
28,101490,2,56,282,354,78,63
29,101490,3,10,61,171,28,21
30,101490,4,13,63,96,23,11
31,101493,1,37,86,128,17,16
32,101493,2,15,53,75,15,7
33,101493,3,20,85,98,16,14
34,101493,4,30,69,152,24,17
35,101492,1,8,25,69,18,4
36,101492,2,9,16,80,5,4
37,101492,3,16,15,70,10,5
38,101492,4,7,28,111,1,1
39,101495,1,1,92,5,3,3
40,101495,2,1,175,10,1,6
41,101495,3,0,153,16,7,8
42,101495,4,0,115,11,3,2
43,101497,1,15,16,76,5,2
44,101497,2,6,12,55,5,5
45,101497,3,19,40,122,5,10
46,101497,4,10,45,134,4,3
47,101496,1,2,125,13,3,7
48,101496,2,0,49,6,5,4
49,101496,3,1,95,4,4,1
50,101499,1,0,28,252,300,7
51,101499,2,0,21,270,316,12
52,101499,3,1,26,307,326,10
53,101499,4,0,20,257,140,19
54,101499,5,0,29,345,217,15
55,101498,1,76,61,423,19,32
56,101498,2,66,44,366,27,29
57,101498,3,39,49,313,11,13
58,802052,1,0,0,600,0,0
59,802052,2,102,0,498,0,0
60,2808171,1,0,0,584,0,0
