"Province","District ID","Polling Center Name and Location","PC Code","Estimated Voters","Total PS","Male","Female","Kuchi"
"Kabul",101,"Qool Baho But khak ( Senator janat gull mina) ",101510,3000,6,0,0,6
"Kabul",101,"taalab jaan masque (janatgul mina)",101449,1000,6,0,0,6
"Kabul",101,"dasht khaak jabar haaji sanatoor (janatgull mina)high school",101448,6000,15,0,0,15
"Kabul",101,"haaji satarkhan shahmuhammad khail(prozha)masque",101331,2900,5,0,0,5
"Kabul",101,"malwari ghondi mosque ",101509,3000,6,0,0,6
"Kabul",101,"religiose school kochi polcharkhi janat gul mina",101473,4200,8,0,0,8
"Kabul",101,"Spin ghar mosque",101511,2500,6,0,0,6
"Kabul",101,"haaji gulwali masque,prozha",101332,2900,5,0,0,5
"Kabul",101,"bala joy aahiqan arefan,khwaja safa masque",101014,1000,2,1,1,0
"Kabul",101,"maiwand avenue, majid e Akhir Jadah",101003,1500,3,2,1,0
"Kabul",101,"sar gardana,sargardana masque",101012,600,2,1,1,0
"Kabul",101,"cotton sellin street,cotton selling street masque",101005,2000,4,2,2,0
"Kabul",101,"Takya khana , Chendawel ",101011,1500,3,2,1,0
"Kabul",101," Imam Baqer Masjid located in Hazaraha Area. ",101017,1500,3,2,1,0
"Kabul",101,"Achakzayee street,ashiqan,arifan high school",101001,3800,7,4,3,0
"Kabul",101,"sedokan chindawal,ashiqan arefan sacandry school",101004,3800,7,5,2,0
"Kabul",101,"shor bazar ,mulah muhammad masque",101002,2400,4,2,2,0
"Kabul",101,"babay khodi,mastory ghoori,sacandry school",101007,4300,8,5,3,0
"Kabul",101,"eid gah,eid gah masque",101008,4800,8,6,2,0
"Kabul",101,"bagh qazi,baghqazi fateha khana",101009,2400,4,2,2,0
"Kabul",101,"baghban kocha,baghban kocha masque",101015,1500,3,2,1,0
"Kabul",101," Ansuri Balkhi.",101016,1500,3,2,1,0
"Kabul",101," Jafaria Masjid located in chandawal ",101013,3800,7,5,2,0
"Kabul",101,"pol bagh amomi,aayesha dorani high school",101010,3800,7,5,2,0
"Kabul",101,"bala qalaguzar,balaqala masque",101018,1500,3,2,1,0
"Kabul",101," Baihaqi High School , Saraji Area Ahangari Street.",101006,1500,3,2,1,0
"Kabul",101,"qala fatehullah,qala fatehullah kalinic",101208,2700,5,3,2,0
"Kabul",101,"qala chaman,hazrat daud masque",101209,1000,2,1,1,0
"Kabul",101," Chamandin Secondary School , Qala-e-Chaman area. ",101201,1500,3,2,1,0
"Kabul",101,"Shebariha Mosque",101204,2000,4,2,2,0
"Kabul",101,"qala fatehullah,fatemia masque",101213,3100,6,4,2,0
"Kabul",101,"wazir abad,jaami aljawad masque",101225,2000,4,3,1,0
"Kabul",101,"qala khatir,jafary masque",101217,1000,2,1,1,0
"Kabul",101,"charqala,bibi roqia masque",101199,2000,4,3,1,0
"Kabul",101,"char qala,khwaja parsaa wali masque",101196,1000,2,1,1,0
"Kabul",101,"wazir akbarkhan,wazir akbarkhan masque",101227,2000,5,4,1,0
"Kabul",101,"bibi mahrow raod,haaji qasam masque",101218,1500,3,2,1,0
"Kabul",101,"charqala,yadgaar masque",101203,1500,3,2,1,0
"Kabul",101,"bibi mahrow,maydan bibi mahrow masque",101195,1000,2,1,1,0
"Kabul",101,"raod 5qala fatehullah,masood saad sacand schol",101221,2700,5,3,2,0
"Kabul",101,"qala fatehullah, sarak 4 masque",101214,1500,3,2,1,0
"Kabul",101,"charqala, muhammadia masque",101198,1500,3,2,1,0
"Kabul",101,"shahri now,ministary of women afaires",101222,4500,8,5,3,0
"Kabul",101,"charqala,ahmadkhail masque",101205,2400,5,3,2,0
"Kabul",101,"qala fatehullah,ibrahim khalilullah masque",101212,1500,3,2,1,0
"Kabul",101,"char qala,mustafawy masque",101197,2000,4,3,1,0
"Kabul",101,"wazir akbarkhan,amani high school",101226,3800,8,6,2,0
