id,name,distId,provId,estimatedVoters,psTotal,psFemale,psMale,psKuchi
101510,Qool Baho But khak ( Senator janat gull mina) ,101,1,3000,6,0,0,6
101449,taalab jaan masque (janatgul mina),101,1,1000,6,0,0,6
101448,dasht khaak jabar haaji sanatoor (janatgull mina)high school,101,1,6000,15,0,0,15
101331,haaji satarkhan shahmuhammad khail(prozha)masque,101,1,2900,5,0,0,5
101509,malwari ghondi mosque ,101,1,3000,6,0,0,6
101473,religiose school kochi polcharkhi janat gul mina,101,1,4200,8,0,0,8
101511,Spin ghar mosque,101,1,2500,6,0,0,6
101332,"haaji gulwali masque,prozha",101,1,2900,5,0,0,5
101014,"bala joy aahiqan arefan,khwaja safa masque",101,1,1000,2,1,1,0
101003,"maiwand avenue, majid e Akhir Jadah",101,1,1500,3,1,2,0
101012,"sar gardana,sargardana masque",101,1,600,2,1,1,0
101005,"cotton sellin street,cotton selling street masque",101,1,2000,4,2,2,0
101011,"Takya khana , Chendawel ",101,1,1500,3,1,2,0
101017, Imam Baqer Masjid located in Hazaraha Area. ,101,1,1500,3,1,2,0
101001,"Achakzayee street,ashiqan,arifan high school",101,1,3800,7,3,4,0
101004,"sedokan chindawal,ashiqan arefan sacandry school",101,1,3800,7,2,5,0
101002,"shor bazar ,mulah muhammad masque",101,1,2400,4,2,2,0
101007,"babay khodi,mastory ghoori,sacandry school",101,1,4300,8,3,5,0
101008,"eid gah,eid gah masque",101,1,4800,8,2,6,0
101009,"bagh qazi,baghqazi fateha khana",101,1,2400,4,2,2,0
101015,"baghban kocha,baghban kocha masque",101,1,1500,3,1,2,0
101016, Ansuri Balkhi.,101,1,1500,3,1,2,0
101013, Jafaria Masjid located in chandawal ,101,1,3800,7,2,5,0
101010,"pol bagh amomi,aayesha dorani high school",101,1,3800,7,2,5,0
101018,"bala qalaguzar,balaqala masque",101,1,1500,3,1,2,0
101006," Baihaqi High School , Saraji Area Ahangari Street.",101,1,1500,3,1,2,0
101208,"qala fatehullah,qala fatehullah kalinic",101,1,2700,5,2,3,0
101209,"qala chaman,hazrat daud masque",101,1,1000,2,1,1,0
101201," Chamandin Secondary School , Qala-e-Chaman area. ",101,1,1500,3,1,2,0
101204,Shebariha Mosque,101,1,2000,4,2,2,0
101213,"qala fatehullah,fatemia masque",101,1,3100,6,2,4,0
101225,"wazir abad,jaami aljawad masque",101,1,2000,4,1,3,0
101217,"qala khatir,jafary masque",101,1,1000,2,1,1,0
101199,"charqala,bibi roqia masque",101,1,2000,4,1,3,0
101196,"char qala,khwaja parsaa wali masque",101,1,1000,2,1,1,0
101227,"wazir akbarkhan,wazir akbarkhan masque",101,1,2000,5,1,4,0
101218,"bibi mahrow raod,haaji qasam masque",101,1,1500,3,1,2,0
101203,"charqala,yadgaar masque",101,1,1500,3,1,2,0
101195,"bibi mahrow,maydan bibi mahrow masque",101,1,1000,2,1,1,0
101221,"raod 5qala fatehullah,masood saad sacand schol",101,1,2700,5,2,3,0
101214,"qala fatehullah, sarak 4 masque",101,1,1500,3,1,2,0
101198,"charqala, muhammadia masque",101,1,1500,3,1,2,0
101222,"shahri now,ministary of women afaires",101,1,4500,8,3,5,0
101205,"charqala,ahmadkhail masque",101,1,2400,5,2,3,0
101212,"qala fatehullah,ibrahim khalilullah masque",101,1,1500,3,1,2,0
101197,"char qala,mustafawy masque",101,1,2000,4,1,3,0
101226,"wazir akbarkhan,amani high school",101,1,3800,8,2,6,0
101210,"qala chaman,qala chaman masque",101,1,1000,2,1,1,0
101206," Jafaria Masjid ,Taherya ",101,1,1000,2,1,1,0
101220,"Medical institue, Qalae Fathullah road ",101,1,2000,4,2,2,0
101211,"qala fatehullah,zarghona girls high school",101,1,10700,18,5,13,0
101207, CharQala Secondary School No. 1,101,1,1000,2,1,1,0
101219,"maidan hawayee road,bibi mahrow road school",101,1,6900,12,4,8,0
101224,"shahri now,educational deputy center",101,1,3200,6,2,4,0
101202,"charqala,chrqala wazirabd sacandary school",101,1,2700,5,2,3,0
101193,"   Ali Murtaza Masjid , Taimani",101,1,1000,2,1,1,0
101223,"shahri now,ahmad shah masood high school",101,1,7000,12,4,8,0
101194,"balak haye sharwali,aziza afghan sacandary school",101,1,2800,5,2,3,0
101216,"qala fatehullah,husainia masque",101,1,5000,9,3,6,0
101228,"wazir akbarkhan,ahmad mujtabaa masque",101,1,1400,3,1,2,0
