id,name,geoId,Total,totalPopulation,totalPopulationMen,totalPopulationWomen,eccComplaints
1,Kabul,1,527685,3528000,1586000,1485000,248
2,Kapisa,2,64670,400900,189000,186000,54
3,Parwan,3,102775,629500,284000,277000,45
4,Wardak,4,66998,581800,258000,248000,37
5,Logar,5,51909,409900,169000,163000,73
6,Nangerhar,6,369456,1520100,646000,616000,96
7,Laghman,7,103865,441000,194000,184000,50
8,Panjshir,8,44850,144400,67000,64000,36
9,Baghlan,9,175993,819500,391000,372000,261
10,Bamyan,10,125208,411200,192000,187000,33
11,Ghazni,11,291956,1092000,532000,509000,116
12,Paktia,13,212405,438900,189000,180000,53
13,Kunarha,15,117319,978200,196000,186000,78
14,Nooristan,16,64593,132000,64000,62000,37
15,Badakhshan,17,232485,884700,410000,395000,58
16,Takhar,18,233363,930000,422000,406000,88
17,Kunduz,19,93334,417300,424000,409000,125
18,Samangan,20,113462,345100,168000,160000,11
19,Sar-i-Pul,22,119219,514500,242000,231000,36
20,Ghor,23,279611,680200,299000,287000,58
21,Daikondi,24,148915,410000,201000,190000,36
22,Urozgan,25,32080,342400,153000,144000,39
23,Zabul,26,15700,320100,132000,126000,52
24,Paktika,12,229660,550400,239000,229000,72
25,Khost,14,116261,545800,250000,238000,57
26,Balkh,21,297557,1181600,549000,524000,47
27,Juzjan,28,115669,476500,230000,222000,14
28,Faryab,29,221793,954200,429000,412000,140
29,Helmand,30,134804,859600,402000,381000,93
30,Kandahar,27,252866,1070200,508000,482000,143
31,Badghis,31,126348,522100,215000,206000,75
32,Herat,32,435803,1794700,783000,762000,207
33,Farah,33,90334,488100,220000,209000,75
34,Nimroz,34,53812,154900,71000,68000,33
