provId,distId,pcId,psId,candidate,votes
21,2101,3401010,1,1,0
21,2101,3401010,1,2,4
21,2101,3401010,1,3,155
21,2101,3401010,1,4,152
21,2101,3401010,1,5,2
21,2101,3401010,2,1,1
21,2101,3401010,2,2,2
21,2101,3401010,2,3,175
21,2101,3401010,2,4,168
21,2101,3401010,2,5,3
21,2101,3401011,1,1,1
21,2101,3401011,1,2,25
21,2101,3401011,1,3,29
21,2101,3401011,1,4,85
21,2101,3401011,1,5,15
21,2101,3401011,2,1,0
21,2101,3401011,2,2,28
21,2101,3401011,2,3,26
21,2101,3401011,2,4,142
21,2101,3401011,2,5,15
21,2101,3401012,1,1,0
21,2101,3401012,1,2,8
21,2101,3401012,1,3,27
21,2101,3401012,1,4,277
21,2101,3401012,1,5,3
21,2101,3401012,2,1,3
21,2101,3401012,2,2,18
21,2101,3401012,2,3,29
21,2101,3401012,2,4,352
21,2101,3401012,2,5,18
23,2306,2907030,1,1,2
23,2306,2907030,1,2,3
23,2306,2907030,1,3,20
23,2306,2907030,1,4,1
23,2306,2907030,1,5,3
23,2306,2907030,2,1,2
23,2306,2907030,2,2,0
23,2306,2907030,2,3,12
23,2306,2907030,2,4,1
23,2306,2907030,2,5,2
23,2306,2907030,3,1,0
23,2306,2907030,3,2,1
23,2306,2907030,3,3,5
23,2306,2907030,3,4,0
23,2306,2907030,3,5,1
23,2306,2907030,4,1,0
23,2306,2907030,4,2,0
23,2306,2907030,4,3,0
23,2306,2907030,4,4,0
23,2306,2907030,4,5,0
15,1520,1424246,1,1,0
15,1520,1424246,1,2,30
15,1520,1424246,1,3,537
15,1520,1424246,1,4,0
15,1520,1424246,1,5,8
15,1520,1424246,2,1,0
15,1520,1424246,2,2,30
15,1520,1424246,2,3,309
15,1520,1424246,2,4,2
15,1520,1424246,2,5,52
15,1520,1424246,3,1,0
15,1520,1424246,3,2,39
15,1520,1424246,3,3,499
15,1520,1424246,3,4,0
15,1520,1424246,3,5,25
15,1520,1424247,1,1,0
15,1520,1424247,1,2,84
15,1520,1424247,1,3,338
15,1520,1424247,1,4,0
15,1520,1424247,1,5,4
15,1520,1424247,2,1,0
15,1520,1424247,2,2,40
15,1520,1424247,2,3,381
15,1520,1424247,2,4,2
15,1520,1424247,2,5,3
15,1520,1424247,3,1,0
