id,gender,party,name,name_dari,ballotNumber,incumbent,electedPreliminary,electedFinal
962,M,independent,Sultan Ahmad Telayee Shir Jan,سلطان احمد طلایی   شیر جان,76,False,3167,3167
30003,F,independent,Arian Yoon,آرین یون,59,True,4950,4920
30007,F,independent,Saima Khugiani,سایمه خوگیاڼۍ,49,True,2419,2640
41835,M,Political party, Nadir Fahimi,نادر فهیمی,15,False,8919,8919
42267,M,independent,Bismillah Amiri,بسم الله امیری,43,False,262,262
43568,F,independent,Khanum Rezayee,خانم رضایی,7,False,1026,1026
50289,M,independent,Sultan Aziz Qurbani,سلطان عزیز قربانی,26,False,459,459
51131,M,independent, Rahmat Gull Shenwari,رحمت گل,67,False,2356,2357
55335,M,independent,Eng. Gull Agha Hussaini Sahibzada,انجینیر ګل آغا حسنی صاحبزاده,8,False,570,570
56004,M,independent,Mawlawi  Muhammad Ibrahim alik,مولوی محمد ابراهیم   سالک,38,False,87,87
61031,M,independent,Maulawi Rahim Gull Tawhed Yaar,مولوی رحیم گل توحید یار,138,False,320,320
72918,M,independent,Sher Zaman Zaland,شیرزمان ځلاند,13,False,1693,1693
77628,M,independent,Hajji Dost Muhammad Jalalzai,حاجی  دوست محمد جلالزی,66,False,1535,1540
81415,M,independent,Hayatullah Habib,حیات الله حبیب,465,False,167,167
82558,M,independent, Alhaj Mawlawi Najeebullah Abadi,الحاج مولوی نجیب الله  عبادی,88,False,1344,1345
86234,M,independent, Alhaj General Abdul Qadar Hazara,الحاج جنرال عبدالقادر هزاره,87,False,576,576
91209,F,independent, Dr. Dil Jan Farhat,داکتر دل جان   فرحت,77,False,923,921
98512,F,independent,Najiya,ناجیه,12,False,2163,2308
98517,M,Political party, Sayed Ishaq Gailani,سید اسحق گیلانی,22,True,4004,3975
105559,M,independent,Alhaj Mawlawi Lutfullah Azizi,الحاج مولوی لطف الله عزیزی,58,False,2511,2511
113794,M,independent,Asmatullah Muslim,عصمت الله مسلم,27,False,666,665
124221,M,independent, Qari Muhammad Nazeef,قاری محمد نظیف,65,False,2145,2153
130151,M,independent,Ain‐ud‐Din Rustaqi,عین الدین  رستاقی,74,False,983,983
138048,F,independent, Rabia Dashti,رابعه   دشتی,63,False,1162,1162
138080,F,independent,Alhaj Ustad Najya Aymaq,الحاج استاد ناجیه ایماق,51,True,1350,1373
138357,F,independent,Fahima Farhat,فهیمه فرحت,21,False,67,68
141013,F,independent, Muzhgan Arqbeki,مژگان عرضبیگی,64,False,1237,1251
147411,M,independent,Alhaj Amam Qul Sabir,,17,False,51,
149553,M,independent,Alhaj Abdul Momin Omar Khil,الحاج عبدالمومن عمر خیل,86,False,1373,1379
180981,M,independent,Muhammad Azim Mosawi,محمد عظیم موسوی,18,False,103,126
200072,M,independent,Hajji Muhammad Aziz Omarzai,حاجی محمد عزیز عمرزی,28,False,686,653
206822,M,independent,Mualim Abdul Ahad,معلم عبدالاحد,9,False,164,164
206932,M,independent,Hajji Muhammad Rangeen Mushkwani,حاجی محمد رنگین مشکوانی,21,False,859,858
210401,M,independent,Hajji Mualim Ghulam Sakhi,حاجی معلم غلام سخی,23,False,916,923
210404,M,independent,Ahmad Shah Burhani,احمد شاه برهانی,7,False,2114,2084
210405,M,independent, Habibullah Milatyar,حبیب الله ملتیار,18,False,68,67
236522,M,independent,Amir Muhammad Zeiayee,امیر محمد  ضیائی,20,False,3616,3731
249839,M,independent,Maulawi Muhammad Zia Rohani,مولوی محمد ضیاء روحانی,5,False,560,560
260953,M,independent,Malek Ahmad Nikzad,ملک احمد نیکزاد,75,False,747,748
262715,M,independent, Abdul Hadi Faizi,عبدالهادی فیضی,70,False,102,102
268339,M,independent,Sadiqi Zada Neli,صادقی زاده نیلی,33,True,10590,10592
272931,M,independent,Muhibullah,محب الله,20,False,125,124
276121,M,independent,Muhammad Nawed Saied,محمد نوید سعد,6,False,663,662
287780,M,independent, Dr. Muhammad Yusuf Osmani,داکتر محمد یوسف  عثمانی,89,False,123,123
291829,M,independent,Ghaibullah Dastyar,غیب الله دستیار,86,False,168,168
295901,M,independent,Alhaj Maulawi Enayatullah Sharifi,الحاج مولوی عنایت الله شریفی,7,False,1092,1092
298402,F,independent,Wagma Sapai,وږمه ساپۍ,18,False,2557,2538
301816,M,independent, Maulawi Rahman Nahwi,مولوی رحمن نحوی,71,False,311,311
307007,F,independent,Masooma Yaqeen,معصومه یقین,66,False,370,372
309230,F,independent,Fariha Batar Beg,فریحه باتر بیک,7,False,82,83
319599,F,independent,Nadira Nahrain Wal Kohdamani,,25,False,24,
324779,F,independent,Asifa Saba,آصفه صبا,27,False,625,625
327004,F,independent,Hajji Mahbooba Sadiq,حاجی محبوبه صادق,33,False,673,673
327089,F,independent,Masooma Mirzayee,معصومه میرزائی,23,False,920,920
346616,M,independent,Muhammad Asif Barnayar,محمد آصف برنایار,656,False,280,281
347502,F,independent,Salima Kamal-u-din,سلیمه کمال الدین,39,False,148,145
371753,M,independent, Maulawi Abdul Hay Hayrat,مولوی عبدالحی حیرت,16,False,1637,1637
373308,M,independent,Alhaj Zeib Noor,الحاج زیب نور,3,False,2890,2890
383007,F,independent,Dr. Aqila Sharaf,داکتر عاقله شرف,12,False,1253,1217
388970,M,independent,Said-u-Rahman Sabwoon,سید الرحمن سباوون,9,False,150,150
394740,M,independent,Ustad Abdullah Sharar,استاد عبدالله شرر,32,False,263,263
396260,M,independent,Mualim Asadullah Asad,معلم اسدالله اسد,33,False,127,127
402713,M,independent,Hajji Najeebullah,حاجی نجیب الله,15,False,2586,2517
404296,M,independent,Sayed Hadi Balkhi,سید هادی  بلخی,51,False,3585,3507
409175,M,independent,Sayed Abdul Salam Nahzat,سید عبدالسلام نزهت,71,False,34,34
428258,M,independent,Khuwaja Shireen,خواجه شیرین,9,False,59,59
435250,M,independent,Khuwaja Sediq Ahmad Osmani,خواجه صدیق احمد عثمانی,53,True,12855,13074
444151,M,independent, Maulawi Najeebullah Rohani,مولوی نجیب الله روحانی,44,False,179,184
449994,M,independent,Hajji Abdul Rasool Talash,حاجی عبدالرسول تلاش,56,False,785,722
455021,F,independent,Tayeba Yusufi,طیبه یوسفی,13,False,4526,4526
456906,M,independent,Abdullah Qari Baba,عبدالله قاری بابا,148,False,483,484
476427,M,independent,Saranwal Abdul Satar Khawasi,‌ْ‎ًٌٍځارنوال عبدالستار خواصی,5,True,11514,12555
481251,M,independent, Alhaj Muhammad-u-din Ghorbandi,الحاج محمد الدین غوربندی,46,False,759,760
484040,F,independent, Roshna Khalid,,48,False,70,
501226,M,independent,Dr. Muhibullah Katawazai,دوکتور محب الله کټوازی,41,False,75,74
507305,M,independent,Diploma Eng. Alhaj Sayed Muhibullah Gailani,دیپلوم انجنیرالحاج سید محب الله گیلانی,3,False,736,736
514951,F,independent,Masuda Omari,مسعوده عمری,21,False,1730,1728
524005,M,independent, Amir Abdul Wahid Faqir Zada,امیر عبدالواحد   فقیر زاده,33,False,6552,6366
524007,M,independent,Alhaj Abdul Mutalib Bek,الحاج عبدالمطلب بیک,57,False,9413,9411
524303,M,independent,Mudeer Taaj-u-Din Dawar,مدیر تاج الدین  داور,27,False,2136,2134
525313,M,independent,Sayed Qutb-u-Din Sayed,سید قطب الدین  سید,20,False,603,602
526625,M,independent,Atta Muhammad,عطا محمد,5,False,1273,1273
527196,F,independent,Fatima Masood,فاطمه مسعود,25,False,958,958
552736,M,independent,Hajji Abdullah Khan (Sherzad) Hotak,,5,False,1724,
554708,F,independent,Qazi Rahila Salim,قاضی راحله سلیم,8,True,4545,4545
569849,M,independent,Hajji Asadullah Qarabaghi,حاجی اسد الله  قره باغی,540,False,335,353
573205,M,independent,Hajji Abdul Halim Andar,حاجی عبدالحلیم اندړ,6,False,60,61
574944,F,independent,Humaira Muhammadi,حمیرا محمدی,190,False,77,77
576539,M,independent,Puhanduie Ali Hussain Nadam,پو هندوی علی حسین ندام,344,False,1471,1587
579407,M,independent,Sayed Namatullah Naiemi,سید نعمت الله  نعیمی,55,False,2153,2215
593069,F,independent,Zainab Haibat,زینب هیبت,58,False,461,470
602069,M,independent,Salih Muhammad Zamani,صالح محمد زمانی,452,False,292,310
602367,F,independent, Farzana Shansib Ahmadi,فرزانه شنسب احمدی,35,False,423,218
610537,F,independent,Hamida Amiri,حمیده  امیری,237,False,83,86
618568,M,independent,Abdullah Nariwal,عبدالله نړیوال,653,False,36,36
620226,M,independent,Abdul Jamil Oryakhil,عبدالجمیل اوریا خیل,201,False,121,122
627234,M,independent, Hafizullah Barikzai,حفیظ اله  بارکزی,359,False,67,68
629642,M,independent,Alhaj Ghulam Muhammad Faiez,الحاج غلام محمد فایز,424,False,363,367
630791,M,independent,Muhammad Zahir Abasi,محمد ظاهر عباسی,253,False,337,337
636657,M,independent, Eng. Sayed Hussain Mosawi,انجینر سید حسن موسوی,529,False,93,93
637520,M,independent, Hajji Sakhidad Ghafil,حاجی سخیداد غافل,528,False,456,456
638178,M,independent, Hajji Sultan Jan Khaksar,حاجی سلطان جان  خاکسار,26,False,1609,185
638911,M,independent,Saranwal  uhammad Nadir,څارنوال محمد نادر حقو قمل,29,False,1138,676
639759,M,independent,Ghulam Yahya Lashkar,غلام یحی لشکر,14,False,883,260
642212,M,independent,Eng. Zafar Khan,انجینر ظفر خان,21,False,517,451
644616,M,independent, Wasi Farman,واسع فرمان,408,False,520,520
660019,M,independent, Sayed Maqbool Omari,سید مقبول عمری,290,False,839,839
660038,M,independent,Alhaj Noorullah Noor,الحاج نور اله نور,271,False,664,680
660112,M,independent,Fazal Kareem Aymaq,فضل کریم ایماق,35,True,3261,3067
660167,M,independent,Alhaj Baidar Zazai,الحاج بیدار ځاځی,343,True,1982,1988
663112,M,independent,Eng. Ghulam Ali Munir,انجینرغلام علی منیر,525,False,411,412
663139,M,independent, Zalmay Tofaan,زلمی طوفان,119,False,2386,2411
664088,M,independent,Alhaj Abdul Karim Karimi,الحاج عبدالکریم  کریمی,225,False,11,12
665615,M,independent, Puhanduy Ustad Muhammad Yousuf,,514,False,29,
665864,M,independent, Alhaj Muhammad Haroon Jalali,الحاج محمد هارون جلالی,455,False,54,55
674739,M,independent,Eng. Abdul Hadi,انجینر عبدالهادی,4,False,1471,1471
681699,M,independent,Ghulam Ali Zari Haqjo,غلام علی زارع   حقجو,120,False,2672,2678
688007,M,independent,Malim Abid,معلم عابد,235,False,957,958
699894,M,independent,Muhammad Dawood Akbar Nejrabi,محمد داود اکبر نجرابی,664,False,570,570
