"Province","اسم ولایت","District","اسم ولسوالی","Polling Center Name and Location","موقیعت مرکز رایدهی","Prov","Dist","ProvDist","PC Code /
کود  مرکز رای دهی","Estimated Voters/
تخمین رای دهندگان","Total PS/
تعداد محلات","Male/
مرد","Female/
زن","Kuchi/
کوچی","Accessibility/
دسترسی"
"Badakhshan","بدخشان","FAIZ ABAD","مرکزبدخشان - فیض آباد","Fayez Shahid Langar Yaftal Ulya School","مکتب فیضی شهید, لنگر یفتل علیا",14,1,1401,1401001,1400,3,2,1,0,"مرکب"
"Badakhshan","بدخشان","FAIZ ABAD","مرکزبدخشان - فیض آباد","Do Aaba School, Dobayee Yaftal Ulya","مکتب دو آبه, دوبایی یفل علیا",14,1,1401,1401002,1400,3,2,1,0,"مرکب"
"Badakhshan","بدخشان","FAIZ ABAD","مرکزبدخشان - فیض آباد","Talbzang Payan School","مکتب تالبازان, طالب زنگ پایین",14,1,1401,1401003,1300,2,1,1,0,"مرکب"
"Badakhshan","بدخشان","FAIZ ABAD","مرکزبدخشان - فیض آباد","Sar Qol School, Sar Qol Yaftal Ulya","مکتب سر قول, سر قول یفتل علیا",14,1,1401,1401004,1000,2,1,1,0,"مرکب"
"Badakhshan","بدخشان","FAIZ ABAD","مرکزبدخشان - فیض آباد","Deh Kalan School, Deh Kalan Yaftal Ulya","مکتب ده کلان, ده کلان یفتل علیا",14,1,1401,1401005,1000,2,1,1,0,"مرکب"
"Badakhshan","بدخشان","FAIZ ABAD","مرکزبدخشان - فیض آباد","Kol Gaahi School, Kol Gaahi Yaftal Ulya","مکتب کول گاهی, کول گاهی یفتل علیا",14,1,1401,1401006,1000,2,1,1,0,"مرکب"
"Badakhshan","بدخشان","FAIZ ABAD","مرکزبدخشان - فیض آباد","Gazaan School, Gazaan Yaftal Ulya","مکتب گزان, گزان یفتل علیا",14,1,1401,1401007,1400,3,2,1,0,"توسط عراده جات راه موتر"
"Badakhshan","بدخشان","FAIZ ABAD","مرکزبدخشان - فیض آباد","Eltifaq Mosque","مسجد اتفاق ",14,1,1401,1401008,1400,3,2,1,0,"توسط عراده جات راه موتر"
"Badakhshan","بدخشان","FAIZ ABAD","مرکزبدخشان - فیض آباد","Aljahad School, Dasht-e-Qarogh District","مکتب ضیأالدین, قریه آس",14,1,1401,1401009,1180,2,1,1,0,"توسط عراده جات راه موتر"
"Badakhshan","بدخشان","FAIZ ABAD","مرکزبدخشان - فیض آباد","Aljahad School, Dasht-e-Qarogh District","مکتب الجهاد, ناحیه دشت قاروغ",14,1,1401,1401010,1200,2,1,1,0,"توسط عراده جات راه موتر"
"Badakhshan","بدخشان","FAIZ ABAD","مرکزبدخشان - فیض آباد","Safed Shaheed School, Shahr-e-Jadid District","مکتب سیف شهید, ناحیه شهر جدید",14,1,1401,1401011,1500,3,2,1,0,"توسط عراده جات راه موتر"
"Badakhshan","بدخشان","FAIZ ABAD","مرکزبدخشان - فیض آباد","Medical Faculty, Shahr-e-Jadid District","فاکولته طب, ناحیه شهر جدید",14,1,1401,1401012,1500,3,2,1,0,"توسط عراده جات راه موتر"
"Badakhshan","بدخشان","FAIZ ABAD","مرکزبدخشان - فیض آباد","Imam Bukhari Mosque, Sang-e-Mahr","مسجد امام بخاری, سنگ مهر",14,1,1401,1401013,1000,2,1,1,0,"توسط عراده جات راه موتر"
"Badakhshan","بدخشان","FAIZ ABAD","مرکزبدخشان - فیض آباد","Najibullah Shaheed Chata School, District 4","مکتب نجیب الله, چتا ناحیه چهار",14,1,1401,1401014,1500,3,2,1,0,"توسط عراده جات راه موتر"
"Badakhshan","بدخشان","FAIZ ABAD","مرکزبدخشان - فیض آباد","Kokcha High School, High School Street District 3","لیسه عالی کوکچه, ناحیه 3 کوچه لیسه",14,1,1401,1401015,1500,3,2,1,0,"توسط عراده جات راه موتر"
"Badakhshan","بدخشان","FAIZ ABAD","مرکزبدخشان - فیض آباد","No.2 Female School, Shahr-e-Kuhna, District 2","مکتب نسوان نمبر 2, ناحیه 2 شهر کهنه",14,1,1401,1401016,2000,4,2,2,0,"توسط عراده جات راه موتر"
"Badakhshan","بدخشان","FAIZ ABAD","مرکزبدخشان - فیض آباد","Naghz Dara School, Naghz Dara","مکتب نغز دره, نغز دره",14,1,1401,1401017,1400,3,2,1,0,"مرکب"
"Badakhshan","بدخشان","FAIZ ABAD","مرکزبدخشان - فیض آباد","Muzeeng School, Muzeeng School","مکتب موزینگ, مکتب موزینگ",14,1,1401,1401018,1000,2,1,1,0,"مرکب"
