"Lat","Lon","Prov_ID","Prov_Name","Dari_Prov"
69.33,34.55,1,"Kabul","کابل"
69.62,34.96,2,"Kapisa","کاپیسا"
68.89,34.96,3,"Parwan","پروان"
68.22,34.3,4,"Wardak","وردک"
69.17,34.01,5,"Logar","لوگر"
70.48,34.27,6,"Nangarhar","ننگرهار"
70.16,34.76,7,"Laghman","لغمان"
69.79,35.45,8,"Panjsher","پنجشیر"
68.91,35.8,9,"Baghlan","بغلان"
67.23,34.8,10,"Bamyan","بامیان"
67.81,33.32,11,"Ghazni","غزنی"
69.39,33.63,12,"Paktya","پکتیا"
71.09,34.97,13,"Kunar","کنرها"
70.79,35.42,14,"Nuristan","نورستان"
71.46,37.04,15,"Badakhshan","بدخشان"
69.78,36.7,16,"Takhar","تخار"
68.75,36.84,17,"Kunduz","کندز"
67.08,36.67,18,"Balkh","بلخ"
67.7,35.97,19,"Samangan","سمنگان"
66.14,35.71,20,"SariPul","سرپل"
64.93,34.18,21,"Ghor","غور"
66.18,33.69,22,"Daykundi","دایکندی"
66.06,32.85,23,"Uruzgan","ارزگان"
67.15,32.2,24,"Zabul","زابل"
68.74,32.48,25,"Paktika","پکتیکا"
69.83,33.38,26,"Khost","خوست"
65.85,36.83,27,"Jawzjan","جوزجان"
64.87,36.06,28,"Faryab","فاریاب"
63.73,35.14,29,"Badghis","بادغیس"
62.13,34.2,30,"Hirat","هرات"
62.3,32.61,31,"Farah","فراه"
64.02,31.12,32,"Hilmand","هلمند"
65.71,31.04,33,"Kandahar","کندهار"
62.32,30.8,34,"Nimroz","نیمروز"
