"Longitude","Latitude","Province Name","District Name","August 2010","May - August 2010",2010,"2009 and 2010","Election Day 2009","Election Day 2010"
70.82,37.27,"Badakhshan","Arghanj Khwa",0,1,2,5,0,0
70.43,37.06,"Badakhshan","Argo",2,5,8,19,0,0
70.9,37.03,"Badakhshan","Baharak",0,6,7,8,0,0
70.47,36.87,"Badakhshan","Darayem",1,7,7,8,0,2
70.91,38.23,"Badakhshan","Darwaz",,,,,0,1
71.15,38.13,"Badakhshan","Darwaz-e-Balla",0,0,0,2,0,0
70.61,37.22,"Badakhshan","Faiz Abad",3,17,25,61,0,0
71.46,36.85,"Badakhshan","Ishkashem",0,0,1,3,0,0
70.91,36.74,"Badakhshan","Jorm",0,6,6,13,0,1
70.13,36.77,"Badakhshan","Keshem",1,10,12,22,0,0
70.73,36.94,"Badakhshan","Khash",0,0,0,2,0,0
70.39,37.84,"Badakhshan","Khwahan",0,0,0,3,0,0
70.69,37.94,"Badakhshan","Kof Ab",1,1,1,1,0,0
70.66,37.42,"Badakhshan","Kohistan",0,0,0,1,0,0
70.77,35.93,"Badakhshan","Koran wa Monjan",1,1,1,3,0,0
70.67,37.66,"Badakhshan","Raghistan",0,1,1,4,0,0
70.14,37.34,"Badakhshan","Shahr-e-Buzorg",0,1,2,5,0,0
70.65,38.21,"Badakhshan","Shaki",,,,,0,0
71.24,37.6,"Badakhshan","Shighnan",1,1,1,3,0,0
71.16,37.1,"Badakhshan","Shuhada",0,3,3,3,0,0
70.35,36.48,"Badakhshan","Tagab",0,1,1,1,0,5
70.4,36.77,"Badakhshan","Teshkan",0,1,3,3,0,0
73.35,37.06,"Badakhshan","Wakhan",0,0,0,1,0,0
71.18,36.76,"Badakhshan","Warduj",1,3,10,16,0,0
70.37,37.31,"Badakhshan","Yaftal-e-Sufla",1,3,6,10,0,0
70.79,36.44,"Badakhshan","Yamgan",0,0,0,3,0,0
70.38,37.53,"Badakhshan","Yawan",3,5,5,9,0,1
71.34,36.43,"Badakhshan","Zebak",1,2,2,4,0,0
62.9,34.93,"Badghis","Ab Kamari",1,6,7,11,1,1
63.47,35.47,"Badghis","Bala Murghab",8,47,102,153,0,7
63.78,35.72,"Badghis","Ghormach",5,37,85,131,1,6
64.34,35,"Badghis","Jawand",0,1,1,4,0,2
63.11,35.17,"Badghis","Muqur",3,19,42,78,1,4
63.58,34.82,"Badghis","Qadis",2,17,30,39,1,6
63.12,34.81,"Badghis","Qala-e-Naw",3,15,24,43,0,1
69.18,35.62,"Baghlan","Andarab",0,4,6,9,0,0
68.62,36.33,"Baghlan","Baghlan-e-jadid",8,34,80,135,5,8
69.16,36.24,"Baghlan","Burka",4,9,11,13,0,2
68.46,35.82,"Baghlan","Dahana-e-Ghory",0,11,17,26,0,2
69.36,35.74,"Baghlan","Deh Salah",1,3,4,8,0,0
68.67,35.62,"Baghlan","Dushi",0,3,6,16,0,4
69.68,36.14,"Baghlan","Firing Wa Gharu",,,,,0,0
69.57,36.23,"Baghlan","Guzargah-e- Nur",0,0,1,2,0,0
68.97,35.47,"Baghlan","Khenjan",0,4,4,9,0,0
69.67,35.9,"Baghlan","Khowst wa Fereng",0,1,1,1,0,0
69.29,35.97,"Baghlan","Khwaja Hejran",,,,,0,0
69.03,36,"Baghlan","Nahrin",2,3,4,10,0,0
68.67,36.01,"Baghlan","Pul-e- khumri",11,52,80,113,2,8
