id,name,provId,provName,distId,distName
101001,"Achakzayee street,ashiqan,arifan high school",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101002,"shor bazar ,mulah muhammad masque",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101003,"maiwand avenue, majid e Akhir Jadah",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101004,"sedokan chindawal,ashiqan arefan sacandry school",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101005,"cotton sellin street,cotton selling street masque",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101006,"Baihaqi High School , Saraji Area Ahangari Street.",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101007,"babay khodi,mastory ghoori,sacandry school",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101008,"eid gah,eid gah masque",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101009,"bagh qazi,baghqazi fateha khana",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101010,"pol bagh amomi,aayesha dorani high school",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101011,"Takya khana , Chendawel",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101012,"sar gardana,sargardana masque",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101013,Jafaria Masjid located in chandawal,1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101014,"bala joy aahiqan arefan,khwaja safa masque",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101015,"baghban kocha,baghban kocha masque",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101016,Ansuri Balkhi.,1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101017,Imam Baqer Masjid located in Hazaraha Area.,1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101018,"bala qalaguzar,balaqala masque",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101019,"bagh bala, abdullah ibni masood masque",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101020,"deh afghanan,rangha masque",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101021,"joy shir ,ansaary high school",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101022,"joy shir ,parsa primary school",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101023,"joy shir deh afghanan,qari abdullah school",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101024,"karti parwan cinema baharistan,mir ahmad masque",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101025,"karti ariana,karti ariana sacandry school",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101026,"karti parwan,maaz bini jabal masque",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101027,"karti parwan,omar farooq masque",1,Kabul          ,,PROVINCIAL CENTER (KABUL)                         
101028,"istiqlal high school,istiqlal high school",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101029,"shahdoshamshira,shahdoshamshira high school",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101030,"tol abcakan,nayebsalar masque",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101031,"marad khani,directrite of department afaire",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101032,"end bus stop university,sofi islam school",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101033,"deh bori,mahmod hotaky high school",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101034,"karti char,sayed jamaludin afghan sacandry school",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101035,"jamal mina,no13jamal mina sacandry school",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101036,No. 19 School of Jamal Mina,1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101037,"Masjid Hanzala Masjid, Dehmazang at the back side of Tolay Sawar.",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101038,"saray ghazni,sayed jamaludin teacher training",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101039,"deh mazang,amir dostmuhammad khan school",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101040,"now abaddehmazang,amirhmza sacandry school",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101041,"guzargah,guzargah sacandry school",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101042,"mirwais maidan,sang kashan masque",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101043,"tapa salam,wais masque",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101044,"karti mamorin,karti mamori masque",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101045,"university,law and political seince faqolty",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101046,"karti char, higher education ministry",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101047,"karti char,rabeh balkhi high school",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101048,"Masjid Milad Nabi, Bagh Bala Area.",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101049,"charahi sadarat,malalay girls school",1,Kabul          ,,PROVINCIAL CENTER (KABUL)                         
101050,"charahi taymani,tajoor sultana girl high school",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101051,"charahi taymani,jamaat khana ismayalya",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101052,"Manochehrey Female school, Charahi Taimani",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101053,"charahi taymani,nasir khisrow sacandry school",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101054,"karti parwan,rabya high school",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101055,"karti parwan,ghaziayob no2 sacandry school",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101056,"karti parwan,wazir muhammad akbarkhan sacandry school",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101057,"karti parwan,baba Nanak high school",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101058,"karti parwan, nadria high school",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101059,"kolola pushta,imamrazay gharib masque",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101060,"now abad dehkipak,now abad dikipak sacandry sch",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101061,"parozha wazir abad,kadakistan no 1",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101062,"parozha taymani,malaka suraya girls school",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
101063,"salang,jamhooriat high school",1,Kabul          ,,PROVINCIAL CENTER (KABUL)                         
101064,"shahrak police,mahmood sediq farhang sacandary school",1,Kabul          ,161,PROVINCIAL CENTER (KABUL)                         
