id,name,geoId,eccComplaints
1,Kabul,1,565
2,Kapisa,2,53
3,Parwan,3,66
4,Wardak,4,46
5,Logar,5,139
6,Ghazni,11,77
7,Paktika,12,128
8,Paktia,13,42
9,Khost,14,235
10,Nangarhar,6,283
11,Kunarha,15,125
12,Laghman,7,238
13,Nuristan,16,104
14,Badakhshan,17,119
15,Takhar,18,107
16,Baghlan,9,212
17,Kunduz,19,129
18,Samangan,20,45
19,Balkh,21,73
20,Jowzjan,28,27
21,Sar-i-Pul,22,24
22,Faryab,29,122
23,Badghis,31,134
24,Herat,32,327
25,Farah,33,33
26,Nimroz,34,32
27,Helmand,30,64
28,Kandahar,27,109
29,Zabul,26,122
30,Urozgan,25,27
31,Ghor,23,136
32,Bamiyan,10,44
33,Panjshir,8,12
34,Daikondi,24,39
