closed,district,iec_district_id,iec_prov_id,lat,lon,map_accuracy,pc_code,pc_location,pc_name,province,ps_female,ps_male,ps_total,verification_note
0,Kabul-D01,01,01,34.50867443,69.18066344,تعمیر,0101001,Achekzai Street,Ashuqan-O-Arifan High School,Kabul,2,3,5,Building
0,Laja Ahmad Khel,08,13,33.8758094800001,69.6333802,ولسوالی,1308138,Kwandi Hassan Khel Village,Venus Khel Mosque,Paktya,0,3,3,District
0,Kama,05,06,34.4562396270002,70.5942892450001,قریه,0605160,Darbang ,Darbang School,Nangarhar,1,2,3,Village
0,Sher Zad,19,06,34.2467299400001,69.99698577,قریه,0619243,Mama Khel ,Mama Khel High School,Nangarhar,2,0,2,Village
0,Goshta,14,06,34.4795246200001,70.92009011,قریه,0614499,Ali Khel Village,Private House,Nangarhar,2,0,2,Village
1,Achin,15,06,34.0697958200001,70.76374529,قریه,0615385,Bandar Khola,Bandar Khola Jaame Mosque,Nangarhar,0,2,2,Village
0,Shindand,14,32,33.3064080500001,62.1427384500001,تعمیر,3214301,Qandiz ,Qandiz Qademi Mosque ,Herat,1,3,4,Building
0,Guzara,03,32,34.06038433,62.3762902600001,قریه,3203117,Gumbadi Village,Kochis Location,Herat,1,1,2,Village
0,Balkh,06,21,36.9106549360001,66.8483468630001,تعمیر,2106177,Shahab Afghania Village,Shamsullah Private House,Balkh,1,1,2,Building
0,Tagab,06,02,34.8870519400001,69.68533361,تعمیر,0206095,Shokut,Shaheed Hafizullah Secondary School,Kapisa,0,3,3,Building
0,Shaykh Ali,10,03,34.9465631600001,68.5413121510001,تعمیر,0310131,District Bazar Dasht-E-Guzar,District Building ,Parwan,1,1,2,Building
0,Obe,12,32,34.27624227,63.2414726200001,قریه,3212376,Posht-E- Paji ,Posht-E- Paji Mosque,Herat,1,1,2,Village
0,Obe,12,32,34.2890784900001,63.0578306700001,تعمیر,3212377,Sarwan Village,Sarwan School ,Herat,2,3,5,Building
0,Syahgirdi Ghorband,07,03,35.0053074100001,68.86111751,ولسوالی,0307090,Sar-E-Pul Du Aab,Du Aab Mosque,Parwan,1,2,3,District
0,Chighcheran,01,23,34.99556325,65.70398113,قریه,2301039,Jandak,Jandak School,Ghor,2,3,5,Village
0,Alingar,04,07,34.86126123,70.36992997,تعمیر,0704076,Parwayee,Parwayee School,Laghman,1,1,2,Building
0,Alingar,04,07,34.8866182900001,70.3794519700001,تعمیر,0704080,Mango,Mango School And Tent,Laghman,1,1,2,Building
0,Alingar,04,07,34.9232741800001,70.3919603200001,تعمیر,0704081,Kotaly,Kotaly Islamic Madrassa,Laghman,1,1,2,Building
0,Shigal Wa Shiltan,06,15,34.9498063500001,71.22808631,تعمیر,1506063,Shenkorak,Primary School,Kunar,2,3,5,Building
0,Shigal Wa Shiltan,06,15,34.96645553,71.27483787,تعمیر,1506064,Shegal Washilton,District Compound,Kunar,2,3,5,Building
0,Dangam,12,15,35.0156009800001,71.39875741,قریه,1512054,Byadad,Byadad Primary School,Kunar,2,2,4,Village
0,Pasaband,05,23,33.7876423800001,64.8916015,تعمیر,2305113,Takhta Tarma Village,Takhta Tarma Bazar Tent,Ghor,1,2,3,Building
1,Pasaband,05,23,33.6059789600001,65.2299954800001,تعمیر,2305134,Surkhak Village,Surkhak Village Mosque,Ghor,1,1,2,Building
0,Tulak,09,23,33.9718644400001,63.71988353,تعمیر,2309178,Khwajaha Village,Tolak School,Ghor,1,2,3,Building
0,Tulak,09,23,34.12008072,63.6318589600001,قریه,2309186,Tagab Ashlan,Tagab Ashlan Secondary School,Ghor,1,3,4,Village
0,Tulak,09,23,34.15350051,63.5195672500001,قریه,2309192,Laraq,Arbab Mir Gul Private House,Ghor,1,1,2,Village
0,Tulak,09,23,33.94593145,63.79730451,تعمیر,2309193,Sang Khalq,Sang Khalq Primary School,Ghor,1,2,3,Building
0,Nawzad,07,30,32.404516,64.4708569100001,قریه,3007196,Nawzad Kalan,Asad Suri High School,Helmand,1,6,7,Village
0,Musa Qala,09,30,32.23240214,64.6983095,قریه,3009184,Sher Ghazai,Noor Mohammad Private House,Helmand,2,3,5,Village
0,Musa Qala,09,30,32.26020614,64.7452245400001,قریه,3009185,Kaani Manda,Khan Mohammad Mosque,Helmand,2,3,5,Village
0,Bala Murghab,05,31,35.6137384700001,63.3107353200001,تعمیر,3105153,Akaziha ,Akazi School,Badghis,1,1,2,Building
0,Bala Murghab,05,31,35.52160345,63.37038205,تعمیر,3105158,Joy-E-Kar,Joy-E- Kar School,Badghis,1,2,3,Building
0,Bala Murghab,05,31,35.3253650400001,63.6413523900001,قریه,3105168,Mahalla-E- Paheen ,Mahalla-E- Paheen  School,Badghis,2,3,5,Village
0,Bala Murghab,05,31,35.6121543500001,63.32484536,قریه,3105188,Sarkhlang Joy-E-Ganj,Sarkhlang Joy-E-Ganj Mosque,Badghis,1,1,2,Village
0,Khak-E-Safed,03,33,32.90659178,61.90357121,قریه,3303055,Kariz Sadiq,Kariz Sadiq Mosque ,Farah,1,1,2,Village
0,Khak-E-Safed,03,33,32.60276273,62.09337379,تعمیر,3303239,Ghorchi,Ghorchi Mosque ,Farah,1,1,2,Building
0,Qala-E-Kah,04,33,32.2993253600001,61.29710971,تعمیر,3304072,Hassan Abad Ulya ,Hassan Abad Ulya Mosque ,Farah,1,1,2,Building
0,Bala Buluk,06,33,32.76432537,62.5784622400001,قریه,3306149,Todanak Village,Todanak Village Tent (Kuchi),Farah,1,1,2,Village
0,Gulistan,10,33,32.55547772,63.2338586800001,قریه,3310177,Mughol Abad ,Mughol Abad Mosque ,Farah,1,1,2,Village
0,Nijrab,05,02,34.95213325,69.59841878,تعمیر,0205039,Afghania,Qazi Abdul Jamil  School ,Kapisa,2,1,3,Building
