province,district,PC_number,PS_number,Eng-Qutbuddin Hilal,Dr. Abdullah Abdullah,Zalmai Rassoul,Abdul Rahim Wardak,Quayum Karzai,Prof-Abdo Rabe Rasool Sayyaf,Dr. Mohammad Ashraf Ghani Ahmadzai,Mohammad Daoud Sultanzoy,Mohd. Shafiq Gul Agha Sherzai,Mohammad Nadir Naeem,Hedayat Amin Arsala,Total
KABUL,Kabul,101001,1,4,58,15,0,0,6,44,0,4,1,0,132
KABUL,Kabul,101001,2,1,28,13,0,0,2,24,1,2,0,0,71
KABUL,Kabul,101001,3,1,35,14,0,0,0,14,1,4,0,0,69
KABUL,Kabul,101001,4,0,28,8,0,0,0,13,0,0,0,1,50
KABUL,Kabul,101001,5,1,11,6,0,0,2,2,0,0,0,0,22
KABUL,Kabul,101002,1,5,173,32,1,1,13,109,0,1,0,0,335
KABUL,Kabul,101002,2,4,161,24,1,0,14,78,1,2,2,1,288
KABUL,Kabul,101002,3,3,128,26,0,1,14,72,1,1,0,1,247
KABUL,Kabul,101002,4,0,115,20,0,1,12,42,0,0,1,1,192
KABUL,Kabul,101002,5,1,63,12,0,5,2,14,2,0,1,4,104
KABUL,Kabul,101003,1,4,145,24,0,0,12,180,1,2,1,0,369
KABUL,Kabul,101003,2,0,166,33,1,0,5,166,1,3,0,1,376
KABUL,Kabul,101003,3,0,44,5,1,0,3,36,0,0,0,3,92
KABUL,Kabul,101004,1,2,167,20,1,0,20,36,0,0,0,0,246
KABUL,Kabul,101004,2,4,137,26,0,0,13,39,1,2,0,0,222
KABUL,Kabul,101004,3,2,142,13,0,0,6,35,1,0,0,0,199
KABUL,Kabul,101004,4,4,114,26,0,0,3,23,1,0,0,0,171
KABUL,Kabul,101004,5,0,109,9,1,0,1,31,2,0,0,1,154
KABUL,Kabul,101005,1,3,142,13,0,6,14,82,0,2,0,0,262
KABUL,Kabul,101005,2,3,106,17,0,0,22,81,0,2,0,1,232
KABUL,Kabul,101005,3,0,8,5,0,0,0,6,0,0,0,0,19
KABUL,Kabul,101005,4,0,13,1,1,0,1,8,0,0,0,0,24
KABUL,Kabul,101006,1,1,90,22,0,2,8,55,1,1,0,1,181
KABUL,Kabul,101006,2,0,75,13,0,0,7,45,3,0,0,0,143
KABUL,Kabul,101006,3,3,97,26,0,1,12,78,2,1,0,1,221
KABUL,Kabul,101006,4,0,26,12,0,0,3,16,0,0,0,0,57
KABUL,Kabul,101006,5,2,50,10,0,0,3,35,1,0,0,0,101
KABUL,Kabul,101007,1,1,64,11,0,0,4,35,1,0,0,0,116
KABUL,Kabul,101007,2,0,38,4,0,0,6,10,0,0,0,0,58
KABUL,Kabul,101007,3,1,54,3,0,0,6,10,0,1,0,0,75
KABUL,Kabul,101007,4,0,19,0,0,0,3,6,0,0,0,0,28
KABUL,Kabul,101007,5,1,24,4,0,1,1,11,1,0,0,0,43
KABUL,Kabul,101008,1,2,193,31,3,0,10,231,0,2,0,0,472
KABUL,Kabul,101008,2,2,247,30,0,0,13,211,0,0,1,0,504
KABUL,Kabul,101008,3,6,214,44,0,2,31,243,0,7,1,0,548
KABUL,Kabul,101008,4,0,27,6,0,0,0,8,1,0,0,0,42
KABUL,Kabul,101008,5,0,19,3,0,0,1,20,0,0,0,0,43
KABUL,Kabul,101008,6,0,32,4,0,0,0,4,0,0,0,0,40
KABUL,Kabul,101009,1,1,101,9,1,0,5,34,0,0,0,0,151
KABUL,Kabul,101009,2,0,80,12,0,0,2,21,1,1,0,1,118
KABUL,Kabul,101009,3,0,12,22,0,0,0,18,0,1,0,0,53
KABUL,Kabul,101009,4,0,26,2,0,0,0,4,0,0,0,0,32
KABUL,Kabul,101010,1,4,180,12,0,1,17,72,1,1,0,0,288
KABUL,Kabul,101010,2,2,127,10,0,0,15,73,0,0,0,1,228
KABUL,Kabul,101010,3,5,151,33,1,1,18,66,0,1,0,1,277
KABUL,Kabul,101010,4,0,25,5,0,0,0,8,0,0,0,0,38
KABUL,Kabul,101010,5,0,7,3,0,0,0,7,0,0,0,0,17
KABUL,Kabul,101011,1,1,60,18,0,0,3,27,0,0,0,0,109
KABUL,Kabul,101011,2,3,96,20,0,1,4,47,0,6,0,0,177
KABUL,Kabul,101011,3,0,77,32,1,0,0,29,1,0,0,1,141
KABUL,Kabul,101012,1,1,148,10,0,0,5,104,1,6,0,0,275
KABUL,Kabul,101012,2,0,64,5,0,0,0,24,0,1,0,0,94
KABUL,Kabul,101013,1,0,192,43,0,1,1,51,0,9,2,3,302
KABUL,Kabul,101013,2,1,154,38,0,1,1,44,1,2,0,0,242
KABUL,Kabul,101013,3,1,182,57,0,0,2,75,0,6,0,3,326
KABUL,Kabul,101013,4,0,199,62,0,1,0,41,5,2,1,3,314
KABUL,Kabul,101013,5,0,185,58,1,0,0,34,4,4,3,1,290
KABUL,Kabul,101014,1,1,267,5,0,0,9,31,0,1,0,0,314
KABUL,Kabul,101014,2,2,144,6,0,0,2,7,2,0,0,0,163
KABUL,Kabul,101015,1,2,63,10,0,0,10,24,0,1,0,0,110
KABUL,Kabul,101015,2,9,82,11,0,0,15,43,1,1,0,0,162
KABUL,Kabul,101015,3,0,16,8,0,0,2,4,2,0,0,0,32
KABUL,Kabul,101016,1,2,85,15,0,0,4,29,3,0,1,0,139
KABUL,Kabul,101016,2,4,82,9,0,2,5,54,0,1,0,2,159
KABUL,Kabul,101016,3,1,67,16,0,1,4,41,1,1,0,0,132
KABUL,Kabul,101016,4,0,54,5,0,0,2,1,1,0,0,0,63
KABUL,Kabul,101016,5,0,38,2,0,0,0,12,0,0,0,1,53
KABUL,Kabul,101017,1,2,227,77,0,1,4,48,2,8,0,1,370
KABUL,Kabul,101017,2,0,221,61,2,1,4,46,2,3,1,2,343
KABUL,Kabul,101017,3,1,378,95,2,3,2,65,9,10,4,3,572
KABUL,Kabul,101018,1,4,123,14,0,1,19,29,1,0,0,0,191
KABUL,Kabul,101018,2,1,97,12,1,0,9,28,2,1,0,0,151
KABUL,Kabul,101018,3,0,52,15,0,0,0,19,2,1,0,2,91
KABUL,Kabul,101019,1,2,240,17,0,0,18,70,1,3,1,1,353
KABUL,Kabul,101019,2,12,181,15,0,0,14,55,13,2,0,0,292
KABUL,Kabul,101019,3,0,103,10,0,0,5,22,0,5,1,0,146
