id,name,provId,geoId,totalPopulation,observersFirstRound,observersRunOff
101,Kabul,1,101,3289000,40,1053
105,Deh Sabz,1,105,52600,22,34
106,Shakardara,1,106,80000,15,36
102,Paghman,1,102,118100,22,49
103,Chahar Asyab,1,103,35600,18,27
107,Musayi,1,107,22800,10,22
104,Bagrami,1,104,53900,22,45
114,Qarabagh,1,114,74300,23,53
110,Kalakan,1,110,29500,12,32
108,Mir Bacha Kot,1,108,50800,19,29
111,Guldara,1,111,22300,12,20
109,Khak-e- Jabbar,1,109,13900,10,16
115,Surobi,1,115,53900,27,45
113,Estalef,1,113,32700,10,29
112,Farza,1,112,20900,10,14
201,Mahmud-e- Raqi,2,201,62400,23,63
205,Nejrab,2,205,109300,20,60
203,Koh Band,2,203,22800,10,15
202,Hisa Duwum-e- Kohestan,2,202,43800,12,25
206,Tagab,2,206,78600,10,18
207,Alasay,2,207,0,3,6
204,Hesa Awal-e- Kohestan,2,204,66200,18,52
301,Chaharikar,3,301,171200,22,118
305,Jabalussaraj,3,305,62100,20,78
303,Shinwari,3,303,39900,5,18
302,Bagram,3,302,100800,18,85
304,Sayd Khel,3,304,44300,16,41
306,Salang,3,306,25300,20,33
307,Syah Gerd,3,307,94100,8,22
308,Koh-e- Safi,3,308,30200,9,21
310,Shekh Ali,3,310,24000,10,23
309,Surkhe Parsa,3,309,39700,10,21
401,Maydan Shahr,4,401,39100,19,71
403,Jalrez,4,403,51600,15,19
402,Nerkh,4,402,55400,19,39
407,Hesa Awal-e- Behsud,4,407,36000,12,14
406,Day Mirdad,4,406,30200,8,11
404,Chak,4,404,82100,20,32
405,Saydabad,4,405,112900,20,33
409,Markaz-e-Behsud,4,409,115900,23,41
408,Jaghatu,4,408,44400,12,13
501,Pul-e- Alam,5,501,102700,43,93
504,Khoshi,5,504,23400,16,17
505,Mohammad Agha,5,505,73400,36,77
502,Baraki Barak,5,502,85200,30,46
503,Charkh,5,503,43100,20,8
506,Kharwar,5,506,25500,13,0
507,Azra,5,507,19800,18,20
601,Jalalabad,6,601,206500,57,187
602,Behsud,6,602,110500,36,82
603,Surkh Rod,6,603,117100,28,68
608,Khowgiani,6,608,126800,16,28
604,Chaparhar,6,604,58600,16,0
607,Rodat,6,607,67200,26,28
605,Kama,6,605,74700,32,56
606,Kuz Kunar,6,606,53400,16,36
612,Dara-e-Nur,6,612,39200,16,25
621,Hesarak,6,621,29900,16,0
619,Sherzad,6,619,64400,12,10
611,Pachier Agam,6,611,41400,0,6
610,Deh Bala,6,610,39200,12,9
613,Kot,6,613,50600,15,15
609,Bati Kot,6,609,73600,10,22
614,Goshta,6,614,26500,0,0
615,Achin,6,615,97500,10,0
616,Shinwar,6,616,58300,16,24
617,Muhmand Dara,6,617,43700,16,30
618,Lal Pur,6,618,19900,16,15
620,Nazian,6,620,14300,10,0
622,Dur Baba,6,622,22700,0,14
701,Mehtarlam,7,701,126000,44,147
703,Alishang,7,703,69300,25,33
702,Qarghayi,7,702,95300,29,53
704,Alingar,7,704,94000,33,41
705,Daulat Shah,7,705,32400,25,23
801,Bazarak,8,801,0,12,53
806,Shutul,8,806,0,13,29
802,Rukha,8,802,0,13,35
803,Dara,8,803,0,14,35
804,Khenj (Hes-e- Awal),8,804,0,20,29
805,Onaba(Anawa),8,805,0,15,10
807,Parian,8,807,0,20,34
901,Pul-e- khumri,9,901,203600,20,142
905,Baghlan-e-jadid,9,905,167200,20,96
902,Dahana-e-Ghory,9,902,57300,20,35
903,Dushi,9,903,65000,10,44
904,Nahrin,9,904,67200,10,55
911,Tala wa barfak,9,911,29400,0,16
906,Khenjan,9,906,29600,8,13
907,Andarab,9,907,24800,10,21
909,Khwaja Hejran,9,909,23200,0,20
910,Burka,9,910,51200,10,25
912,Pul-e-Hesar,9,912,26800,10,18
908,Deh Salah,9,908,31100,10,14
913,Khowst wa Fereng,9,913,61300,10,25
914,Guzargah-e- Nur,9,914,9900,10,10
915,Firing Wa Gharu,9,915,16100,8,8
1001,Bamyan,10,1001,80900,22,54
1003,Sayghan,10,1003,23300,22,27
1005,Yakawlang,10,1005,85000,22,53
1006,Panjab,10,1006,66300,22,45
1002,Shibar,10,1002,28700,22,20
1004,Kahmard,10,1004,35300,22,1
1007,Waras,10,1007,106000,22,57
1101,Ghazni,11,1101,157600,60,124
1103,Khwaja Umari,11,1103,18400,15,12
1102,Wali Muhammad-e- Shahid,11,1102,19600,7,0
1104,Waghaz,11,1104,37500,10,0
1107,Andar,11,1107,121300,20,29
1105,Deh Yak,11,1105,47500,25,18
1108,Zana Khan,11,1108,12200,10,0
1109,Rashidan,11,1109,17500,10,3
1106,Jaghatu,11,1106,30900,20,22
1111,Qarabagh,11,1111,138800,28,48
1112,Giro,11,1112,35500,20,0
1110,Nawur,11,1110,91900,20,26
1114,Jaghuri,11,1114,171600,28,49
1115,Muqur,11,1115,48900,20,0
1113,Ab Band,11,1113,26700,12,0
1118,Ajrestan,11,1118,28000,0,0
1116,Malestan,11,1116,79800,0,23
1117,Gelan,11,1117,56200,0,0
1119,Nawa,11,1119,0,0,0
1301,Gardez,13,1301,81000,43,93
1306,Sayed Karam,13,1306,54200,27,49
1302,Ahmadaba,13,1302,27100,30,32
1303,Zurmat,13,1303,104600,20,0
1304,Shawak,13,1304,5300,4,6
1305,Zadran,13,1305,34500,18,24
1308,Lija Ahmad Khel,13,1308,22100,18,22
1307,Ali Khel (Jaji),13,1307,61200,30,76
1309,Jani Khel,13,1309,34000,0,22
1310,Chamkani,13,1310,48500,18,28
1311,Dand wa Patan,13,1311,25900,18,18
1501,Asad Abad,15,1501,0,37,48
1503,Wata Pur,15,1503,0,6,0
1504,Narang,15,1504,0,4,14
1505,Sarkani,15,1505,0,0,9
1502,Marawara,15,1502,0,14,4
1506,Shigal wa shel tan,15,1506,0,8,21
1507,Dara-e-Pech,15,1507,0,0,0
1509,Chawkay,15,1509,0,0,13
1510,Khas Kunar,15,1510,0,14,16
1512,Dangam,15,1512,0,0,0
1508,Bar Kunar,15,1508,0,0,0
1511,Ghazi Abad,15,1511,0,0,0
1513,Chapa Dara,15,1513,0,8,0
1514,Nurgal,15,1514,0,0,11
1515,Nari,15,1515,0,0,0
1601,Poruns,16,1601,13200,34,23
1607,Mandol,16,1607,0,6,0
1605,Du Ab,16,1605,7700,4,3
1604,Nurgaram,16,1604,31400,15,12
1603,Wama,16,1603,10800,18,20
1602,Waygal,16,1602,19100,13,7
1606,Kamdesh,16,1606,24500,5,0
1608,Barg-e- Matal,16,1608,15000,13,0
