IEC ID,AGCHO_ID,ps_total,pc_total,lat,long,dist_name,prov_name,ANPO_obs_count,AYNSO_obs_count,FEFA_obs_count,TEFA_obs_count,NLO_obs_count,Total_Observers
101,101,2092,382,69.1541342457,34.5195352637,Kabul,Kabul,0,0,710,240,103,1053
102,104,88,21,68.937163245,34.5480799536,Paghman,Kabul,0,0,30,14,5,49
103,105,46,14,69.072739383,34.3870978554,Chahar Asyab,Kabul,0,0,16,9,2,27
104,107,57,16,69.3361711272,34.4835525981,Bagrami,Kabul,0,0,19,21,5,45
105,102,72,15,69.3079994573,34.6655495374,Deh Sabz,Kabul,0,0,24,6,4,34
106,103,73,14,69.0357111886,34.6638452948,Shakardara,Kabul,0,0,25,8,3,36
107,106,28,8,69.2187647199,34.3685943034,Musayi,Kabul,0,0,9,9,4,22
108,110,44,12,69.118229651,34.7272652699,Mir Bacha Kot,Kabul,0,0,15,8,6,29
109,112,25,9,69.4340059843,34.3653895665,Khak-e- Jabbar,Kabul,0,0,8,5,3,16
110,109,29,8,69.1755859913,34.7625074613,Kalakan,Kabul,0,0,10,20,2,32
111,111,26,6,68.9953085443,34.7480128112,Guldara,Kabul,0,0,9,6,5,20
112,115,25,8,69.0177009388,34.7940158009,Farza,Kabul,0,0,8,4,2,14
113,114,25,7,69.023529029,34.8484739245,Estalef,Kabul,0,0,8,20,1,29
114,108,74,18,69.1762968674,34.8493859789,Qarabagh,Kabul,0,0,25,24,4,53
115,113,66,19,69.7041991309,34.5282038096,Surobi,Kabul,0,0,22,17,6,45
201,201,83,18,69.4209169531,35.0048203182,Mahmud-e- Raqi,Kapisa,0,0,42,10,11,63
202,204,27,7,69.3324946342,35.0734180006,Hisa Duwum-e- Kohestan,Kapisa,0,0,14,6,5,25
203,203,30,9,69.4734267794,35.1052007768,Koh Band,Kapisa,0,0,15,0,0,15
204,207,57,13,69.3448151536,35.1386357468,Hesa Awal-e- Kohestan,Kapisa,0,0,29,0,23,52
205,202,63,26,69.6459756262,35.0462799517,Nejrab,Kapisa,0,0,32,14,14,60
206,205,36,10,69.6793036828,34.7945588032,Tagab,Kapisa,0,0,18,0,0,18
207,206,4,1,69.809128212,34.9256032273,Alasay,Kapisa,0,0,0,5,1,6
301,301,130,36,69.1420424353,34.9881849817,Chaharikar,Parwan,0,0,77,33,8,118
302,304,97,24,69.3306933636,34.9239492898,Bagram,Parwan,0,0,57,21,7,85
303,303,16,6,68.9708124019,35.12034903,Shinwari,Parwan,0,0,9,4,5,18
304,305,35,13,69.2651244478,35.0465207669,Sayd Khel,Parwan,0,0,21,9,11,41
305,302,60,15,69.1855817878,35.1226541643,Jabalussaraj,Parwan,0,0,36,23,19,78
306,306,22,9,69.1513108301,35.2769211809,Salang,Parwan,0,0,13,12,8,33
307,307,18,6,68.7877470937,35.0107820246,Syah Gerd,Parwan,0,0,11,11,0,22
308,308,20,8,69.4721890749,34.7605776828,Koh-e- Safi,Parwan,0,0,12,9,0,21
309,310,23,11,68.626224722,34.7650012866,Surkhe Parsa,Parwan,0,0,14,7,0,21
310,309,21,10,68.4188910112,34.9467885608,Shekh  Ali,Parwan,0,0,12,9,2,23
401,401,59,13,68.8246761176,34.4439436177,Maydan Shahr,Wardak,0,0,23,23,25,71
402,403,47,18,68.7644112443,34.3206000393,Nerkh,Wardak,0,0,18,11,10,39
403,402,34,11,68.5821434188,34.5254340552,Jalrez,Wardak,0,0,13,0,6,19
404,406,81,25,68.4905642617,34.1082237293,Chak,Wardak,0,0,31,0,1,32
405,407,88,35,68.6573058061,33.9248494896,Saydabad,Wardak,0,0,33,0,0,33
406,405,29,8,68.3054281409,34.2186501012,Day Mirdad,Wardak,0,0,11,0,0,11
407,404,25,9,68.1918667015,34.5312146324,Hesa Awal-e- Behsud,Wardak,0,0,9,0,5,14
408,409,30,11,68.3556931148,33.837466863,Jaghatu,Wardak,0,0,11,0,2,13
409,408,69,30,67.6912335547,34.4046583215,Markaz-e-Behsud,Wardak,0,0,26,8,7,41
501,501,113,21,69.053480077,33.972288065,Pul-e- Alam,Logar,19,0,49,25,0,93
502,504,61,16,68.8852327175,33.9299136275,Baraki Barak,Logar,13,0,26,7,0,46
503,505,31,5,68.9196198505,33.8159390631,Charkh,Logar,8,0,0,0,0,8
504,502,24,4,69.2748209544,34.0012554876,Khoshi,Logar,7,0,10,0,0,17
505,503,69,19,69.1793585884,34.2097327179,Mohammad Agha,Logar,19,0,30,28,0,77
506,506,32,6,68.8923824013,33.6948654236,Kharwar,Logar,0,0,0,0,0,0
507,507,47,6,69.6253120845,34.1086956759,Azra,Logar,0,0,20,0,0,20
601,601,271,44,70.4635295398,34.4218870028,Jalalabad,Nangarhar,37,0,115,35,0,187
602,602,120,25,70.508989598,34.4427638309,Behsud,Nangarhar,13,0,51,18,0,82
603,603,86,25,70.276582329,34.3947359805,Surkh Rod,Nangarhar,20,0,36,12,0,68
604,605,44,19,70.373343389,34.2908008428,Chaparhar,Nangarhar,0,0,0,0,0,0
605,607,103,41,70.6562491664,34.4430079432,Kama,Nangarhar,12,0,44,0,0,56
606,608,70,29,70.6070101277,34.5591387678,Kuz Kunar,Nangarhar,6,0,30,0,0,36
607,606,55,20,70.5682249537,34.2730056652,Rodat,Nangarhar,5,0,23,0,0,28
608,604,55,16,70.1184737326,34.2284499592,Khowgiani,Nangarhar,0,0,23,5,0,28
609,615,58,19,70.7565309327,34.2893851682,Bati Kot,Nangarhar,0,0,22,0,0,22
610,613,14,4,70.4438376229,34.0882188935,Deh Bala,Nangarhar,0,0,6,3,0,9
611,612,21,8,70.2809234985,34.0870414784,Pachier Agam,Nangarhar,0,0,6,0,0,6
612,609,59,23,70.5858853205,34.7065383401,Dara-e-Nur,Nangarhar,0,0,25,0,0,25
613,614,35,13,70.5952862716,34.1531821758,Kot,Nangarhar,0,0,15,0,0,15
614,616,45,19,70.8674427416,34.4483154794,Goshta,Nangarhar,0,0,0,0,0,0
615,617,54,21,70.6649902674,34.0600529426,Achin,Nangarhar,0,0,0,0,0,0
616,618,56,17,70.7958106824,34.2057519039,Shinwar,Nangarhar,0,0,24,0,0,24
617,619,62,19,70.9985832811,34.2110681777,Muhmand Dara,Nangarhar,0,0,26,4,0,30
618,620,23,4,71.0247165394,34.3334787911,Lal Pur,Nangarhar,0,0,10,5,0,15
619,611,12,3,69.9801613608,34.1935835372,Sherzad,Nangarhar,0,0,5,5,0,10
620,621,25,8,70.8257013037,34.0555474306,Nazian,Nangarhar,0,0,0,0,0,0
621,610,16,6,69.7687167633,34.2794790093,Hesarak,Nangarhar,0,0,0,0,0,0
622,622,32,10,70.9630500641,34.0979156558,Dur Baba,Nangarhar,0,0,13,1,0,14
701,701,114,26,70.0943999963,34.6515888504,Mehtarlam,Laghman,79,0,59,9,0,147
702,703,92,23,70.1728446867,34.5314858768,Qarghayi,Laghman,2,0,44,7,0,53
703,702,45,13,70.0837674204,34.8254262577,Alishang,Laghman,0,0,20,13,0,33
704,704,50,16,70.4107567128,34.8172639534,Alingar,Laghman,0,0,29,12,0,41
705,705,52,16,69.9993403599,35.0357786293,Daulat Shah,Laghman,0,0,23,0,0,23
801,801,35,10,69.5106254975,35.3749889018,Bazarak,Panjsher,0,0,22,0,31,53
802,803,29,10,69.478343417,35.2668684325,Rukha,Panjsher,0,0,18,0,17,35
803,804,41,14,69.7695722318,35.2358369873,Dara,Panjsher,0,0,26,0,9,35
804,805,45,14,69.7843750889,35.42941786,Khenj (Hes-e- Awal),Panjsher,0,0,29,0,0,29
805,806,35,14,69.4052891436,35.2240105748,Onaba(Anawa),Panjsher,0,0,0,0,10,10
806,802,28,11,69.3030774109,35.2930286747,Shutul,Panjsher,0,0,18,0,11,29
807,807,53,24,70.0432728162,35.6474956397,Parian,Panjsher,0,0,34,0,0,34
808,9993,25,11,69.7844909055,35.2521639536,Abshar,Panjsher,0,0,0,0,8,8
901,901,198,47,68.6682588853,36.0102549326,Pul-e- khumri,Baghlan,0,0,86,29,27,142
902,903,62,23,68.4584132843,35.8229806136,Dahana-e-Ghory,Baghlan,0,0,27,0,8,35
903,904,87,24,68.6659055363,35.6208807371,Dushi,Baghlan,0,0,38,5,1,44
904,905,81,26,69.028391007,35.9982243709,Nahrin,Baghlan,0,0,35,0,20,55
905,902,151,46,68.6242849104,36.3268994428,Baghlan-e-jadid,Baghlan,0,0,66,30,0,96
906,907,26,9,68.9736031904,35.4713098601,Khenjan,Baghlan,0,0,11,0,2,13
907,908,31,9,69.1786065035,35.6240488405,Andarab,Baghlan,0,0,13,6,2,21
908,912,28,11,69.3637679891,35.7448115859,Deh Salah,Baghlan,0,0,12,2,0,14
909,909,45,14,69.2939161033,35.966007815,Khwaja Hejran,Baghlan,0,0,20,0,0,20
910,910,58,18,69.1629052889,36.2408392159,Burka,Baghlan,0,0,25,0,0,25
911,906,37,12,68.3806806878,35.2752463848,Tala wa barfak,Baghlan,0,0,16,0,0,16
912,911,19,9,69.5603359679,35.5835627656,Pul-e-Hesar,Baghlan,0,0,8,10,0,18
913,913,51,21,69.6653022883,35.9043995961,Khowst wa Fereng,Baghlan,0,0,22,0,3,25
914,914,14,4,69.5747336768,36.2294968797,Guzargah-e- Nur,Baghlan,0,0,6,4,0,10
915,915,18,8,69.6813542046,36.1368654752,Firing Wa Gharu,Baghlan,0,0,8,0,0,8
1001,1001,86,23,67.6843343184,34.7946311322,Bamyan,Bamyan,0,0,37,0,17,54
1002,1005,35,14,68.0392788218,34.9221220018,Shibar,Bamyan,0,0,15,0,5,20
1003,1002,48,20,67.610460879,35.1180190907,Sayghan,Bamyan,0,0,21,0,6,27
1004,1006,43,19,67.7756708836,35.3569543122,Kahmard,Bamyan,0,0,0,0,1,1
1005,1003,90,36,66.9480191869,34.979039967,Yakawlang,Bamyan,0,0,38,0,15,53
