Long,Lat,ps_male,pc_name,PC-number,province,ps_total,district,ps_female,pc_location,iec_prov_id,map_accuracy,iec_district_id
69.18066344000002,34.50867443000002,3,Ashuqan-O-Arifan High School,0101001,Kabul,6,Kabul-D01,3,Achekzai Street,1,Building,1
69.63338020000002,33.875809480000036,3,Venus Khel Mosque,1308138,Paktya,3,Laja Ahmad Khel,0,Kwandi Hassan Khel Village,13,District,8
70.59428924500006,34.456239627000045,2,Darbang School,0605160,Nangarhar,3,Kama,1,Darbang,6,Village,5
69.99698577000001,34.24672994000007,0,Mama Khel High School,0619243,Nangarhar,3,Sher Zad,3,Mama Khel,6,Village,19
70.92009011000003,34.47952462000006,0,Private House,0614499,Nangarhar,2,Goshta,2,Ali Khel Village,6,Village,14
62.14273845000007,33.30640805000004,4,Qandiz Qademi Mosque,3214301,Herat,5,Shindand,1,Qandiz,32,Building,14
66.84834686300006,36.91065493600006,1,Shamsullah Private House,2106177,Balkh,2,Balkh,1,Shahab Afghania Village,21,Building,6
69.68533361000003,34.887051940000035,4,Shaheed Hafizullah Secondary School,0206095,Kapisa,4,Tagab,0,Shokut,2,Building,6
68.54131215100004,34.946563160000046,1,District Building,0310131,Parwan,2,Shaykh Ali,1,District Bazar Dasht-E-Guzar,3,Building,10
63.24147262000007,34.27624227000005,3,Posht-E- Paji Mosque,3212376,Herat,5,Obe,2,Posht-E- Paji,32,Village,12
63.057830670000016,34.28907849000005,3,Sarwan School,3212377,Herat,5,Obe,2,Sarwan Village,32,Building,12
68.86111751000001,35.00530741000004,2,Du Aab Mosque,0307090,Parwan,3,Syahgirdi Ghorband,1,Sar-E-Pul Du Aab,3,District,7
65.70398113000003,34.99556325000003,3,Jandak School,2301039,Ghor,5,Chighcheran,2,Jandak,23,Village,1
70.36992997000003,34.86126123000001,2,Parwayee School,0704076,Laghman,4,Alingar,2,Parwayee,7,Building,4
71.22808631000001,34.94980635000006,4,Primary School,1506063,Kunar,6,Shigal Wa Shiltan,2,Shenkorak,15,Building,6
71.27483787000004,34.96645553000005,3,District Compound,1506064,Kunar,5,Shigal Wa Shiltan,2,Shegal Washilton,15,Building,6
71.39875741000002,35.015600980000045,2,Byadad Primary School,1512054,Kunar,4,Dangam,2,Byadad,15,Village,12
64.89160150000002,33.787642380000065,2,Takhta Tarma Bazar Tent,2305113,Ghor,3,Pasaband,1,Takhta Tarma Village,23,Building,5
63.71988353000005,33.97186444000002,3,Tolak School,2309178,Ghor,4,Tulak,1,Khwajaha Village,23,Building,9
63.79730451000003,33.94593145000001,2,Sang Khalq Primary School,2309193,Ghor,3,Tulak,1,Sang Khalq,23,Building,9
64.47085691000005,32.404516000000044,6,Asad Suri High School,3007196,Helmand,7,Nawzad,1,Nawzad Kalan,30,Village,7
64.69830950000004,32.23240214000002,3,Noor Mohammad Private House,3009184,Helmand,5,Musa Qala,2,Sher Ghazai,30,Village,9
64.74522454000001,32.26020614000001,3,Khan Mohammad Mosque,3009185,Helmand,5,Musa Qala,2,Kaani Manda,30,Village,9
63.31073532000003,35.61373847000003,2,Akazi School,3105153,Badghis,3,Bala Murghab,1,Akaziha,31,Building,5
63.37038205000002,35.52160345000003,2,Joy-E- Kar School,3105158,Badghis,3,Bala Murghab,1,Joy-E-Kar,31,Building,5
63.324845360000026,35.612154350000026,2,Sarkhlang Joy-E-Ganj Mosque,3105188,Badghis,3,Bala Murghab,1,Sarkhlang Joy-E-Ganj,31,Village,5
61.90357121000003,32.90659178000002,1,Kariz Sadiq Mosque,3303055,Farah,2,Khak-E-Safed,1,Kariz Sadiq,33,Village,3
61.297109710000015,32.29932536000005,2,Hassan Abad Ulya Mosque,3304072,Farah,3,Qala-E-Kah,1,Hassan Abad Ulya,33,Building,4
62.578462240000064,32.76432537000004,1,Todanak Village Tent (Kuchi),3306149,Farah,2,Bala Buluk,1,Todanak Village,33,Village,6
63.23385868000007,32.555477720000056,1,Mughol Abad Mosque,3310177,Farah,2,Gulistan,1,Mughol Abad,33,Village,10
69.59841878000002,34.95213325,1,Qazi Abdul Jamil  School,0205039,Kapisa,4,Nijrab,3,Afghania,2,Building,5
69.64536943000006,34.853588320000036,4,Ghazi Usman High School,0206078,Kapisa,4,Tagab,0,District Compound,2,Building,6
69.39293610000003,34.85720485999999,2,Mula Ahmad Khel School,0308143,Parwan,3,Kohi Safi,1,Mula Ahmad Khel,3,Building,8
69.46397381000007,34.79483419000007,1,Dandar School,0308144,Parwan,2,Kohi Safi,1,Dandar,3,Building,8
70.11452913000004,34.77972019000002,2,Kotwal Khando Village Mosque,0703093,Laghman,3,Alishing,1,Alishang,7,Village,3
70.76200808000003,34.614080060000035,1,Bar Noor Gul Boys High School,1514083,Kunar,4,Noor Gal,3,Bar Noor Gul,15,Building,14
70.63250517000004,36.98623977000003,2,Gazan Mosque,1702054,Badakhshan,3,Argo,1,Gazan,17,Building,2
