unit,agcho_prov,agcho_dist,agcho_prov_id,agcho_dist_id,iec_dist,iec_prov,iec_prov_id,iec_dist_id,iec_id,agcho_dist_id_fix,iec_id_fix
Capital,Kabul,Kabul,1,101,KABUL,KABUL,1,1,101,101,101
District,Kabul,Deh Sabz,1,102,DEHSABZ,KABUL,1,5,105,102,105
District,Kabul,Shakardara,1,103,SHAKAR DARA,KABUL,1,6,106,103,106
District,Kabul,Paghman,1,104,PAGHMAN,KABUL,1,2,102,104,102
District,Kabul,Chahar Asyab,1,105,CHAHAR ASYAB,KABUL,1,3,103,105,103
District,Kabul,Musayi,1,106,MUSAHI,KABUL,1,7,107,106,107
District,Kabul,Bagrami,1,107,BAGRAMI,KABUL,1,4,104,107,104
District,Kabul,Qarabagh,1,108,QARA BAGH,KABUL,1,14,114,108,114
District,Kabul,Kalakan,1,109,KALAKAN,KABUL,1,10,110,109,110
District,Kabul,Mir Bacha Kot,1,110,MIR BACHA KO,KABUL,1,8,108,110,108
District,Kabul,Guldara,1,111,GULDARA,KABUL,1,11,111,111,111
District,Kabul,Khak-e- Jabbar,1,112,KHAK-E-JABAR,KABUL,1,9,109,112,109
District,Kabul,Surobi,1,113,SURUBI,KABUL,1,15,115,113,115
District,Kabul,Estalef,1,114,ESTALEF,KABUL,1,13,113,114,113
District,Kabul,Farza,1,115,FARZA,KABUL,1,12,112,115,112
Provincial_Center,Kapisa,Mahmud-e- Raqi,2,201,MAHMUDI RAQ,KAPISA,2,1,201,201,201
District,Kapisa,Nejrab,2,202,NIJRAB,KAPISA,2,5,205,202,205
District,Kapisa,Koh Band,2,203,KOH BAND,KAPISA,2,3,203,203,203
District,Kapisa,Hisa Duwum-e- Kohestan,2,204,HISSA-E-DUWU,KAPISA,2,2,202,204,202
District,Kapisa,Tagab,2,205,TAGAB,KAPISA,2,6,206,205,206
District,Kapisa,Alasay,2,206,ALASAY,KAPISA,2,7,207,206,207
District,Kapisa,Hesa Awal-e- Kohestan,2,207,HISSA-E-AWALI,KAPISA,2,4,204,207,204
Provincial_Center,Parwan,Chaharikar,3,301,CHARIKAR,PARWAN,3,1,301,301,301
District,Parwan,Jabalussaraj,3,302,JABULUSSARAJ,PARWAN,3,5,305,302,305
District,Parwan,Shinwari,3,303,SHINWARI,PARWAN,3,3,303,303,303
District,Parwan,Bagram,3,304,BAGRAM,PARWAN,3,2,302,304,302
District,Parwan,Sayd Khel,3,305,SAYID KHIAL,PARWAN,3,4,304,305,304
District,Parwan,Salang,3,306,SALANG,PARWAN,3,6,306,306,306
District,Parwan,Syah Gerd,3,307,SYAHGIRDI GHO,PARWAN,3,7,307,307,307
District,Parwan,Koh-e- Safi,3,308,KOHI SAFI,PARWAN,3,8,308,308,308
District,Parwan,Shekh  Ali,3,309,SHAYKH ALI,PARWAN,3,10,310,309,310
District,Parwan,Surkhe Parsa,3,310,SURKHI PARSA,PARWAN,3,9,309,310,309
Provincial_Center,Wardak,Maydan Shahr,4,401,MAYDAN SHAH,WARDAK,4,1,401,401,401
District,Wardak,Jalrez,4,402,JALREZ,WARDAK,4,3,403,402,403
District,Wardak,Nerkh,4,403,NERKH,WARDAK,4,2,402,403,402
District,Wardak,Hesa Awal-e- Behsud,4,404,HISSA-E-AWALI,WARDAK,4,7,407,404,407
District,Wardak,Day Mirdad,4,405,DAYMIRDAD,WARDAK,4,6,406,405,406
District,Wardak,Chak,4,406,CHAKI WARDAK,WARDAK,4,4,404,406,404
District,Wardak,Saydabad,4,407,SAYYD ABAD,WARDAK,4,5,405,407,405
District,Wardak,Markaz-e-Behsud,4,408,MARKAZ-E-BEH,WARDAK,4,9,409,408,409
District,Wardak,Jaghatu,4,409,JAGHATU,WARDAK,4,8,408,409,408
Provincial_Center,Logar,Pul-e- Alam,5,501,PULI ALAM,LOGAR,5,1,501,501,501
District,Logar,Khoshi,5,502,KHUSHI,LOGAR,5,4,504,502,504
District,Logar,Mohammad Agha,5,503,MOHAMMAD A,LOGAR,5,5,505,503,505
District,Logar,Baraki Barak,5,504,BARAKI BARAK,LOGAR,5,2,502,504,502
District,Logar,Charkh,5,505,CHARKH,LOGAR,5,3,503,505,503
District,Logar,Kharwar,5,506,KHAR WAR,LOGAR,5,6,506,506,506
District,Logar,Azra,5,507,AZRA,LOGAR,5,7,507,507,507
Provincial_Center,Nangarhar,Jalalabad,6,601,JALALABAD,NANGARHAR,6,1,601,601,601
District,Nangarhar,Behsud,6,602,BEHSUD,NANGARHAR,6,2,602,602,602
District,Nangarhar,Surkh Rod,6,603,SURKH RUD,NANGARHAR,6,3,603,603,603
District,Nangarhar,Khowgiani,6,604,KHUGYANI,NANGARHAR,6,8,608,604,608
District,Nangarhar,Chaparhar,6,605,CHAPARHAR,NANGARHAR,6,4,604,605,604
District,Nangarhar,Rodat,6,606,RODAT,NANGARHAR,6,7,607,606,607
District,Nangarhar,Kama,6,607,KAMA,NANGARHAR,6,5,605,607,605
District,Nangarhar,Kuz Kunar,6,608,KUZ KUNAR,NANGARHAR,6,6,606,608,606
District,Nangarhar,Dara-e-Nur,6,609,DARAH-E-NOOR,NANGARHAR,6,12,612,609,612
District,Nangarhar,Hesarak,6,610,HESARAK,NANGARHAR,6,21,621,610,621
District,Nangarhar,Sherzad,6,611,SHER ZAD,NANGARHAR,6,19,619,611,619
District,Nangarhar,Pachier Agam,6,612,PACHIR WAGA,NANGARHAR,6,11,611,612,611
