id,name,distId,provId,lon,lat,ps_total,ps_male,ps_female
101001,Ashuqan-O-Arifan High School,101,1,69.18066344,34.50867443,6,3,3
1308138,Venus Khel Mosque,1308,13,69.6333802,33.87580948,3,3,0
605160,Darbang School,605,6,70.5942892450001,34.456239627,3,2,1
619243,Mama Khel High School,619,6,69.99698577,34.2467299400001,3,0,3
614499,Private House,614,6,70.92009011,34.4795246200001,2,0,2
3214301,Qandiz Qademi Mosque,3214,32,62.1427384500001,33.30640805,5,4,1
2106177,Shamsullah Private House,2106,21,66.8483468630001,36.9106549360001,2,1,1
206095,Shaheed Hafizullah Secondary School,206,2,69.68533361,34.88705194,4,4,0
310131,District Building,310,3,68.541312151,34.94656316,2,1,1
3212376,Posht-E- Paji Mosque,3212,32,63.2414726200001,34.27624227,5,3,2
3212377,Sarwan School,3212,32,63.05783067,34.28907849,5,3,2
307090,Du Aab Mosque,307,3,68.86111751,35.00530741,3,2,1
2301039,Jandak School,2301,23,65.70398113,34.99556325,5,3,2
704076,Parwayee School,704,7,70.36992997,34.86126123,4,2,2
1506063,Primary School,1506,15,71.22808631,34.9498063500001,6,4,2
1506064,District Compound,1506,15,71.27483787,34.96645553,5,3,2
1512054,Byadad Primary School,1512,15,71.39875741,35.01560098,4,2,2
2305113,Takhta Tarma Bazar Tent,2305,23,64.8916015,33.7876423800001,3,2,1
2309178,Tolak School,2309,23,63.71988353,33.97186444,4,3,1
2309193,Sang Khalq Primary School,2309,23,63.79730451,33.94593145,3,2,1
3007196,Asad Suri High School,3007,30,64.4708569100001,32.404516,7,6,1
3009184,Noor Mohammad Private House,3009,30,64.6983095,32.23240214,5,3,2
3009185,Khan Mohammad Mosque,3009,30,64.74522454,32.26020614,5,3,2
3105153,Akazi School,3105,31,63.31073532,35.61373847,3,2,1
3105158,Joy-E- Kar School,3105,31,63.37038205,35.52160345,3,2,1
3105188,Sarkhlang Joy-E-Ganj Mosque,3105,31,63.32484536,35.61215435,3,2,1
3303055,Kariz Sadiq Mosque,3303,33,61.90357121,32.90659178,2,1,1
3304072,Hassan Abad Ulya Mosque,3304,33,61.29710971,32.29932536,3,2,1
3306149,Todanak Village Tent (Kuchi),3306,33,62.5784622400001,32.76432537,2,1,1
3310177,Mughol Abad Mosque,3310,33,63.2338586800001,32.5554777200001,2,1,1
205039,Qazi Abdul Jamil  School,205,2,69.59841878,34.95213325,4,1,3
206078,Ghazi Usman High School,206,2,69.6453694300001,34.85358832,4,4,0
308143,Mula Ahmad Khel School,308,3,69.3929361,34.85720486,3,2,1
308144,Dandar School,308,3,69.4639738100001,34.7948341900001,2,1,1
703093,Kotwal Khando Village Mosque,703,7,70.11452913,34.77972019,3,2,1
1514083,Bar Noor Gul Boys High School,1514,15,70.76200808,34.61408006,4,1,3
1702054,Gazan Mosque,1702,17,70.63250517,36.98623977,3,2,1
1702055,Bagh Mubarak School,1702,17,70.65470123,37.05528508,3,2,1
2308232,Seb Talkh School,2308,23,64.22200661,33.59241815,2,1,1
2407191,Mosque,2407,24,67.121170598,33.90772129,3,2,1
2407192,Mosque,2407,24,67.245977242,33.8322656720001,3,2,1
2402172,Mosque,2402,24,66.6667225990001,33.539880313,3,2,1
902260,Nawamad Mosque,902,9,68.498323224,35.751902467,3,2,1
903261,Abo Hanifa Madrasa,903,9,68.730003688,35.59830178,3,2,1
104539,Qala Hasan Khan Mosque,104,1,69.248404801,34.466101132,3,2,1
104540,Mehtarlam Baba Mosque,104,1,69.31229847,34.492235239,3,2,1
704131,School,704,7,70.3770636660001,34.906862353,3,2,1
704132,Mosque,704,7,70.297346097,34.75865579,3,2,1
905275,Mulah Khal Muhammad Mosque,905,9,68.7356316980001,36.290958017,3,2,1
1402177,Mosque,1402,14,69.864384958,33.316118869,3,2,1
1712305,Wakil Abdul Jabar School,1712,17,71.1752473170001,37.057933355,3,2,1
2204141,Mosque,2204,22,66.2361717480001,36.043066468,3,2,1
2602052,Haji Abdul Aziz Pump Station,2602,26,66.3741679560001,31.83222133,3,2,1
2908212,Qala Tardi Female Primary School,2908,29,65.2609034050001,35.723481607,3,2,1
101520,Hzor Hazrat Nabi Mosque,101,1,69.242327555,34.5090996100001,3,2,1
101528,Muhammad Hanifa Ghazi Mosque,101,1,69.169276122,34.577129423,3,2,1
305154,Abdul Hadi Shaheed Secondary School,305,3,69.285446149,35.142909838,3,2,1
605512,Clinic,605,6,70.564862527,34.414383097,3,2,1
605513,Molawi Ebarahim Kamawi School,605,6,70.628792683,34.441254681,3,2,1
807108,Chawni School,807,8,69.8803022320001,35.640124196,3,2,1
802099,Chamal Warda Mosque,802,8,69.424468827,35.30317036,3,2,1
904265,Khwaja Gul Khar School,904,9,69.003424525,36.089925676,3,2,1
1005178,Kaligan Femal High School,1005,10,66.461486995,34.932332993,3,2,1
3202062,Sar Asiab Scondary School,3202,32,62.363835,34.27125241,3,0,3
1804059,Dahana Bangi School,1804,18,69.25501896,36.7170632300001,7,5,2
1804060,Mawlawi Ezzatullah Shaheed High School,1804,18,69.36576055,36.52873468,5,3,2
1810119,Koktaba High School,1810,18,69.72089006,36.9165261,3,2,1
1810120,Ganda Secondary School,1810,18,69.80510956,37.16897375,4,2,2
2002022,Dawlat Abad Secondary School,2002,20,67.8292491600001,36.52187461,3,2,1
2002023,District Office,2002,20,67.8962214200001,36.4550794400001,4,3,1
3211456,Sar Asia Mosque,3211,32,61.4787101300001,34.3447002,3,1,2
3212365,Markaz-E-Oba High School,3212,32,63.1758597400001,34.3698498900001,6,4,2
1007186,Dara Ghol Sia Mosque,1007,10,67.0671756070001,34.13035484,3,2,1
1702287,Qala Zafar Mosque,1702,17,70.1072349130001,37.008310634,3,2,1
1413185,Sari Pili School,1413,14,70.0865715,33.584588859,3,2,1
1707295,Chapa Village Mosque,1707,17,70.339929196,36.96926175,3,2,1
1810209,Mosque,1810,18,70.12431706,37.046219474,3,2,1
1718313,Ogh Female Secondary School,1718,17,70.948278249,36.566111801,3,2,1
1907219,Secondary School,1907,19,68.5795866450001,36.96337173,3,2,1
2405182,Mosque,2405,24,65.7162024450001,33.939944208,3,2,1
3106198,Kaftar Khan Mosque,3106,31,63.874135958,34.8362794,3,2,1
3008226,New School,3008,30,64.837401346,32.071870008,4,3,1
3201474,Sayed Qanad Secondary School,3201,32,62.161099311,34.364726459,4,2,2
3201475,Mawlana Jame,3201,32,62.18022871,34.373389482,4,2,2
105474,Haji Ahmad Shah Mosque,105,1,69.2623854700001,34.60836995,4,2,2
106394,Dara-E-Shakar Dara High School,106,1,69.0344398500001,34.68545039,7,4,3
106395,Qala-E-Murad Big High School,106,1,69.0754151400001,34.66741061,6,3,3
114366,Abdul Rahman Ba Ba Secondary School,114,1,69.18468964,34.86588865,4,2,2
114367,Abdul Wakil Shaheed High School,114,1,69.15720909,34.84395674,5,3,2
115479,Yar Del Orya Khel Mosque,115,1,69.7199007500001,34.56868747,3,2,1
115480,Tezen-E-Khas Primary School,115,1,69.57981103,34.36484157,3,2,1
115517,Guga Manda School,115,1,69.5957826100001,34.57776629,2,1,1
115518,Sperkundi School,115,1,69.83624382,34.66239124,2,1,1
603084,Bakhtaan Clinic,603,6,70.40295759,34.43259103,2,0,2
603085,Fateh Abad Clinic,603,6,70.22309465,34.35657341,3,3,0
1007150,Takhta Ha Mosque,1007,10,66.9258533500001,34.08106757,2,1,1
1007151,Waaz Darghan Mosque,1007,10,66.9716103900001,34.03167321,2,1,1
1007159,Toop-E-Ismael Mosque,1007,10,66.9681941800001,34.11790565,3,2,1
1205081,Big Mosque,1205,12,69.0737705700001,32.9709349,2,2,0
1205082,Mohammad Hayat Guest House,1205,12,69.07476653,32.97138823,2,0,2
614495,Dor Khel Maidan,614,6,70.802447,34.35120751,2,2,0
615355,Koshtal Mainz Village Mosque,615,6,70.6941538280001,34.096795171,3,3,0
615362,Perokhelo Tapa Mosque,615,6,70.758938,34.11713102,4,3,1
615363,Deh Sarak Kuhna High School,615,6,70.73537675,34.13147321,2,1,1
617462,Amaan Village Speen Mosque,617,6,70.89086265,34.22176719,4,3,1
101123,Resalat Madrassa,101,1,69.1319405400001,34.499387,6,3,3
101124,Safid Mosque,101,1,69.12361663,34.4925901500001,7,4,3
101130,Sultan Razia Girls High School,101,1,69.15713866,34.49059366,10,3,7
101131,Family Haie Reshkhur High School,101,1,69.13631605,34.43177569,6,3,3
101157,Sayed Noor Mohammad Shah Mohammadia Mosque,101,1,69.2320002100001,34.51012161,4,3,1
101158,Ahmadi Mosque,101,1,69.23463786,34.50590043,5,3,2
101182,Alfath High School,101,1,69.20139129,34.53786616,6,3,3
101183,Abul Qasim Ferdawsi High School,101,1,69.20102822,34.5415653200001,5,3,2
101198,Mohammadia Mosque,101,1,69.1753669700001,34.56037592,4,2,2
101199,Bibi Ruqia Mosque,101,1,69.16987809,34.56087391,4,2,2
101213,Fatimia Mosque,101,1,69.17151227,34.54594068,4,2,2
101214,Sarak-E-Chahar Mosque,101,1,69.1659330900001,34.54569498,2,1,1
101218,Haji Qasim Mosque,101,1,69.1978509400001,34.54416071,3,2,1
101219,Bibi Mahru Girls High School,101,1,69.2000190200001,34.54655347,6,2,4
1208126,Mawlavi Serajuddin Madressa,1208,12,69.00664213,32.18463805,4,3,1
1208127,Shekin Bazaar Mosque,1208,12,68.85172837,32.44728365,3,3,0
1308207,Moti School,1308,13,69.67766876,33.885779689,2,1,1
1309170,Kotkai Mosque,1309,13,69.7848217,33.66666217,3,3,0
1401003,Omer Village Dermand,1401,14,69.9427947,33.32614995,5,4,1
1401004,Mohammad Vally Shah Hojra,1401,14,69.94409176,33.3276505000001,4,2,2
1902115,Salarzai Mosque,1902,19,68.849979684,36.632766822,3,2,1
1905093,Nomania Secondary School,1905,19,68.89822911,37.19456548,4,3,1
1905094,Ortablaqi School,1905,19,68.9059141100001,37.15549619,4,3,1
2005072,Aabkhorak Madrassa,2005,20,67.76274366,35.50397325,4,3,1
2005073,Do Aab Madrassa,2005,20,67.81933833,35.5649199800001,3,2,1
2804069,Chaar Changhoo High School,2804,28,66.08406227,37.00583957,5,3,2
2804070,Mangjeek School,2804,28,66.1370851500001,37.01402769,4,2,2
2806086,Qarnas School,2806,28,65.7169530400001,37.53171547,3,2,1
