id,name,geoId,totalPopulation
1,Kabul,1,3950300
2,Kapisa,2,419799
3,Parwan,3,631600
4,Wardak,4,567600
5,Logar,5,373100
6,Nangarhar,6,1436000
7,Laghman,7,417000
8,Panjsher,8,135299
9,Baghlan,9,863700
10,Bamyan,10,425500
11,Ghazni,11,1168800
13,Paktya,13,498400
15,Kunar,15,428800
16,Nuristan,16,140900
17,Badakhshan,17,904700
18,Takhar,18,933700
19,Kunduz,19,953800
21,Balkh,21,1245100
20,Samangan,20,368799
22,Sar-e-Pul,22,532000
23,Ghor,23,657199
24,Daykundi,24,438500
25,Uruzgan,25,321000
26,Zabul,26,289299
12,Paktika,12,413799
14,Khost,14,546800
28,Jawzjan,28,512100
29,Faryab,29,948000
31,Badghis,31,471900
32,Hirat,32,1780000
33,Farah,33,482400
30,Hilmand,30,853300
27,Kandahar,27,1095100
34,Nimroz,34,150200
