id,name,ballotNumber,gender,party,incumbent
1-1001-89,Haji Shafiqullah Ghorbandi,494,M,Ind,
1-1002-14,Sayed Mahdi Anwari,711,M,Ind,
1-1003-13,Freshta Farah,168,F,Ind,
1-1004-14,Haji Mohammad Mulla Hamidi,704,M,Ind,
1-1005-179,Mohammad Azam Azami Dehsabzi,174,M,Ind,
1-1006-83,Ghullam Ali Wahdat,376,M,Ind,
1-1007-16,Ahmad Parwiz Hassan,325,M,Ind,
1-1008-143,Farida Sahar,99,F,Ind,
1-1009-82,Mohammad Nasim Safi,692,M,Ind,
1-1010-32,Obaidullah Kalimzai Wardak,129,M,Ind,
1-1011-2,Abdul Rezaq Ismaili,314,M,Political party,
1-1012-3037,Ahmad Shah Sangdel,707,M,Ind,
1-1013-119,Eng. Zakia Wardak,442,F,Ind,
1-1015-1063,Mohammad Urfani,282,M,Ind,
1-1016-168,Ghullam Farooq Mojadidi,357,M,Ind,
1-1017-58,Alhaj Nazifullah Gull Afghan,98,M,Ind,
1-1018-70,Zergull Etefaaq Sahak,421,M,Ind,
1-1019-41,Ahmad Reza Noori,368,M,Ind,
1-102-1165-105,Awal Khan Rustamkhel,222,M,Political party,
1-102-1823-126,Mohammad Nasir Tarakhel,525,M,Ind,
1-1020-8,Mohammad Asghar Wakili Popalzai,668,M,Ind,
1-1021-2024,Abdul Hadi Arghandiwal,706,M,Political party,
1-1022-25,Alhaj Zemarak Padkhwabi,667,M,Ind,
1-1023-75,Najibullah Naser,89,M,Ind,
1-1024-53,Mawlana Mohammad Qasem Wazirzada,154,M,Ind,
1-1026-1019,Alhaj Omar Gull Momand,647,M,Ind,
1-1027-1,Noor Ahmad Ghafoori,590,M,Political party,
1-1028-25,Wasim Shirzai,271,M,Ind,
1-1029-12,Sayed Mujtaba Hashemi,434,M,Ind,
1-1030-110,Omid Watanyar,399,M,Ind,
1-1031-1011,Mawla Mohammad Paiman Akakhel,146,M,Ind,
1-1032-1049,Eng. Azimullah Esmati,675,M,Ind,
1-1033-16,Mufti Sayed Masood Hashemi,176,M,Ind,
1-1034-87,Alhaj Khwaja Masoom Sediqi,438,M,Ind,
1-1035-6,Malek Sayed Aqa Hussainkhel,347,M,Ind,
1-1036-68,Nawid Ahmad Kohi,406,M,Ind,
1-1037-117,Eng. Mohmood Haidari,76,M,Ind,
1-1038-134,Abdul Qader Beheshti,330,M,Ind,
1-1040-15,Ramazan Ali Rasooli,122,M,Ind,
1-1041-127,Abdul Khaleq Hussaini,409,M,Political party,
1-1042-1172,Mohammad Asef Ashna,513,M,Ind,
1-1043-94,Mohammad Nabi Baraki,126,M,Ind,
1-1044-166,Mohammad Osman Taheri,305,M,Ind,
1-1045-21,Alhaj Zabiullah Nasiri,726,M,Ind,
1-1046-55,Razia Arefi,31,F,Ind,
1-1047-74,Zainab Mowahid,356,F,Ind,
1-1048-1159,Nabila Sayedjanzada Hamid,77,F,Political party,
1-1050-250,Arezo Safi,106,F,Ind,
1-1050-42,Nasrullah Mesbah,57,M,Ind,
1-1051-43,Dr. Sayed Makhdom Rahin,150,M,Ind,
1-1052-88,Abdul Baqi Saranwal Hotak,630,M,Ind,
1-1053-1053,Abdul Khaleq Ramesh Salemi,572,M,Ind,
1-1054-1079,Murtaza Ashraq,566,M,Ind,
1-1055-2159,Mohammad Fahim Osmani,332,M,Ind,
1-1056-3054,Sayed Mohammad Rashid Naserzadah,316,M,Ind,
1-1057-1095,Dawood Maleyar Mohaiuddin,418,M,Ind,
1-1058-169,Assadullah Batori,28,M,Ind,
