id,name,TotalComplaints,Investigated Complaints,Adjudicated Complaints
1,Kabul,"2,685","1,720",549
2,Kapisa,546,403,403
3,Parwan,429,429,425
4,Wardak,91,91,31
5,Logar,394,394,394
6,Nangarhar,765,765,765
7,Laghman,74,74,74
8,Panjshir,229,229,229
9,Baghlan,303,303,303
10,Bamyan,145,145,100
11,Ghazni,0,0,0
12,Paktika,54,54,0
13,Paktia,507,507,507
14,Khost,189,189,116
15,Kunar,175,175,175
16,Nuristan,78,78,78
17,Badakhshan,206,206,206
18,Takhar,303,303,303
19,Kunduz,245,245,171
20,Samangan,126,126,126
21,Balkh,800,800,800
22,Sar-e Pol,195,195,195
23,Ghor,232,232,187
24,Daykundi,89,89,89
25,Urozgan,104,104,104
26,Zabul,135,135,132
27,Kandahar,440,440,359
28,Jowzjan,130,130,130
29,Faryab,356,356,356
30,Helmand,359,359,359
31,Badghis,170,170,170
32,Herat,870,840,550
33,Farah,299,299,299
34,Nimroz,149,149,149
,,,,
,,,,
,TOTAL,9187,,
