ProvinceID,DistrictID,PollingCenterID,Center Name,Center Name,Hindu/Sikh,Nomad,Women,Men,Total
1,102,102298,مرکز آموزش قلعه بابو,Qalla e Babu Training Center,0,0,586,571,1157
1,102,102299,لیسه ابراهیم خیل,Ibrahim Khil High School,1,32,564,930,1527
1,102,102376,دفت ولسوالی پغمان,Paghman District Office,0,1,465,833,1299
1,102,102377,مکتب متوسطه عبدالله بن عمر,Abdullah Bin Omer Secondary School,0,18,277,444,739
1,102,102378,لیسه التقوا,Al Taqwa High School,0,0,1018,864,1882
1,102,102379,ليسه خواجه لکن,Khwaja Lakan High School,0,5,678,1176,1859
1,102,102380,لیسه ذکور پشه ئ,Pashayee Boys High School,0,13,404,1325,1742
1,102,102381,مکتب حسن البضي,Hassan ul Basari School,0,71,938,1980,2989
1,102,102382,ساحه کوچ ها,Saaha e Kochi ha (Kochis location),1,289,127,309,726
1,102,102383,کلینیک مرغگتان,Murghgeeran clinic,2,28,906,2759,3695
1,102,102384,مکتب متوسطه عمرفاروق,Omer Farouq Secondary School,0,85,518,929,1532
1,102,102385,مکتب حضت ابو بکر صديق,Hazrat Abubaker Sedique School,0,156,1070,2797,4023
1,102,102386,لیسه چهلی,Cheheltan High School,1,31,1113,1694,2839
1,102,102388,ليسه حضت خالد بن وليد,Hazrat Khalid Bin Waleed High School,0,3,1144,1656,2803
1,102,102389,مکتب متوسطه اوریاخیل,Oryakhil Secondary School,0,2,538,1604,2144
1,102,102390,مسجد خالداري,Khaldari Mosque,0,2,1074,2141,3217
1,102,102391,ليسه خواجه مسافر,Khwaja Musafir High School,1,6,1470,2970,4447
1,102,102392,مکتب ابتدائيه کشکک,Kashkak Primary School,0,27,948,3435,4410
1,102,102393,مکتب متوسطه پغمان قشنگ,Paghman e Qashang Secondary School,0,13,1162,1705,2880
1,102,102394,متوسطه الفلاح,Alfalah Secondary School,2,3,576,1200,1781
1,102,102395,لیسه قلعه ملک,Qalla e Malik High School,0,1,363,496,860
1,102,102396,ليسه عبدالله بن عباس,Abdullah Bin Abas High School,1,16,987,1382,2386
1,102,102397,مکتب ابتدائيه سموچک,Samochak Primary School,0,15,668,703,1386
1,102,102398,مکتب متوسطه حضت عثمان,Hazrat Usman Secondary School,0,16,666,812,1494
1,103,103399,مکتب ابتدائیه نسوان نو نیاز,Nawniaz Girls Primary School,1,418,957,1542,2918
1,103,103400,مسجد لیوان خیل,Lewan Khil Mosque,0,103,1398,1294,2795
1,103,103401,مسجد چهل دختان,Chehel Dukhtaran Mosque,0,6,599,1110,1715
1,103,103402,مسجد الیاس خیل,Ilyas Khil Mosque,0,8,1150,1107,2265
1,103,103403,مسجد حاچ مرجان,Haji Marjan Mosque,0,275,244,671,1190
1,103,103404,ليسه ملالی شهېد,Malalai Shaheed High School,1,153,709,2067,2930
1,103,103405,مسجد جامع ختآباد,Khairabad Jame Mosque,0,19,1176,1526,2721
1,103,103406,مسجد چارسوق,Chahar Souq Mosque,1,10,598,876,1485
1,103,103407,لیسه ذکور چهارآسیاب,Chahar Aasyab Boys High School,2,7,309,709,1027
1,103,103408,مکتب ابتدائیه قلعه لقمان,Qalla e Luqman Primary School,0,16,1165,1690,2871
1,103,103409,مکتب ابتدائیه ریشخور علیا,Reeshkhor Ulya Primary School,0,72,2343,3037,5452
1,103,103410,لیسه نسوان تنگ سعیدان,Tangi Sayeedan Girls High School,0,85,779,3362,4226
1,103,103411,کلینیک للندر,Lalandar clinic,2,101,1090,2170,3363
1,104,104412,لیسه ذکور بت خاک,Butkhak Boys High School,1,65,1642,2707,4415
1,104,104413,لیسه ویار احمدزی,Wyearr Ahmadzai High School,0,239,1581,2039,3859
1,104,104414,مسجد امام ابو حنیفه,Imam Abu Haneefa Mosque,0,161,741,1599,2501
1,104,104415,لیسه حسی خیل,Hussain Khil High School,0,249,1628,3278,5155
1,104,104416,لیسه ذکور شينه,Sheena Boys High School,1,68,162,970,1201
1,104,104417,لیسه نسوان شینه,Sheena Girls High School,0,7,799,853,1659
1,104,104418,لیسه عبدالشکور رشاد,Abdul Shukoor Reshad High School,1,279,1698,3753,5731
1,104,104419,لیسه نسوان قلعه احمد خان,Qalla e Ahmad Khan Girls High School,0,7,474,721,1202
1,104,104420,لیسه قلعه نعمان,Qalla e Noman High School,0,35,555,1100,1690
1,104,104421,لیسه نسوان قلعه وزیر,Qalla e Wazeer Girls High School,0,12,1166,2846,4024
1,104,104422,مکتب متوسطه شهید محمد عارف ظری,Shaheed Mohammad Arif Zareef Secondary School,0,62,1732,2289,4083
1,104,104424,لیسه ذکور شیوکی,Shewaki Boys High School,1,51,2242,3474,5768
1,104,104425,مسجد جامع قلعه حسن خان,Qalla e Hassan Khan Jame Mosque,2,248,1576,2669,4495
1,104,104426,لیسه شهید ملک گلرحمن,Shaheed Malik Gul Rahman High School,0,113,1556,4007,5676
1,104,104427,لیسه نسوان کمری,Kamari Girls High School,2,112,899,2219,3232
1,104,104428,مکتب ابتدائيه کاريز بکر,Karez Bakar Primary School,2,929,1239,4241,6411
1,104,104557,مسجد سفید حضت بلال,Hazrat Belal White Mosque,5,1691,2590,5694,9980
1,104,104558,مکتب شهید شمالی,Shahid Shamali School,1,3614,489,2363,6467
1,104,104423,لیسه ذکور سهاک,Zahoor Sahak Boys High School,3,47,1702,4648,6400
1,105,105429,مسجد جامع کاکړ,Kakarr Jame Mosque,1,95,774,1103,1973
1,105,105430,مسجد قیس و لونگ,Qais wa Lawang Mosque,1,303,1036,2715,4055
1,105,105431,متوسطه ده ست خاص,Deh Sabz Khas Secondary School,1,320,1756,2014,4091
1,105,105432,متوسطه خواجه غار,Khwaja Ghar Secondary School,1,2,581,2348,2932
1,105,105433,لیسه نسوان ده ست خاص,Deh Sabz Khas Girls High School,0,33,1115,2358,3506
1,105,105434,مکتب حرفوی بابه قشقار,Baba Qashqar vocational School,0,3,510,1740,2253
1,105,105435,لیسه آبدره,Aabdara High School,0,15,1516,2404,3935
1,105,105436,مکتب متوسطه شیخو,Shiekho Secondary School,0,131,1055,3437,4623
1,105,105437,متوسطه شیخ سعدالدین محمد انصاری,Shiekh Saduddin Mohammad Ansari Secondary School,0,70,552,758,1380
1,105,105438,مسجد شیف ملک زرګل,Malik Zargul Mosque,159,13,232,614,1018
1,105,105439,لیسه خواجه چشت,Khwaja Chesht High School,1,70,937,2467,3475
1,105,105440,مکتب ذکور پاچا صاحب,Pacha Sahib Boys School,1,0,500,839,1340
1,105,105441,ليسه ده يحی,Deh Yahya High School,1,3,823,1599,2426
1,105,105442,مسجد شیف حاچ احمد شاه,Haji Ahmad Shah Mosque,1,122,232,325,680
1,105,105443,کلینک صحی پل سنگ,Pul e Sangi Health Clinic,0,16,514,1115,1645
1,105,105444,لیسه نسوان تره خیل,Tarakhil Girls High School,2,2,1430,2012,3446
1,106,106445,مکتب متوسط کوچ,Kochi Secondary School,1,743,210,209,1163
1,106,106446,مسجد شهرک الغوی,Shahrak Ulghoi Mosque,3,683,499,488,1673
1,106,106447,لیسه دانشمند,Danishmand High School,0,122,866,1659,2647
1,106,106448,لیسه محمدحسن خان,Mohammad Hassan Khan High School,1,33,1099,2140,3273
1,106,106449,ليسه قلعه مراد بيک,Qalla e Murad Baig High School,0,6,1383,2812,4201
1,106,106450,مکتب ابتدائيه حاچ پيک,Haji Paik Primary School,0,1,781,1560,2342
1,106,106451,ليسه بويه زار,Boya Zar High School,1,10,1059,2544,3614
1,106,106452,کلينيک بهزادي,Behzadi Clinic,1,0,220,1166,1387
1,106,106453,ليسه شکردره,Shakardarah High School,1,2,1060,2207,3270
1,106,106454,ليسه دره شکردره,Darah e Shakardarah High School,0,14,802,1528,2344
1,106,106455,ليسه غازه,Ghaza High School,1,68,1628,2704,4401
1,106,106456,مکتب متوسطه بالا کاريز,Bala Karez Secondary School,1,0,869,1157,2027
1,106,106457,مکتب متوسطه وزیرگل شهید,Wazeer Gul Shaheed Secondary School,0,19,878,1167,2064
1,106,106458,ليسه حضت عثمان,Hazrat Usman High School,1,238,2670,3852,6761
1,107,107459,مسجد جامع قریه شینگ دشتک,Shenkai Dashtak Village Jame Mosque,0,67,2926,2274,5267
1,107,107460,مکتب متوسطه قشلاق,Qeshlaq Secondary School,0,77,1144,1636,2857
1,107,107461,مسجد عباس قل,Abas Quli Mosque,1,661,1437,1433,3532
1,107,107462,مسجد سنگ نوشته,Sang e Naweshta Mosque,2,321,2257,1446,4026
1,107,107463,مکتب متوسطه نسوان قلعه جانان,Qalla E Janan Girls Secondary School,1,0,574,1523,2098
1,107,107464,مکتب متوسطه رحمت آباد,Rahmat Abad Secondary School,0,149,0,989,1138
1,107,107465,لیسه موسهی علیا,Mosahi Ulya High School,1,0,574,1718,2293
1,107,107466,کلینیک میاخیل,Miakhil Clinic,0,9,1044,1570,2623
1,107,107467,نسوان ابتدائيه موسهی,Mosahi Girls Primary School,0,2,77,1161,1240
1,108,108468,مکتب مت بچه کوت,Mir Bacha Kot School,1,1,778,1962,2742
1,108,108469,لیسه نمت ۲ متبچه خان,Mir Bacha Khan High School No. 2,0,1,617,1339,1957
1,108,108470,مسجد جامع ماریگ,Mareki Jame Mosque,0,0,321,1169,1490
1,108,108471,هواشناش,Hawashinasi (Meteorology),0,0,207,388,595
1,108,108472,مکتب ابتدایه قلم چاق,Qalam Chaq Primary School,0,19,473,560,1052
1,108,108473,مکتب مشوائ,Mashwanni School,0,40,552,417,1009
1,108,108474,مسجد بابه قشقار,Baba Qashqar Mosque,1,0,781,1115,1897
1,108,108475,مکتب متوسطه شیخان,Shiekhan Secondary School,0,11,705,1177,1893
1,108,108476,مکتب متوسطه دکو,Dako Secondary School,0,0,509,1476,1985
1,108,108477,مکتب مت حميدالله,Mir Hamidullah School,8,1,1641,2307,3957
1,108,108478,مکتب پل صوفيان,Pul e Sofyan School,0,12,472,1427,1911
1,108,108479,مکتب متوسطه آبچکان,Aabchakan Secondary School,1,14,584,1392,1991
1,109,109480,مکتب ابتدائيه غزکی,Ghazgai Primary School,0,118,1089,1082,2289
1,109,109481,لیسه ذکور چکری,Chakari Boys High School,0,15,1153,1121,2289
1,109,109482,مسجد جامع بر ملنگ,Bar Malang Jame Mosque,0,65,1099,1142,2306
1,109,109483,مکتب متوسطه ولی خان,Wali Khan Secondary School,0,17,1032,1144,2193
1,109,109484,مسجد جامع خورد کابل,Khord Kabul Jame Mosque,2,8,1179,1163,2352
1,109,109485,مکتب ابتدائیه ملاعمر,Mullah Omer Primary School,0,314,1603,1583,3500
1,109,109486,مکتب ابتدائیه چنار,Chinar Primary School,0,148,1073,1107,2328
1,110,110487,مکتب متوسطه زمه,Zamah Secondary School,0,2,729,997,1728
1,110,110488,مکتب آقا شاي,Aqa Sarai School,0,7,680,730,1417
1,110,110489,مکتب متوسطه مقاومت,Moqawomat Secondary School,0,3,227,379,609
1,110,110490,ليسه امت حبيب الله شهيد,Amir Habibullah Shaheed High School,1,0,870,1831,2702
1,110,110491,مکتب سواد حيائ,Sewad Hayati School,0,1,480,625,1106
1,110,110492,لیسه قحی,Qechi High School,0,13,507,574,1094
1,110,110493,لیسه کارنده,Karendah High School,0,3,383,923,1309
1,110,110494,مکتب متوسطه مشوائ,Mashwanni Secondary School,0,0,794,1088,1882
1,110,110560,لیسه مت درویش کوهدامن,Mir Darwish Kohdamani High School,0,14,148,1926,2088
1,111,111495,لیسه دشت گلدره,Dasht e Guldarah High School,0,37,867,1394,2298
1,111,111496,ابتدائیه قول افغان,Qul Afghan Primary School,0,3,303,461,767
1,111,111497,لیسه پیام آزادی,Payam E Azadi High School,0,9,824,1301,2134
1,111,111498,مکتب ده عربان,Deh e Araban School,0,5,584,479,1068
1,111,111499,مسجد گدره,Gedrah Mosque,0,1,370,335,706
1,111,111500,مکتب خراسان,Khurasan School,0,43,929,501,1473
1,112,112501,مسجد قلعه مقرب,Qalla e Moqarab Mosque,1,10,571,526,1108
1,112,112502,مسجد حسن خيل,Hasan Khil Mosque,0,3,561,381,945
1,112,112503,مسجد زرکران,Zargaran Mosque,0,0,0,1211,1211
1,112,112504,لیسه ذکور فرزه,Farzah Boys High School,0,0,622,1290,1912
1,112,112505,مکتب قلعه متا فغان,Qalla e Mir Afghan School,1,0,1143,861,2005
1,112,112506,مسجد قلعه چنار,Qalla e Chinar Mosque,1,0,358,701,1060
1,112,112507,مسجد جامع,Jame Mosque,0,5,578,974,1557
1,112,112508,مسجد شخان خیل,Sar Khan Khil Mosque,0,0,293,311,604
1,113,113509,مکتب ابتدائيه خواجه حسن,Khwaja Hasan Primary School,1,0,492,972,1465
1,113,113510,لسیه شهید احمد شاه مسعود,Shaheed Ahmad Shah Masoud High School,0,5,849,1031,1885
1,113,113511,مسجد نور علم,Noor Alam Mosque,0,0,577,1283,1860
1,113,113512,لیسه مولوی محمد يعقوب شاه,Mawlawi Mohammad Yaqoub Shah High School,0,6,862,1744,2612
1,113,113513,ليسه استالف,Istalif High School,0,2,1014,1715,2731
1,113,113514,ليسه بدل شاه خيل,Badal Shah Khil High School,0,76,721,826,1623
1,114,114515,دارالمعلمی قره باغ,Qarabagh Teacher Training Center,2,9,791,2563,3365
