id,name,geoId,observersTotal,observersETWOA,observersACSFO,observersAABRAR,observersTEFA,observersTHRA,observersFEFA
1,Kabul,1,623,160,242,,130,,91
2,Kapisa,2,178,60,24,,70,,24
3,Parwan,3,114,,39,,50,,25
4,Wardak,4,74,,,,50,,24
5,Logar,5,176,,16,75,60,,25
6,Nangarhar,6,426,169,49,,130,30,48
7,Laghman,7,144,60,,,50,11,23
8,Panjshir,8,94,,22,,50,,22
9,Baghlan,9,191,,39,,130,,22
10,Bamyan,10,139,,34,,80,,25
12,Paktika,12,75,,,,50,,25
13,Paktia,13,386,,21,280,60,,25
14,Khost,14,470,60,,325,60,,25
15,Kunar,15,116,,,,60,31,25
16,Nuristan,16,80,,,,35,27,18
17,Badakhshan,17,214,,58,,130,,26
18,Takhar,18,300,58,86,,130,,26
19,Kunduz,19,166,,,,140,,26
20,Samangan,20,114,,18,,70,,26
21,Balkh,21,278,,72,,150,,56
22,Sar-e-Pol,22,62,,,,40,,22
23,Ghor,23,212,60,35,,90,,27
24,Daykundi,24,154,56,12,,60,,26
25,Urozgan,25,61,,7,,30,,24
26,Zabul,26,59,,,,40,,19
27,Kandahar,27,306,150,52,,60,,44
28,Jawzjan,28,174,60,19,,70,,25
29,Faryab,29,71,,,,45,,26
30,Helmand,30,127,48,,,60,,19
31,Badghis,31,110,,16,,70,,24
32,Herat,32,523,150,130,,180,,63
33,Farah,33,65,,,,40,,25
34,Nimruz,34,54,,,,30,,24
35,Kuchi,,0,,,,,,
36,Sikh,,0,,,,,,
