data_id,provId,province,distId,district,location,latitude,longitude,fatalities
4578457,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,43
4579886,1,Kabul,0104,Bagrami,Bagrami,34.4938,69.2743,0
4581435,1,Kabul,0115,Surobi,Surobi,34.5897,69.7625,0
4582308,1,Kabul,0102,Paghman,Paghman,34.5884,68.958,5
4583407,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,2
4586035,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4586950,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4587165,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,1
4588171,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,56
4590311,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,11
4590631,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4590835,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4592510,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,2
4593129,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4593435,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,8
4594047,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,2
4595096,1,Kabul,0104,Bagrami,Bagrami,34.4938,69.2743,0
4595101,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4595879,1,Kabul,0115,Surobi,Surobi,34.5897,69.7625,0
4596315,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,16
4596316,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4597512,1,Kabul,0115,Surobi,Gogamundah,34.579,69.5959,0
4597513,1,Kabul,0115,Surobi,Surobi,34.5897,69.7625,0
4597804,1,Kabul,0115,Surobi,Surobi,34.5897,69.7625,0
4597805,1,Kabul,0115,Surobi,Kotahgay,34.5567,69.7486,0
4599648,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4599969,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4600661,1,Kabul,0109,Khak-e Jabbar,Khak-e Jabbar,34.4018,69.5041,20
4601184,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4604464,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4604764,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4606010,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4606542,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4607538,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,8
4607548,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,1
4607540,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4608529,1,Kabul,0109,Khak-e Jabbar,Khak-e Jabbar,34.4018,69.5041,12
4608525,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,25
4609135,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,1
4609139,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4610482,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,5
4610854,1,Kabul,0109,Khak-e Jabbar,Khak-e Jabbar,34.4018,69.5041,7
4611283,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,2
4612505,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,3
4612746,1,Kabul,0107,Mussahi,Mussahi,34.3667,69.2167,0
4612747,1,Kabul,0109,Khak-e Jabbar,Khak-e Jabbar,34.4018,69.5041,0
4612831,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4613609,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,2
4613823,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,35
4613720,1,Kabul,0104,Bagrami,Bagrami,34.4938,69.2743,0
4614211,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4614333,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,2
4615172,1,Kabul,0115,Surobi,Surobi,34.5897,69.7625,2
4616234,1,Kabul,0102,Paghman,Paghman,34.5884,68.958,2
4616840,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4617434,1,Kabul,0107,Mussahi,Mussahi,34.3667,69.2167,3
4617345,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4617996,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4618387,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4618551,1,Kabul,0103,Chahar Asyab,Chahar Asyab,34.4094,69.1573,3
4618686,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4619207,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4619311,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,5
4619766,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4619771,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4619831,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4620215,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4620512,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,24
4620513,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,2
4620387,1,Kabul,0102,Paghman,Paghman,34.5884,68.958,6
4620376,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,2
4620934,1,Kabul,0104,Bagrami,Qalah-ye Noman,34.4915,69.2473,1
4621036,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4621436,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,1
4622070,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,1
4622058,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4622210,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4622286,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,8
4622456,1,Kabul,0102,Paghman,Paghman,34.5884,68.958,2
4622458,1,Kabul,0109,Khak-e Jabbar,Khak-e Jabbar,34.4018,69.5041,0
4622471,1,Kabul,11110114,Qarabagh,Qarabagh,34.8529,69.1706,0
4622880,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4623758,1,Kabul,0115,Surobi,Surobi,34.5897,69.7625,0
4624547,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4624840,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4624842,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4625462,1,Kabul,0115,Surobi,Surobi,34.5897,69.7625,6
4625617,1,Kabul,0115,Surobi,Surobi,34.5897,69.7625,6
4626130,1,Kabul,0115,Surobi,Surobi,34.5897,69.7625,3
4626228,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4626508,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,2
4626516,1,Kabul,0102,Paghman,Arghandih-e Pain,34.512,68.9444,1
4626498,1,Kabul,0102,Paghman,Paghman,34.5884,68.958,0
4626752,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,1
4626888,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4627598,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4627758,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4628430,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4629388,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4629780,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4630961,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,13
4631041,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,2
4631256,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4631261,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4631262,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,1
4631306,1,Kabul,0107,Mussahi,Mussahi,34.3667,69.2167,1
4632049,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4632623,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,15
4632624,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4632974,1,Kabul,0102,Paghman,Paghman,34.5884,68.958,2
4633177,1,Kabul,0101,Kabul,Beni Hisar,34.4884,69.2184,1
4633761,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4634052,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,11
4634405,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4634404,1,Kabul,11110114,Qarabagh,Qarabagh,34.8529,69.1706,2
4634885,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4635622,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4637916,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4639266,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,9
4639271,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,9
4639924,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,1
4640179,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,1
4640278,1,Kabul,0115,Surobi,Surobi,34.5897,69.7625,0
4641698,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,31
4642496,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4642944,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,2
4642781,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4642945,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4642783,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4643648,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4643855,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,69
4644113,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4644644,1,Kabul,0103,Chahar Asyab,Chahar Asyab,34.4094,69.1573,0
4647140,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4647284,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4647561,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4648538,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4649612,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4650110,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4651484,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4651485,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,1
4652063,1,Kabul,0115,Surobi,Surobi,34.5897,69.7625,0
4652366,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,34
4653020,1,Kabul,0102,Paghman,Deh-e Punbah,34.5626,69.0282,2
4653109,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,1
4653577,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,4
4654436,1,Kabul,0115,Surobi,Surobi,34.5897,69.7625,4
4655488,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,11
4655895,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4657167,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4657209,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,1
4658996,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,4
4658826,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,2
4662729,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4664231,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4664736,1,Kabul,0115,Surobi,Surobi,34.5897,69.7625,1
4665037,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4665913,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4665940,1,Kabul,0101,Kabul,Qarghah,34.5464,69.0552,15
4666511,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,104
4668145,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,1
4668248,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,23
4668525,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,23
4670024,1,Kabul,0101,Kabul,Wazir Akbar Khan,34.5357,69.1882,0
4670928,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4670930,1,Kabul,0115,Surobi,Surobi,34.5897,69.7625,10
4671072,1,Kabul,0115,Surobi,Surobi,34.5897,69.7625,2
4673181,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,1
4673184,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,14
4673602,1,Kabul,0101,Kabul,Beni Hisar,34.4884,69.2184,1
4673340,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4673789,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4673905,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4673963,1,Kabul,0101,Kabul,Kabul,34.5167,69.1833,0
4576272,2,Kapisa,0205,Nijrab,Afghanyah,34.9596,69.6186,9
4582288,2,Kapisa,0206,Tagab,Tagab,34.855,69.6492,46
4583397,2,Kapisa,0205,Nijrab,Nijrab,34.9789,69.5724,5
4583983,2,Kapisa,0206,Tagab,Tagab,34.855,69.6492,6
4584289,2,Kapisa,0206,Tagab,Tagab,34.855,69.6492,13
4584905,2,Kapisa,0206,Tagab,Tagab,34.855,69.6492,19
4584907,2,Kapisa,0207,Alasay,Alasay,34.8958,69.7208,0
4585238,2,Kapisa,0206,Tagab,Tagab,34.855,69.6492,12
4585426,2,Kapisa,0205,Nijrab,Nijrab,34.9789,69.5724,2
4586616,2,Kapisa,0206,Tagab,Tagab,34.855,69.6492,5
4587251,2,Kapisa,0205,Nijrab,Nijrab,34.9789,69.5724,2
4587253,2,Kapisa,0206,Tagab,Tagab,34.855,69.6492,1
4588931,2,Kapisa,0206,Tagab,Tagab,34.855,69.6492,2
4589067,2,Kapisa,0206,Tagab,Fayrozahi,34.9587,69.6358,2
4591815,2,Kapisa,0205,Nijrab,Nijrab,34.9789,69.5724,11
4595889,2,Kapisa,0201,Mahmud Raqi,Mahmud-e-Raqi,35.0164,69.3445,1
4601848,2,Kapisa,0205,Nijrab,Nijrab,34.9789,69.5724,2
4601976,2,Kapisa,0205,Nijrab,Nijrab,34.9789,69.5724,3
4602490,2,Kapisa,0206,Tagab,Tagab,34.855,69.6492,21
4602519,2,Kapisa,0206,Tagab,Tagab,34.855,69.6492,6
4603540,2,Kapisa,0206,Tagab,Tagab,34.855,69.6492,17
4603368,2,Kapisa,0206,Tagab,Tagab,34.855,69.6492,13
4603593,2,Kapisa,0206,Tagab,Tagab,34.855,69.6492,9
4604205,2,Kapisa,0205,Nijrab,Nijrab,34.9789,69.5724,4
4607292,2,Kapisa,0207,Alasay,Alasay,34.8958,69.7208,4
4610852,2,Kapisa,0207,Alasay,Alasay,34.8958,69.7208,4
4614733,2,Kapisa,0206,Tagab,Tagab,34.855,69.6492,3
4615183,2,Kapisa,0206,Tagab,Tagab,34.855,69.6492,2
4617625,2,Kapisa,0205,Nijrab,Nijrab,34.9789,69.5724,6
4618002,2,Kapisa,0206,Tagab,Sherkhel,34.8212,69.651,3
4618003,2,Kapisa,0206,Tagab,Fayrozahi,34.9587,69.6358,3
4618004,2,Kapisa,0206,Tagab,Qalah-ye Salih,34.8937,69.6393,3
4619110,2,Kapisa,0206,Tagab,Tagab,34.855,69.6492,19
4619904,2,Kapisa,0201,Mahmud Raqi,Mahmud-e-Raqi,35.0164,69.3445,1
4619764,2,Kapisa,0206,Tagab,Tagab,34.855,69.6492,7
4620086,2,Kapisa,0206,Tagab,Tagab,34.855,69.6492,7
4621040,2,Kapisa,0205,Nijrab,Nijrab,34.9789,69.5724,4
4621802,2,Kapisa,0201,Mahmud Raqi,Mahmud-e-Raqi,35.0164,69.3445,15
4622466,2,Kapisa,0205,Nijrab,Nijrab,34.9789,69.5724,5
4622546,2,Kapisa,0201,Mahmud Raqi,Mahmud-e-Raqi,35.0164,69.3445,1
4623094,2,Kapisa,0203,Koh Band,Hajjikheyl,35.1092,69.4334,2
4633827,2,Kapisa,0207,Alasay,Alasay,34.8958,69.7208,2
4634063,2,Kapisa,0205,Nijrab,Nijrab,34.9789,69.5724,4
4636363,2,Kapisa,0201,Mahmud Raqi,Mahmud-e-Raqi,35.0164,69.3445,1
4637204,2,Kapisa,0206,Tagab,Nawrozkhel,34.8001,69.6644,0
4639925,2,Kapisa,0206,Tagab,Tagab,34.855,69.6492,1
4640102,2,Kapisa,0201,Mahmud Raqi,Mahmud-e-Raqi,35.0164,69.3445,0
4640350,2,Kapisa,0201,Mahmud Raqi,Mahmud-e-Raqi,35.0164,69.3445,0
4641371,2,Kapisa,0201,Mahmud Raqi,Mahmud-e-Raqi,35.0164,69.3445,0
4641453,2,Kapisa,0206,Tagab,Tagab,34.855,69.6492,1
4641702,2,Kapisa,0206,Tagab,Tagab,34.855,69.6492,4
4641690,2,Kapisa,0206,Tagab,Tagab,34.855,69.6492,25
4641850,2,Kapisa,0201,Mahmud Raqi,Mahmud-e-Raqi,35.0164,69.3445,0
4642126,2,Kapisa,0201,Mahmud Raqi,Mahmud-e-Raqi,35.0164,69.3445,0
4643199,2,Kapisa,0201,Mahmud Raqi,Mahmud-e-Raqi,35.0164,69.3445,0
4643584,2,Kapisa,0206,Tagab,Sherkhel,34.8212,69.651,7
4644054,2,Kapisa,0201,Mahmud Raqi,Mahmud-e-Raqi,35.0164,69.3445,0
4644326,2,Kapisa,0207,Alasay,Alasay,34.8958,69.7208,6
4645127,2,Kapisa,0205,Nijrab,Nijrab,34.9789,69.5724,11
4645389,2,Kapisa,0201,Mahmud Raqi,Mahmud-e-Raqi,35.0164,69.3445,0
4645728,2,Kapisa,0201,Mahmud Raqi,Mahmud-e-Raqi,35.0164,69.3445,0
4645848,2,Kapisa,0205,Nijrab,Nijrab,34.9789,69.5724,6
4646295,2,Kapisa,0205,Nijrab,Nijrab,34.9789,69.5724,6
4646699,2,Kapisa,0205,Nijrab,Nijrab,34.9789,69.5724,7
4651352,2,Kapisa,0206,Tagab,Tagab,34.855,69.6492,7
4652128,2,Kapisa,0203,Koh Band,Hajjikheyl,35.1092,69.4334,6
4654717,2,Kapisa,0205,Nijrab,Nijrab,34.9789,69.5724,1
4655496,2,Kapisa,0205,Nijrab,Nijrab,34.9789,69.5724,2
4657436,2,Kapisa,0206,Tagab,Qazian,34.8284,69.67,3
4658923,2,Kapisa,0206,Tagab,Tagab,34.855,69.6492,1
4659332,2,Kapisa,0206,Tagab,Tagab,34.855,69.6492,0
4659809,2,Kapisa,0206,Tagab,Nawrozkhel,34.8001,69.6644,2
4659810,2,Kapisa,0205,Nijrab,Nijrab,34.9789,69.5724,3
4660119,2,Kapisa,0201,Mahmud Raqi,Mahmud-e-Raqi,35.0164,69.3445,3
4661052,2,Kapisa,0206,Tagab,Tagab,34.855,69.6492,6
4662128,2,Kapisa,0206,Tagab,Tagab,34.855,69.6492,0
4663188,2,Kapisa,0206,Tagab,Tagab,34.855,69.6492,1
4667657,2,Kapisa,0201,Mahmud Raqi,Mahmud-e-Raqi,35.0164,69.3445,0
4667944,2,Kapisa,0203,Koh Band,Durnamah,35.066,69.4976,0
4668245,2,Kapisa,0201,Mahmud Raqi,Mahmud-e-Raqi,35.0164,69.3445,3
4670929,2,Kapisa,0206,Tagab,Sherkhel,34.8212,69.651,2
4671324,2,Kapisa,0206,Tagab,Wali Khel,34.7591,69.6666,0
4579300,3,Parwan,0305,Jabal Saraj,Jabal Saraj,35.1183,69.2378,3
4585427,3,Parwan,0303,Shinwari,Shinwari,35.0397,69.0069,2
4586615,3,Parwan,0302,Bagram,Bagram,34.9669,69.265,0
4587655,3,Parwan,0305,Jabal Saraj,Jabal Saraj,35.1183,69.2378,3
4589068,3,Parwan,0302,Bagram,Bagram,34.9669,69.265,1
4591108,3,Parwan,0307,Ghorband,Ghorband,34.9864,68.7083,1
4596524,3,Parwan,0307,Ghorband,Ghorband,34.9864,68.7083,0
4598027,3,Parwan,0302,Bagram,Bagram,34.9669,69.265,2
4601544,3,Parwan,0301,Chaharikar,Charikar,35.0166,69.174,3
4601945,3,Parwan,0306,Salang,Salang,35.2818,69.1528,3
4601839,3,Parwan,0307,Ghorband,Ghorband,34.9864,68.7083,2
4605429,3,Parwan,0301,Chaharikar,Charikar,35.0166,69.174,2
4608797,3,Parwan,0302,Bagram,Bagram,34.9669,69.265,1
4609634,3,Parwan,0308,Kohi Safi,Kohi Safi,34.7602,69.4686,5
4610205,3,Parwan,0308,Kohi Safi,Kohi Safi,34.7602,69.4686,5
4612637,3,Parwan,0302,Bagram,Bagram,34.9669,69.265,0
4613379,3,Parwan,0307,Ghorband,Ghorband,34.9864,68.7083,0
4613366,3,Parwan,0303,Shinwari,Shinwari,35.0397,69.0069,1
4616499,3,Parwan,0301,Chaharikar,Charikar,35.0166,69.174,3
4616764,3,Parwan,0307,Ghorband,Ghorband,34.9864,68.7083,1
4618392,3,Parwan,0310,Shekh Ali,Shekh Ali,34.9474,68.5123,0
4621044,3,Parwan,0301,Chaharikar,Charikar,35.0166,69.174,4
4622811,3,Parwan,0308,Kohi Safi,Kohi Safi,34.7602,69.4686,1
4626338,3,Parwan,0301,Chaharikar,Charikar,35.0166,69.174,0
4626764,3,Parwan,0301,Chaharikar,Charikar,35.0166,69.174,5
4627322,3,Parwan,0307,Ghorband,Ghorband,34.9864,68.7083,5
4634956,3,Parwan,0301,Chaharikar,Charikar,35.0166,69.174,1
4638516,3,Parwan,0301,Chaharikar,Charikar,35.0166,69.174,0
4646698,3,Parwan,0302,Bagram,Bagram,34.9669,69.265,0
4647286,3,Parwan,0302,Bagram,Bagram,34.9669,69.265,0
4654331,3,Parwan,0301,Chaharikar,Charikar,35.0166,69.174,0
4655017,3,Parwan,0307,Ghorband,Ghorband,34.9864,68.7083,0
4659817,3,Parwan,0302,Bagram,Bagram,34.9669,69.265,5
4663832,3,Parwan,0307,Ghorband,Ghorband,34.9864,68.7083,5
4664183,3,Parwan,0307,Ghorband,Ghorband,34.9864,68.7083,5
4667295,3,Parwan,0302,Bagram,Bagram,34.9669,69.265,0
4673337,3,Parwan,0302,Bagram,Bagram,34.9669,69.265,0
4673910,3,Parwan,0305,Jabal Saraj,Jabal Saraj,35.1183,69.2378,1
4576623,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,25
4576626,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,11
4576881,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,15
4582030,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,8
4583683,4,Wardak,0404,Chaki Wardak,Chaki Wardak,34.1061,68.5794,1
4584279,4,Wardak,0402,Nirkh,Kan-e Ezzat,34.356,68.8036,6
4584603,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,8
4584903,4,Wardak,0402,Nirkh,Kan-e Ezzat,34.356,68.8036,10
4584906,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,11
4586933,4,Wardak,0408,Jaghatu,Jaghatu,33.9335,68.3913,2
4587925,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,2
4588160,4,Wardak,0402,Nirkh,Kan-e Ezzat,34.356,68.8036,5
4589072,4,Wardak,0403,Jalrez,Jalrez,34.4708,68.6544,2
4589210,4,Wardak,0402,Nirkh,Kan-e Ezzat,34.356,68.8036,5
4589482,4,Wardak,0401,Maidan Shar,Maidan Shar,34.3956,68.8662,4
4590617,4,Wardak,0402,Nirkh,Kan-e Ezzat,34.356,68.8036,5
4590899,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,17
4591437,4,Wardak,0401,Maidan Shar,Maidan Shar,34.3956,68.8662,5
4593127,4,Wardak,0405,Saydabad,Saydabad,34.0004,68.7135,7
4594539,4,Wardak,0401,Maidan Shar,Maidan Shar,34.3956,68.8662,7
