id,name,registeredMen,registeredWomen,registeredNomad,registeredHinduSikh,registeredTotal
102,PAGHMAN,37615,19389,852,11,57867
103,CHAHAR ASYAB,21161,12517,1273,7,34958
104,BAGRAMI,51470,24471,7989,19,83949
105,DEHSABZ,27848,13563,1198,169,42778
106,SHAKAR DARA,25193,14024,1939,11,41167
107,MUSAHI,13750,10033,1286,5,25074
108,MIR BACHA KOT,14729,7640,99,11,22479
109,KHAK-E-JABAR,8342,8228,685,2,17257
110,KALAKAN,9073,4818,43,1,13935
111,GULDARA,4471,3877,98,0,8446
112,FARZA,6255,4126,18,3,10402
113,ESTALEF,7571,4515,89,1,12176
114,QARA BAGH,31898,13877,1007,11,46793
115,SURUBI,33220,20887,1684,17,55808
201,PROVINCIAL CAPITAL OF KAPISA (MAHMUDI RAQI),13902,5796,10101,0,29799
202,HISSA-E- DUWUMI KOHISTAN,14624,7482,747,0,22853
203,KOH BAND,12340,8003,355,0,20698
204,HISSA-E-AWALI KOHISTAN,18762,9198,540,0,28500
205,NIJRAB,20145,11839,556,0,32540
206,TAGAB,16634,1843,549,0,19026
207,ALASAY,3165,0,59,0,3224
301,PROVINCIAL CAPITAL OF PARWAN (CHARIKAR),37854,15814,120,0,53788
302,BAGRAM,34161,15494,885,0,50540
303,SHINWARI,11268,3504,12,0,14784
304,SAYID KHAIL,11147,7411,39,0,18597
305,JABULUSSARAJ,13678,7931,9,0,21618
306,SALANG,6846,6706,110,0,13662
307,SYAHGIRDI GHORBAND,8949,3774,2,0,12725
308,KOHI SAFI,3242,2601,1,0,5844
309,SURKHI PARSA,6839,5915,6,0,12760
310,SHAYKH ALI,5728,3808,2,0,9538
401,PROVINCIAL CAPITAL OF WARDAK (MAYDAN SHAHR),19078,2180,518,0,21776
402,NERKH,9928,1948,6,0,11882
403,JALREZ,9721,5548,3,0,15272
404,CHAKI WARDAK,17652,4402,12,0,22066
405,SAYYDABAD,16139,3226,48,0,19413
406,DAYMIRDAD,1604,844,3,0,2451
407,HISSA-E-AWALI BIHSUD,6999,6403,5,0,13407
408,JAGHATU,1748,1181,0,0,2929
409,MARKAZ-E-BEHSUD,17522,15358,19,0,32899
501,PROVINCIAL CAPITAL OF  LOGAR ( PULI ALAM ),30201,6799,5605,0,42605
502,BARAKI BARAK,2342,332,4,0,2678
503,CHARKH,1214,0,969,0,2183
504,KHUSHI,6951,4047,1899,0,12897
505,MOHAMMAD AGHA,24351,9634,1231,0,35216
506,KHAR WAR,39,0,2,0,41
507,AZRA,2645,2850,42,0,5537
602,BEHSUD,46541,24956,1658,46,73201
603,SURKH RUD,48423,24508,1760,10,74701
604,CHAPARHAR,18690,13279,223,12,32204
605,KAMA,29197,19203,345,6,48751
606,KUZKUNAR,21653,11455,1029,13,34150
607,RODAT,26095,13190,536,6,39827
608,KHUGYANI,37989,13346,1091,2,52428
609,BATI KOT,21500,10314,1206,13,33033
610,DEH BALA,6141,2905,6,2,9054
611,PACHIR WAGAM,12387,5179,236,2,17804
612,DARAH-E-NOOR,17300,17004,17,6,34327
613,KOT,15847,10789,57,2,26695
614,GOSHTA,11230,9335,15,2,20582
615,ACHIN,16301,5527,32,3,21863
616,SHINWAR,17910,6802,437,4,25153
617,MUHMAND DARA,19577,9137,363,4,29081
618,LALPOOR,8795,4267,10,2,13074
619,SHER ZAD,1151,566,0,0,1717
620,NAZYAN,9013,6841,5,9,15868
621,HESARAK,3243,2264,119,3,5629
622,DUR BABA,13792,6500,48,3,20343
623,SPIN GHAR,11097,5060,34,3,16194
701,PROVINCIAL CAPITAL OF LAGHMAN ( MEHTERLAM ),48225,17728,321,0,66274
702,QARGHAYEE,35362,20279,3685,0,59326
703,ALISHING,7988,2890,530,0,11408
704,ALINGAR,9598,2544,48,0,12190
705,DAWLAT SHAH,8458,3266,136,0,11860
706,BAD PAKH,492,7,0,0,499
801,PROVINCIAL CAPITAL OF PANJSHER ( BAZARAK ),8664,4029,4,0,12697
802,RUKHA,3194,2397,0,0,5591
803,DARAH,4710,3574,4,0,8288
804,HISSA-E-AWAL ( KHINJ ),8732,6276,9,0,15017
805,UNABA,6971,4682,4,0,11657
806,SHUTUL,2453,2621,1,0,5075
807,PARYAN,4181,3693,1,0,7875
808,AB SHAR,3859,3373,6,0,7238
901,PROVINCIAL CAPITAL OF BAGHLAN ( PUL-E-KHUMRI ),34040,21417,334,0,55791
903,DUSHI,15088,13796,319,0,29203
904,NAHREEN,30057,23062,930,0,54049
905,BAGHLAN-E-JADEED,47650,28696,3816,0,80162
906,KHINJAN,6254,6304,56,0,12614
907,ANDARAB,6134,4870,8,0,11012
908,DEH SALAH,13336,6140,20,0,19496
909,JALGA,12411,8615,7,0,21033
910,BURKA,10675,9307,13,0,19995
911,TALA WA BARFAK,17869,15423,10,0,33302
912,PUL-E-HISAR,11353,8070,10,0,19433
913,KHOST WA FIRING,23284,15320,91,0,38695
914,GOZARGAH-E-NOOR,3551,3549,1,0,7101
915,FIRING WA GHARU,5467,4982,6,0,10455
1001,PROVINCIAL CAPITAL OF BAMYAN ( BAMYAN ),21743,21396,5,0,43144
1002,SHEBAR,5154,3874,2,0,9030
1003,SAIGHAN,5170,6254,3,0,11427
1004,KAHMARD,10376,10200,31,0,20607
1005,YAKAWLANG,11981,12667,2,0,24650
1006,PANJAB,8334,8812,12,0,17158
1007,WARAS,13605,15126,7,0,28738
1008,YAKAWLANG NO 2,5745,6819,2,0,12566
1201,PROVINCIAL CAPITAL OF PAKTIKA ( SHARAN ),16700,976,1611,0,19287
1202,MATA KHAN,9083,4459,325,0,13867
1203,YOSUF KHEL,7323,1940,284,0,9547
1204,YAHYA KHEL,11697,2673,250,0,14620
1205,SAR RAWZA,4017,1194,413,0,5624
1206,OMNA,832,388,55,0,1275
1207,ZARGHUN SHAHR,20644,3722,648,0,25014
1208,GOMAL,9963,4101,87,0,14151
1209,JANI KHEL,9466,2476,2472,0,14414
1210,SURUBI,11023,4417,56,0,15496
1211,URGOON,13267,5646,112,0,19025
1212,ZIRUK,7539,1936,8,0,9483
1213,NIKA,5223,1423,4,0,6650
1214,BARMAL,8800,412,4,0,9216
1216,DILA WA KHUSHAMAND,4132,665,662,0,5459
1217,WAZAKHWAH,9224,217,401,0,9842
