id,name,provId,geoId,registeredMen,registeredWomen,registeredTotal,femalePopulationRural,malePopulationRural,totalPopulationRural,femalePopulationUrban,malePopulationUrban,totalPopulationUrban,totalPopulationFemale,totalPopulationMale,totalPopulation
102,Paghman,1,102,37615,19389,57004,53348,56361,109709,11609,12142,23751,64957,68503,133460
103,Chah Arasyab,1,103,21161,12517,33678,19235,20799,40034,,,,19235,20799,40034
104,Bagrami,1,104,51470,24471,75941,29495,31069,60564,,,,29495,31069,60564
105,Deh Sabz,1,105,27848,13563,41411,28726,30298,59024,,,,28726,30298,59024
106,Shakardara,1,106,25193,14024,39217,44116,45705,89821,,,,44116,45705,89821
107,Mosahi,1,107,13750,10033,23783,12439,13095,25534,,,,12439,13095,25534
108,Mir Bacha Kot,1,108,14729,7640,22369,28214,28886,57100,,,,28214,28886,57100
109,Khak-e-jabar,1,109,8342,8228,16570,7566,8089,15655,,,,7566,8089,15655
110,Kalakan,1,110,9073,4818,13891,16159,16947,33106,,,,16159,16947,33106
111,Guldara,1,111,4471,3877,8348,12183,12838,25021,,,,12183,12838,25021
112,Farza,1,112,6255,4126,10381,11413,12068,23481,,,,11413,12068,23481
113,Istalif,1,113,7571,4515,12086,17954,18744,36698,,,,17954,18744,36698
114,Qarabagh,1,114,31898,13877,45775,40909,42495,83404,,,,40909,42495,83404
115,Surobi,1,115,33220,20887,54107,29752,30812,60564,,,,29752,30812,60564
201,Mahmod-e-raqi,2,201,13902,5796,19698,33985,34535,68520,720,966,1686,34705,35501,70206
202,Hisa-e-awal-e-kohistan,2,202,14624,7482,22106,24238,24906,49144,,,,24238,24906,49144
203,Kohband,2,203,12340,8003,20343,12824,12838,25662,,,,12824,12838,25662
204,Hisa-e-awal-e-kohistan,2,204,18762,9198,27960,36806,37488,74294,,,,36806,37488,74294
205,Nijrab,2,205,20145,11839,31984,60659,62010,122669,,,,60659,62010,122669
206,Tagab,2,206,16634,1843,18477,44117,44165,88282,,,,44117,44165,88282
207,Alasay,2,207,3165,0,3165,20133,21184,41317,,,,20133,21184,41317
301,Charekar,3,301,37854,15814,53668,64505,67145,131650,31637,31184,62821,96142,98329,194471
302,Bagram,3,302,34161,15494,49655,56042,57131,113173,,,,56042,57131,113173
303,Shorabak,3,303,11268,3504,14772,22186,22724,44910,,,,22186,22724,44910
304,Sayid Khail,3,304,11147,7411,18558,24366,25421,49787,,,,24366,25421,49787
305,Jabalussaraj,3,305,13678,7931,21609,33471,34407,67878,1002,965,1967,34473,35372,69845
306,Salang,3,306,6846,6706,13552,14107,14250,28357,,,,14107,14250,28357
307,Ghorband,3,307,8949,3774,12723,52837,52766,105603,,,,52837,52766,105603
308,Koh-e-safi,3,308,3242,2601,5843,16800,17075,33875,,,,16800,17075,33875
309,Surkh-e-parsa,3,309,6839,5915,12754,21930,22724,44654,,,,21930,22724,44654
310,Shekh Ali,3,310,5728,3808,9536,13209,13737,26946,,,,13209,13737,26946
401,Maydanshahr,4,401,19078,2180,21258,20006,20799,40805,1719,1656,3375,21725,22455,44180
402,Nirkh,4,402,9928,1948,11876,30136,32096,62232,,,,30136,32096,62232
403,Jalrez,4,403,9721,5548,15269,28342,29528,57870,,,,28342,29528,57870
404,Chak,4,404,17652,4402,22054,44885,47245,92130,,,,44885,47245,92130
405,Saydabad,4,405,16139,3226,19365,61812,64962,126774,,,,61812,64962,126774
406,Daymerdad,4,406,1604,844,2448,16672,17204,33876,,,,16672,17204,33876
407,Hisa-e-awal-e-bihsod,4,407,6999,6403,13402,19877,20542,40419,,,,19877,20542,40419
408,Jaghato,4,408,1748,1181,2929,24494,25420,49914,,,,24494,25420,49914
409,Markaz-e-bihsod,4,409,17522,15358,32880,64121,66118,130239,,,,64121,66118,130239
501,Pul-e-alam,5,501,30201,6799,37000,53991,55591,109582,3008,3036,6044,56999,58627,115626
502,Baraki Barak,5,502,2342,332,2674,44629,46347,90976,2433,2346,4779,47062,48693,95755
503,Charkh,5,503,1214,0,1214,23853,24649,48502,,,,23853,24649,48502
504,Khoshi,5,504,6951,4047,10998,12952,13352,26304,,,,12952,13352,26304
505,Muhammad Agha,5,505,24351,9634,33985,40268,42110,82378,,,,40268,42110,82378
506,Kharwar,5,506,39,0,39,14106,14508,28614,,,,14106,14508,28614
507,Azra,5,507,2645,2850,5495,10772,11426,22198,,,,10772,11426,22198
602,Bihsod,6,602,46541,24956,71497,61044,63037,124081,,,,61044,63037,124081
603,Surkhrod,6,603,48423,24508,72931,63735,67787,131522,,,,63735,67787,131522
604,Chaparhar,6,604,18690,13279,31969,32317,33509,65826,,,,32317,33509,65826
605,Kama,6,605,29197,19203,48400,40909,43009,83918,,,,40909,43009,83918
606,Kozkunar,6,606,21653,11455,33108,29111,30940,60051,,,,29111,30940,60051
607,Rodat,6,607,26095,13190,39285,36676,38772,75448,,,,36676,38772,75448
608,Khogyani,6,608,37989,13346,51335,66814,70611,137425,2578,2622,5200,69392,73233,142625
609,Batikot,6,609,21500,10314,31814,40524,42110,82634,,,,40524,42110,82634
610,Dehbala,6,610,6141,2905,9046,21416,22596,44012,,,,21416,22596,44012
611,Pacher Agam,6,611,12387,5179,17566,22570,23879,46449,,,,22570,23879,46449
612,Dara-e-nor,6,612,17300,17004,34304,21545,22467,44012,,,,21545,22467,44012
613,Kot,6,613,15847,10789,26636,28085,28758,56843,,,,28085,28758,56843
614,Goshta,6,614,11230,9335,20565,14619,15150,29769,,,,14619,15150,29769
615,Achen,6,615,16301,5527,21828,25667,26485,52152,,,,25667,26485,52152
616,Shenwar,6,616,17910,6802,24712,32061,33380,65441,,,,32061,33380,65441
617,Muhmand Dara,6,617,19577,9137,28714,23853,25163,49016,,,,23853,25163,49016
618,Lalpor,6,618,8795,4267,13062,10901,11426,22327,,,,10901,11426,22327
619,Sherzad,6,619,1151,566,1717,35523,36846,72369,,,,35523,36846,72369
620,Nazyan,6,620,9013,6841,15854,7694,8346,16040,,,,7694,8346,16040
621,Hisarak,6,621,3243,2264,5507,16415,17204,33619,,,,16415,17204,33619
622,Durbaba,6,622,13792,6500,20292,12311,13095,25406,,,,12311,13095,25406
623,Spin Ghar,6,623,11097,5060,16157,28066,29234,57300,,,,28066,29234,57300
701,Mihtarlam,7,701,48225,17728,65953,66172,69841,136013,2724,2898,5622,68896,72739,141635
702,Qarghayi,7,702,35362,20279,55641,52194,54821,107015,,,,52194,54821,107015
703,Alishang,7,703,7988,2890,10878,38088,39799,77887,,,,38088,39799,77887
704,Alingar,7,704,9598,2544,12142,51425,54178,105603,,,,51425,54178,105603
705,Dawlatshah,7,705,8458,3266,11724,17697,18615,36312,,,,17697,18615,36312
706,Badpakh,7,706,492,7,499,3976,4109,8085,,,,3976,4109,8085
801,Bazarak,8,801,8664,4029,12693,10003,10528,20531,,,,10003,10528,20531
802,Rukha,8,802,3194,2397,5591,12183,12838,25021,,,,12183,12838,25021
803,Dara,8,803,4710,3574,8284,7438,7703,15141,,,,7438,7703,15141
804,Khinj,8,804,8732,6276,15008,21288,22339,43627,,,,21288,22339,43627
805,Onaba,8,805,6971,4682,11653,9490,10143,19633,,,,9490,10143,19633
806,Shutul,8,806,2453,2621,5074,5899,6034,11933,,,,5899,6034,11933
807,Paryan,8,807,4181,3693,7874,7951,8217,16168,,,,7951,8217,16168
808,Abshar,8,808,3859,3373,7232,5899,6162,12061,,,,5899,6162,12061
901,Pul-e-khumri,9,901,34040,21417,55457,55913,59185,115098,58581,59330,117911,114494,118515,233009
902,Dahana-e-ghori,9,902,,,,30393,32097,62490,861,966,1827,31254,33063,64317
903,Doshi,9,903,15088,13796,28884,35651,37360,73011,,,,35651,37360,73011
904,Nahren,9,904,30057,23062,53119,34112,35948,70060,2724,2898,5622,36836,38846,75682
905,Baghlan-e-jadid,9,905,47650,28696,76346,56170,58543,114713,38499,37392,75891,94669,95935,190604
906,Khinjan,9,906,6254,6304,12558,16287,16947,33234,,,,16287,16947,33234
907,Andarab,9,907,6134,4870,11004,13593,14250,27843,,,,13593,14250,27843
908,Deh Salah,9,908,13336,6140,19476,16799,18102,34901,,,,16799,18102,34901
909,Khwaja Hijran,9,909,12411,8615,21026,12567,13480,26047,,,,12567,13480,26047
910,Borka,9,910,10675,9307,19982,27957,29528,57485,,,,27957,29528,57485
911,Tala Wa Barfak,9,911,17869,15423,33292,15902,17075,32977,,,,15902,17075,32977
912,Pul-e-hisar,9,912,11353,8070,19423,14491,15663,30154,,,,14491,15663,30154
913,Khost Wa Firing,9,913,23284,15320,38604,33471,35434,68905,,,,33471,35434,68905
914,Guzargah-e-nor,9,914,3551,3549,7100,5258,5777,11035,,,,5258,5777,11035
915,Firing Gharo,9,915,5467,4982,10449,8849,9244,18093,,,,8849,9244,18093
1001,Bamyan,10,1001,21743,21396,43139,38730,38644,77374,7155,6899,14054,45885,45543,91428
1002,Shebar,10,1002,5154,3874,9028,15517,16690,32207,,,,15517,16690,32207
1003,Sayghan,10,1003,5170,6254,11424,12824,13352,26176,,,,12824,13352,26176
1004,Kahmard,10,1004,10376,10200,20576,19364,20284,39648,,,,19364,20284,39648
1005,Yakawlang,10,1005,11981,12667,24648,32831,33637,66468,,,,32831,33637,66468
1006,Panjab,10,1006,8334,8812,17146,36806,37617,74423,,,,36806,37617,74423
1007,Waras,10,1007,13605,15126,28731,58607,60468,119075,,,,58607,60468,119075
1008,Yakawlang No. 2,10,1008,5745,6819,12564,14106,14893,28999,,,,14106,14893,28999
1201,Sharan,12,1201,16700,976,17676,28171,29508,57679,2381,2435,4816,30552,31943,62495
