id,name,observersTotal,observersMale,observersFemale,pollingCentersTotal,pollingStationsTotal,pollingStationsFemale,pollingStationsMale
1,Kabul,623,401,222,506,1294,411,883
2,Kapisa,178,75,103,121,297,140,157
3,Parwan,114,75,39,87,142,40,102
4,Wardak,74,55,19,65,80,20,60
5,Logar,176,121,55,78,360,109,211
6,Nangarhar,426,288,138,302,753,231,522
7,Laghman,144,81,63,73,255,94,161
8,Panjshir,94,57,37,72,118,48,70
9,Baghlan,191,124,67,79,222,79,143
10,Bamyan,139,64,75,109,174,96,78
12,Paktika,75,59,16,72,123,30,93
13,Paktia,386,273,113,251,995,394,563
14,Khost,470,303,167,290,872,254,541
15,Kunar,116,71,45,77,182,57,125
16,Nuristan,53,42,11,38,74,14,60
17,Badakhshan,214,127,87,144,242,99,143
18,Takhar,300,179,121,193,495,200,295
19,Kunduz,166,84,82,98,141,51,90
20,Samangan,114,69,45,96,178,69,109
21,Balkh,278,152,126,201,460,210,250
22,Sar-e-Pol,62,40,22,38,94,33,61
23,Ghor,212,104,108,149,290,129,161
24,Daykundi,154,83,71,107,223,112,111
25,Urozgan,61,34,27,48,105,34,71
26,Zabul,59,42,17,48,81,17,64
27,Kandahar,306,208,98,226,600,136,464
28,Jawzjan,174,95,79,117,267,115,152
29,Faryab,71,41,30,67,108,40,68
30,Helmand,127,91,36,100,214,54,160
31,Badghis,110,57,53,71,137,68,69
32,Herat,523,325,198,351,753,288,465
33,Farah,65,37,28,39,98,40,58
34,Nimruz,54,39,15,35,94,34,60
35,Kuchi,0,0,0,0,0,0,0
36,Sikh,0,0,0,0,0,0,0
