id,name,gender,party,incumbent,electedPreliminary,electedFinal
1,Rahmatullah Nabil ,M,tbd,0,0,
2,Sayed Noorullah Jalili ,M,tbd,0,0,
3,Dr. Faramarz Tamana ,M,tbd,0,0,
4,Ahmad Wali Masood ,M,tbd,0,0,
5,Noor Rahman Lewal,M,tbd,0,0,
6,Mohammad Shahab Hakimi ,M,tbd,0,0,
7,Mohammad Ashraf Ghani ,M,tbd,1,1,
8,Dr. Abdullah Abdullah ,M,tbd,0,0,
9,Mohammad Hakim Torsan ,M,tbd,0,0,
10,Gulbedin Hekmatyar ,M,tbd,0,0,
11,Abdul Latif Pedram,M,tbd,0,0,
12,Professor Dr. Ghulam Farooq Najrabi ,M,tbd,0,0,
13,Enayatullah Hafiz ,M,tbd,0,0,
14,Mohammad Hanif Atmar,M,tbd,0,0,
