distId,provId,solar_year,gregorian_year,province_name_eng,district_number,district_name_eng,rural_fem,rural_male,rural_total,urban_fem,urban_male,urban_total,fem_population,male_population,total_population,units
101,1,1398,2019-2020,Kabul,1,provincial Capital (Kabul ),,,,2101760,2171396,4273156,2101760,2171396,4273156,exact
102,1,1398,2019-2020,Kabul,2,Paghman,54286,57352,111638,11890,12436,24326,66176,69788,135964,exact
103,1,1398,2019-2020,Kabul,3,Chahar Asyab,19573,21165,40738,,,,19573,21165,40738,exact
104,1,1398,2019-2020,Kabul,4,Bagrami,30013,31615,61628,,,,30013,31615,61628,exact
105,1,1398,2019-2020,Kabul,5,DehSabz,29231,30831,60062,,,,29231,30831,60062,exact
106,1,1398,2019-2020,Kabul,6,Shakar Dara,44892,46508,91400,,,,44892,46508,91400,exact
107,1,1398,2019-2020,Kabul,7,Musahi,12658,13325,25983,,,,12658,13325,25983,exact
108,1,1398,2019-2020,Kabul,8,Mir Bacha kot,28710,29394,58104,,,,28710,29394,58104,exact
109,1,1398,2019-2020,Kabul,9,Khak-e-Jabar,7699,8231,15930,,,,7699,8231,15930,exact
110,1,1398,2019-2020,Kabul,10,Kalakan,16443,17245,33688,,,,16443,17245,33688,exact
111,1,1398,2019-2020,Kabul,11,Guldara,12397,13064,25461,,,,12397,13064,25461,exact
112,1,1398,2019-2020,Kabul,12,Farza,11614,12280,23894,,,,11614,12280,23894,exact
113,1,1398,2019-2020,Kabul,13,Estalef,18270,19073,37343,,,,18270,19073,37343,exact
114,1,1398,2019-2020,Kabul,14,Qara Bagh,41628,43242,84870,,,,41628,43242,84870,exact
115,1,1398,2019-2020,Kabul,15,Surubi,30275,31354,61629,,,,30275,31354,61629,exact
201,2,1398,2019-2020,Kapisa,1,provincial Capital (Mahmood Raqi),34583,35142,69725,737,989,1726,35320,36131,36131,exact
202,2,1398,2019-2020,Kapisa,2,Hissa-e-Duwumi Kohistan,24664,25344,50008,,,,24664,25344,25344,exact
203,2,1398,2019-2020,Kapisa,3,Koh Band,13049,13064,26113,,,,13049,13064,13064,exact
204,2,1398,2019-2020,Kapisa,4,Hissa-e-Awali Kohistan,37453,38147,75600,,,,37453,38147,38147,exact
205,2,1398,2019-2020,Kapisa,5,Nijrab,61725,63100,124825,,,,61725,63100,63100,exact
