provId,id,name,totalVoters
1,102,PAGHMAN,60545
1,103,CHAHAR ASYAB,35880
1,104,BAGRAMI,87785
1,105,DEHSABZ,43744
1,106,SHAKAR DARA,41788
1,107,MUSAHI,28636
1,108,MIR BACHA KOT,22792
1,109,KHAK-E-JABAR,18417
1,110,KALAKAN,14327
1,111,GULDARA,8645
1,112,FARZA,10750
1,113,ESTALEF,12835
1,114,QARA BAGH,47825
1,115,SURUBI,59080
1,10101,Nahia 01,21440
1,10102,Nahia 02,34181
1,10103,Nahia 03,41305
1,10104,Nahia 04,53716
1,10105,Nahia 05,80208
1,10106,Nahia 06,75823
1,10107,Nahia 07,76666
1,10108,Nahia 08,94772
1,10109,Nahia 09,56640
1,10110,Nahia 10,68143
1,10111,Nahia 11,81571
1,10112,Nahia 12,98473
1,10113,Nahia 13,136800
1,10114,Nahia 14,8238
1,10115,Nahia 15,74102
1,10116,Nahia 16,44138
1,10117,Nahia 17,56287
1,10118,Nahia 18,14715
1,10119,Nahia 19,13603
1,10121,Nahia 21,65103
1,10122,Nahia 22,7368
10,1001,PROVINCIAL CAPITAL OF BAMYAN ( BAMYAN ),44191
10,1002,SHEBAR,9316
10,1003,SAIGHAN,11801
10,1004,KAHMARD,20748
10,1005,YAKAWLANG,25318
10,1006,PANJAB,17739
10,1007,WARAS,29509
10,1008,YAKAWLANG NO 2,12853
11,1101,PROVINCIAL CAPITAL OF GHAZNI (GHAZNI),42561
11,1102,WALI MOHA (Wali Muhammad Shahid Khugyani_,871
11,1103,KHWAJA OMARI,2660
11,1104,WAGHAZ,2136
11,1105,DEH YAK,2835
11,1107,ANDAR,7279
11,1108,ZANAKHAN,918
11,1110,NAWUR,53458
11,1111,QARA BAGH,1704
11,1113,AB BAND,5701
11,1114,JAGHURI,50453
11,1115,MUQUR,19481
11,1116,MALISTAN,35160
11,1117,GELAN,9996
12,1201,PROVINCIAL CAPITAL OF PAKTIKA ( SHARAN ),20642
12,1202,MATA KHAN,14559
12,1203,YOSUF KHEL,10293
12,1204,YAHYA KHEL,15835
12,1205,SAR RAWZA,6237
12,1206,OMNA,3333
12,1207,ZARGHUN SHAHR,26977
12,1208,GOMAL,14650
12,1209,JANI KHEL,19298
12,1210,SURUBI,16532
12,1211,URGOON,22134
12,1212,ZIRUK,9934
12,1213,NIKA,6963
12,1214,BARMAL,10161
12,1216,DILA WA KHUSHAMAND,5754
12,1217,WAZAKHWAH,11322
12,1218,WOR MAMAY,13184
12,1219,TURWO,7919
13,1301,PROVINCIAL CAPITAL OF PAKTYA ( GARDEZ ),52483
13,1302,AHMADABA,27756
13,1303,ZURMAT,34543
13,1304,SHWAK,8757
13,1305,WUZA JADRAN,19233
13,1306,SAYYID KARAM,22522
13,1307,JAJI,60136
13,1308,LAJA AHMAD KHEL,25700
13,1309,JANI KHEL,22532
13,1310,SAMKANI,35231
13,1311,DAND PATAN,28685
13,1312,LAJA MANGAL,19631
13,1313,MIRZAKA,20359
