id,name,distId,provId,distName,voters_total,stations_total,voters_male,stations_male,stations_male-400-count,stations_male-400,stations_male-400-none,station_male-last-a,station_male-last-b,voters_female,stations_female,stations_female-400-count,stations_female-400,stations_female-400-none,station_female-last-a,station_female-last-b
101001,Sar e Gardana Mosque,010101,1,Nahia 01,437,2,336,1,0,,1,336,0,101,1,0,,1,101,0
101002,Derakht e Shing Mosque,010101,1,Nahia 01,806,3,576,2,0,,2,288,288,230,1,0,,1,230,0
101003,Mullah Mahmood Mosque,010101,1,Nahia 01,2241,7,1656,5,3,3X400,2,228,228,585,2,0,,2,293,292
101004,Daqiqi Balkhi Secondary School,010101,1,Nahia 01,1273,4,960,3,1,1X400,2,280,280,313,1,0,,1,313,0
101005,Aakhir e Jada Mosque,010101,1,Nahia 01,772,3,733,2,0,,2,367,366,39,1,0,,1,39,0
101006,Eidgah Mosque,010101,1,Nahia 01,1079,3,782,2,0,,2,391,391,297,1,0,,1,297,0
101007,Ansuri Balkhi School,010101,1,Nahia 01,1180,4,1013,3,1,1X400,2,307,306,167,1,0,,1,167,0
101008,Aayesha Durani High School,010101,1,Nahia 01,2535,7,1995,5,3,3X400,2,398,397,540,2,0,,2,270,270
101009,Mastoori Ghoori Secondary School,010101,1,Nahia 01,1341,4,1153,3,1,1X400,2,377,376,188,1,0,,1,188,0
101010,Aasheqan wa Arefan High School,010101,1,Nahia 01,608,3,519,2,0,,2,260,259,89,1,0,,1,89,0
101011,Aasheqan wa Arefan Secondary School,010101,1,Nahia 01,1715,5,1166,3,1,1X400,2,383,383,549,2,0,,2,275,274
101012,Sar e Karez Mosque,010101,1,Nahia 01,705,3,503,2,0,,2,252,251,202,1,0,,1,202,0
101013,Bala Qilla Mosque,010101,1,Nahia 01,1026,3,795,2,0,,2,398,397,231,1,0,,1,231,0
101014,Mahjooba High School,010101,1,Nahia 01,783,3,492,2,0,,2,246,246,291,1,0,,1,291,0
101015,Takya Khanahh Jafarya,010101,1,Nahia 01,3270,9,2347,6,4,4X400,2,374,373,923,3,1,1X400,2,262,261
101016,Imam Baqer Mosque,010101,1,Nahia 01,1669,5,1058,3,1,1X400,2,329,329,611,2,0,,2,306,305
101017,Qari Abdullah School,010102,1,Nahia 02,544,2,348,1,0,,1,348,0,196,1,0,,1,196,0
101018,Hazrat Nabawi Jame Mosque,010102,1,Nahia 02,2063,6,1491,4,2,2X400,2,346,345,572,2,0,,2,286,286
101019,Ansari High School,010102,1,Nahia 02,3611,10,2461,7,5,5X400,2,231,230,1150,3,1,1X400,2,375,375
101020,Ranga Mosque,010102,1,Nahia 02,1186,4,953,3,1,1X400,2,277,276,233,1,0,,1,233,0
101021,Trade technical Institute (Institute Masla,010102,1,Nahia 02,1682,5,1447,4,2,2X400,2,324,323,235,1,0,,1,235,0
101022,Zyarat Abul Fazal,010102,1,Nahia 02,1082,4,998,3,1,1X400,2,299,299,84,1,0,,1,84,0
101023,Isteqlal High School,010102,1,Nahia 02,2261,6,1964,5,3,3X400,2,382,382,297,1,0,,1,297,0
