ballotOrder,id,label,name,gender,party,withdrawn,incumbent,electedPreliminary,electedFinal,group
1,1038-4-12,,Rahmatullah Nabil,M,,0,0,0,,TRUE
2,1044-6-3,,Sayed Noorullah Jalili,M,,0,0,0,,TRUE
3,1012-32-7,,Faramarz Tamana,M,,0,0,0,,TRUE
4,1015-27-17,,Shaida Muhammad Abdali,M,,1,0,0,,TRUE
5,1035-8-11,,Ahmad Wali Masood,M,,0,0,0,,TRUE
6,1025-5-16,,Noor Rahman Lewal,M,,0,0,0,,TRUE
7,1033-4-8,,Mohammad Shahab Hakimi,M,,0,0,0,,TRUE
8,1055-5-15,Ashraf Ghani,Mohammad Ashraf Ghani,M,,0,1,1,,
9,1052-1-14,,Abdullah Abdullah,M,,0,0,0,,
10,1037-1-2,,Mohammad Hakim Torsan,M,,0,0,0,,TRUE
11,1042-19-10,,Gulbedin Hekmatyar,M,,0,0,0,,TRUE
12,1002-17-1,,Abdul Latif Pedram,M,,0,0,0,,TRUE
13,2021-1-6,,Nur ul-Haq Ulumi,M,,1,0,0,,TRUE
14,1003-27-13,,Haji Muhmmad Ibrahim Alekozai,M,,1,0,0,,TRUE
15,1007-2-18,,Ghulam Farooq Najrabi,M,,0,0,0,,TRUE
16,1029-4-4,,Enayatullah Hafiz,M,,0,0,0,,TRUE
17,1058-7-9,,Mohammad Hanif Atmar,M,,1,0,0,,TRUE
18,1004-1-5,,Zalmai Rassul,M,,1,0,0,,TRUE
