Province,District,PollingCenter,provId,distId,PC Code,psId,TotalVoters,TotalMale,TotalFemale,Kochi,Gender,PS #,voters
KABUL,Nahia 01,Sar e Gardana Mosque,01,010101,0101001,0101001-01,437,336,101,0,M,01,336
KABUL,Nahia 01,Sar e Gardana Mosque,01,010101,0101001,0101001-02,437,336,101,0,F,02,101
KABUL,Nahia 01,Derakht e Shing Mosque,01,010101,0101002,0101002-01,806,576,230,0,M,01,288
KABUL,Nahia 01,Derakht e Shing Mosque,01,010101,0101002,0101002-02,806,576,230,0,M,02,288
KABUL,Nahia 01,Derakht e Shing Mosque,01,010101,0101002,0101002-03,806,576,230,0,F,03,230
KABUL,Nahia 01,Mullah Mahmood Mosque,01,010101,0101003,0101003-01,2241,1656,585,5,M,01,400
KABUL,Nahia 01,Mullah Mahmood Mosque,01,010101,0101003,0101003-02,2241,1656,585,5,M,02,400
KABUL,Nahia 01,Mullah Mahmood Mosque,01,010101,0101003,0101003-03,2241,1656,585,5,M,03,400
KABUL,Nahia 01,Mullah Mahmood Mosque,01,010101,0101003,0101003-04,2241,1656,585,5,M,04,228
KABUL,Nahia 01,Mullah Mahmood Mosque,01,010101,0101003,0101003-05,2241,1656,585,5,M,05,228
KABUL,Nahia 01,Mullah Mahmood Mosque,01,010101,0101003,0101003-06,2241,1656,585,5,F,06,293
KABUL,Nahia 01,Mullah Mahmood Mosque,01,010101,0101003,0101003-07,2241,1656,585,5,F,07,292
KABUL,Nahia 01,Daqiqi Balkhi Secondary School,01,010101,0101004,0101004-01,1273,960,313,3,M,01,400
KABUL,Nahia 01,Daqiqi Balkhi Secondary School,01,010101,0101004,0101004-02,1273,960,313,3,M,02,280
KABUL,Nahia 01,Daqiqi Balkhi Secondary School,01,010101,0101004,0101004-03,1273,960,313,3,M,03,280
KABUL,Nahia 01,Daqiqi Balkhi Secondary School,01,010101,0101004,0101004-04,1273,960,313,3,F,04,313
KABUL,Nahia 01,Aakhir e Jada Mosque,01,010101,0101005,0101005-01,772,733,39,5,M,01,367
KABUL,Nahia 01,Aakhir e Jada Mosque,01,010101,0101005,0101005-02,772,733,39,5,M,02,366
KABUL,Nahia 01,Aakhir e Jada Mosque,01,010101,0101005,0101005-03,772,733,39,5,F,03,39
KABUL,Nahia 01,Eidgah Mosque,01,010101,0101006,0101006-01,1079,782,297,6,M,01,391
KABUL,Nahia 01,Eidgah Mosque,01,010101,0101006,0101006-02,1079,782,297,6,M,02,391
KABUL,Nahia 01,Eidgah Mosque,01,010101,0101006,0101006-03,1079,782,297,6,F,03,297
KABUL,Nahia 01,Ansuri Balkhi School,01,010101,0101007,0101007-01,1180,1013,167,10,M,01,400
KABUL,Nahia 01,Ansuri Balkhi School,01,010101,0101007,0101007-02,1180,1013,167,10,M,02,307
KABUL,Nahia 01,Ansuri Balkhi School,01,010101,0101007,0101007-03,1180,1013,167,10,M,03,306
KABUL,Nahia 01,Ansuri Balkhi School,01,010101,0101007,0101007-04,1180,1013,167,10,F,04,167
KABUL,Nahia 01,Aayesha Durani High School,01,010101,0101008,0101008-01,2535,1995,540,6,M,01,400
KABUL,Nahia 01,Aayesha Durani High School,01,010101,0101008,0101008-02,2535,1995,540,6,M,02,400
KABUL,Nahia 01,Aayesha Durani High School,01,010101,0101008,0101008-03,2535,1995,540,6,M,03,400
KABUL,Nahia 01,Aayesha Durani High School,01,010101,0101008,0101008-04,2535,1995,540,6,M,04,398
